,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,911.06,961.25,1125,1221,1243,1188,320.58,374.41,-,294.08,-
1,Trading Asset Securities,-,5,105,5,5,5,105,5,5,-,25,-
2,Cash & Short-Term Investments,916.06,916.06,1066,1130,1226,1248,1293,325.58,379.41,-,319.08,376.81
3,Cash Growth,-25.31%,-26.60%,-17.54%,246.98%,223.24%,-,305.24%,-13.60%,-,-,-,-
4,Accounts Receivable,-,354.71,325.73,303.55,299.78,238.89,206.73,183.92,167.11,-,150.32,-
5,Other Receivables,-,21.64,12.33,11.95,8.13,11.69,9.7,8.81,5.88,-,-,-
6,Receivables,-,376.36,338.06,315.5,307.91,250.58,216.43,192.73,172.99,-,150.32,-
7,Inventory,-,342.98,284.68,264.95,277.21,312.37,279.1,253.09,215.44,-,162.49,-
8,Other Current Assets,-,37.76,34.83,25.72,21.74,18.3,23.9,14.94,20.89,-,18.39,-
9,Total Current Assets,-,1673,1724,1736,1833,1829,1812,786.34,788.73,-,650.28,-
10,"Property, Plant & Equipment",-,550.28,480.58,426.6,379.96,267.7,255.74,238.72,239.05,-,205.1,-
11,Long-Term Investments,-,-,10.79,9.05,9.32,9.46,9.5,9.27,9.73,-,9.98,-
12,Other Intangible Assets,-,76.96,77.57,77.88,78.48,77.79,78.33,78.71,79.24,-,80.3,-
13,Long-Term Accounts Receivable,-,5.76,4.01,1.02,4.71,-,2.53,0.28,3.32,-,0.69,-
14,Long-Term Deferred Tax Assets,-,11.77,10.71,9.47,8.75,10.41,8.74,8.01,7.48,-,6.64,-
15,Long-Term Deferred Charges,-,2.31,3.35,4.2,5.61,5.68,6.94,8.19,9.28,-,10.85,-
16,Other Long-Term Assets,-,26.77,9.25,14.82,1.29,23.02,5.11,9.5,2.73,-,1.69,-
17,Total Assets,-,2347,2320,2279,2321,2223,2179,1139,1140,-,965.53,-
18,Accounts Payable,-,210.01,180.63,138.33,151.7,149.37,157.11,138.32,150.83,-,102.02,-
19,Accrued Expenses,-,13.35,17.25,8.55,41.5,13.18,16.13,6.77,23.75,-,14.71,-
20,Current Portion of Leases,-,1.67,2.33,2.54,2.95,2.5,2.86,3.5,3.04,-,1.85,-
21,Current Income Taxes Payable,-,2.46,2.07,8.75,7.74,6.63,2.4,5.85,6.42,-,1.84,-
22,Current Unearned Revenue,-,95.86,69.81,56.21,59.39,83.23,64.25,97.85,86.97,-,56.67,-
