,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,19454,9667,8321,8640,10561,12943,12616,14082,-,-,-,-,-
1,Market Cap Growth,-25.31%,-25.31%,-34.04%,-38.65%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,18542,8755,7260,7516,9320,11701,11330,13765,-,-,-,-,-
3,Last Close Price,46.97,23.34,20.09,20.76,25.37,31.09,30.31,33.83,-,-,-,-,-
4,PE Ratio,293.56,144.03,81.46,71.08,77.10,98.68,107.75,127.96,-,-,-,-,-
5,Forward PE,65.24,35.16,33.07,38.22,45.13,57.52,59.15,-,-,-,-,-,-
6,PS Ratio,40.05,19.65,14.35,14.59,16.77,21.36,22.81,27.02,-,-,-,-,-
7,PB Ratio,10.10,5.03,4.33,4.52,5.39,6.71,6.75,7.67,-,-,-,-,-
8,P/TBV Ratio,5.24,5.24,4.51,4.72,5.62,6.99,7.04,8.01,-,-,-,-,-
9,P/OCF Ratio,-,-,-,771.86,-,-804.49,-,-,-,-,-,-,-
10,EV/Sales Ratio,37.69,17.80,12.52,12.69,14.80,19.31,20.48,26.41,-,-,-,-,-
11,EV/EBITDA Ratio,266.00,125.31,87.15,-,74.16,96.98,93.13,116.45,-,-,-,-,-
12,EV/EBIT Ratio,148.91,148.91,100.51,-,80.81,105.55,100.81,125.97,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,0.01,0.01
14,Debt / EBITDA Ratio,0.06,0.03,0.13,-,0.05,0.03,0.06,0.09,0.10,0.04,-,0.10,0.06
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-0.83,-,-,-
16,Asset Turnover,-,0.20,0.18,0.22,0.41,0.24,0.34,0.35,-,-,-,-,
17,Inventory Turnover,-,-,0.82,0.84,0.85,1.63,0.85,1.02,0.74,-,-,-,-
18,Quick Ratio,-,-,3.78,4.29,6.11,5.00,5.58,5.90,1.97,1.93,-,2.53,-
19,Current Ratio,-,-,4.90,5.27,7.34,5.97,6.81,7.09,2.99,2.76,-,3.50,-
20,Return on Equity (ROE),4.85%,2.28%,1.37%,5.41%,12.29%,6.55%,6.72%,10.54%,-,-,7.73%,-,
21,Return on Assets (ROA),-,0.57%,-0.66%,2.77%,5.22%,2.90%,2.53%,4.61%,-,-,-,-,
22,Return on Capital (ROIC),4.42%,0.69%,-0.78%,3.27%,6.23%,3.44%,3.18%,6.69%,-,-,4.05%,-,
23,Return on Capital Employed (ROCE),-,-,3.60%,-,5.65%,5.50%,5.75%,5.68%,11.81%,11.94%,-,3.90%,-
24,Earnings Yield,0.35%,0.69%,1.23%,1.41%,1.30%,1.01%,0.93%,0.78%,-,-,-,-,-
25,FCF Yield,-,-3.17%,-2.36%,-1.96%,-1.29%,-1.13%,-0.34%,-,-,-,-,-,
26,Dividend Yield,0.20%,-,-,-,-,0.31%,-,-,-,-,-,-,-
27,Payout Ratio,0.00%,-,364.91%,-,-,-,-,-,-,-,-,-,-
28,Buyback Yield / Dilution,-4.77%,-12.74%,0.34%,-3.42%,-11.05%,-4.50%,-17.64%,-6.92%,-0.32%,-,-,-,-
29,Total Shareholder Return,-4.58%,-12.74%,0.34%,-3.42%,-11.05%,-4.19%,-17.64%,-6.92%,-0.32%,-,-,-,-
