,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,573.8,907.62,986.74,991.63,604.27,889.87,852.59,1176,1045,136.75,158.83,272.62,-,216.13,-
1,Trading Asset Securities,-,346.93,83.67,38.05,105.65,504.77,243.66,384.57,40,195,146.14,96.5,-,-,-,-
2,Cash & Short-Term Investments,920.72,920.72,991.29,1025,1097,1109,1134,1237,1216,1240,282.89,255.33,272.62,-,216.13,149.82
3,Cash Growth,-16.09%,-16.98%,-12.55%,-17.17%,-9.75%,-10.53%,300.70%,384.54%,345.98%,-,30.89%,70.43%,-,-,-,-
4,Accounts Receivable,-,22.81,17.81,18.48,11.41,16.18,14.17,19.44,26.84,32.08,30.95,12.78,10.18,-,10.74,-
5,Other Receivables,-,3.63,1.55,1.78,1.47,1.52,4.48,1.05,1.46,0.11,0.37,0.31,0.3,-,0.24,-
6,Receivables,-,26.44,19.36,20.26,12.88,17.7,18.65,20.5,28.3,32.19,31.31,13.09,10.48,-,10.98,-
7,Inventory,-,60.25,52.85,50.15,55.02,49.66,50.6,45.18,68.59,63.39,67.46,63.19,38.49,-,29.59,-
8,Other Current Assets,-,16.88,14.97,12.16,6.67,21.47,14.26,13.97,7.9,26.32,29.67,36.87,19.69,-,10.03,-
