,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2663,2287,2541,1958,2384,3352,3421,3724,4579,3260,3089,-,-,-,-,-,-
1,Market Cap Growth,-31.77%,-31.77%,-25.71%,-47.42%,-47.94%,2.81%,10.75%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1796,1420,1603,984,1313,2281,2327,2516,3364,2045,2828,-,-,-,-,-,-
3,Last Close Price,27.21,23.37,25.57,19.50,22.60,31.78,32.44,35.31,42.84,30.50,28.49,-,-,-,-,-,-
4,PE Ratio,26.24,22.38,25.13,18.90,25.43,37.32,31.58,27.82,34.43,26.79,22.23,-,-,-,-,-,-
5,Forward PE,-,12.43,12.43,12.43,14.19,21.56,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,6.34,5.41,6.67,5.37,7.09,9.83,9.27,9.35,11.13,8.65,7.55,-,-,-,-,-,-
7,PB Ratio,2.03,1.70,1.89,1.42,1.70,2.44,2.45,2.71,3.25,2.38,2.20,-,-,-,-,-,-
8,P/TBV Ratio,1.90,1.90,2.12,1.59,1.86,2.55,2.54,2.82,3.35,2.45,2.24,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,60.46,-,54.27,57.60,44.69,43.12,45.02,31.58,-,-,-,-,-,-
10,P/OCF Ratio,-,-,21.81,15.30,19.98,24.48,25.17,23.94,29.64,25.74,25.57,-,-,-,-,-,-
11,EV/Sales Ratio,4.25,3.36,4.21,2.70,3.91,6.69,6.30,6.32,8.18,5.43,6.91,-,-,-,-,-,-
12,EV/EBITDA Ratio,14.42,11.26,15.07,10.08,15.49,-,28.93,21.96,27.72,-,19.37,-,-,-,-,-,-
13,EV/EBIT Ratio,15.92,12.59,17.22,11.64,17.97,-,33.59,24.22,30.26,-,20.72,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,30.37,-,36.93,39.17,30.20,31.68,28.25,28.91,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.02,-,0.03,0.03
16,Debt / EBITDA Ratio,0.13,0.31,0.11,0.10,0.09,-,0.09,0.08,0.07,-,0.02,0.04,0.05,0.05,-,0.05,0.08
17,Debt / FCF Ratio,-,-,-,0.50,-,0.14,0.16,0.11,0.09,0.13,0.05,0.08,-,0.05,-,0.11,0.57
18,Asset Turnover,-,0.27,0.32,0.27,0.13,0.23,0.25,0.29,0.21,0.44,0.80,0.59,-,-,-,-,
19,Inventory Turnover,-,-,2.10,2.69,2.06,1.02,1.66,2.05,2.83,1.23,1.87,2.94,1.58,-,-,-,-
20,Quick Ratio,-,-,7.43,8.80,8.53,8.33,14.58,12.24,16.07,10.07,12.89,2.61,2.53,2.83,-,2.36,-
21,Current Ratio,-,-,8.04,9.39,9.04,8.80,15.50,12.93,16.82,10.69,13.80,3.41,3.47,3.41,-,2.77,-
22,Return on Equity (ROE),0.49%,7.21%,10.82%,10.98%,1.71%,7.49%,7.85%,9.62%,6.65%,23.88%,27.81%,23.33%,-,-,51.31%,-,
23,Return on Assets (ROA),-,5.13%,5.56%,6.03%,-1.63%,3.81%,3.83%,4.98%,-1.09%,13.79%,13.94%,11.62%,-,-,-,-,
24,Return on Capital (ROIC),1.80%,5.67%,6.11%,6.64%,-1.78%,4.09%,4.10%,5.38%,-1.18%,15.54%,18.01%,14.98%,-,-,31.62%,-,
25,Return on Capital Employed (ROCE),-,-,6.71%,5.94%,5.10%,-,4.87%,7.44%,7.77%,-,9.62%,24.82%,27.85%,29.23%,-,17.93%,-
26,Earnings Yield,3.84%,4.47%,3.98%,5.29%,3.93%,2.68%,3.17%,3.59%,2.90%,3.73%,4.50%,-,-,-,-,-,-
27,FCF Yield,-,-0.42%,1.65%,-0.02%,1.84%,1.74%,2.24%,2.32%,2.22%,3.17%,-,-,-,-,-,-,
28,Dividend Yield,2.86%,-,-,5.13%,-,1.89%,-,-,-,4.26%,1.76%,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,84.93%,153.65%,0.05%,35.78%,-,304.25%,-,211.98%,-,-,-,-,-,-,0.16%
30,Buyback Yield / Dilution,1.46%,1.11%,2.20%,1.69%,0.85%,1.02%,-20.46%,-34.21%,-33.30%,-33.31%,-10.22%,-0.79%,-0.03%,-,-,-,-
31,Total Shareholder Return,4.32%,1.11%,2.20%,6.82%,0.85%,2.91%,-20.46%,-34.21%,-33.30%,-29.05%,-8.47%,-0.79%,-0.03%,-,-,-,-
