,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,92.1,105.15,121.09,104.34,30.41,103.45,77.88,109.12,54.86,128,95.75,74.57,108.09,77.84,92.84,59.93
1,Other Revenue,-,-2.96,2.96,-,19.96,-17.39,17.39,-,23.71,-12.81,12.81,-,2.94,-1.34,0.68,0.66
2,Revenue,92.1,102.19,124.05,104.34,50.37,86.05,95.28,109.12,78.57,115.19,108.56,74.57,111.03,76.5,93.52,60.59
3,Revenue Growth (YoY),82.86%,18.75%,30.20%,-4.39%,-35.89%,-25.29%,-12.24%,46.34%,-29.24%,50.57%,16.09%,23.07%,-,-,-,-
4,Cost of Revenue,-91.4,29.74,34.59,27.07,13.36,20.79,24.53,40.24,20.27,30.55,48.02,20.03,31.07,21.7,25.83,14.06
5,Gross Profit,183.5,72.45,89.46,77.27,37.01,65.26,70.75,68.88,58.3,84.64,60.54,54.54,79.97,54.8,67.69,46.53
6,"Selling, General & Admin",-104.54,34.83,39.01,30.7,28.56,32.41,37.89,28.98,31.82,32.92,27.99,24.12,36.01,23.63,25.34,17.19
7,Research & Development,-40.62,14.2,13.47,12.95,15.39,14.05,16.68,12.13,13.36,9.83,9.57,8.58,11.65,8.79,8.07,8.71
8,Other Operating Expenses,319.72,-7.78,2,-4.05,2.73,-4.08,-6.7,-2.53,18.15,-15.7,-8.25,-1.79,6.63,-8.72,-1.94,-0.54
9,Operating Expenses,173.71,41.12,55.03,40.04,46.93,42.46,47.79,38.77,64.91,27.22,30.27,31.05,54.66,23.76,31.71,25.25
10,Operating Income,9.8,31.34,34.43,37.23,-9.92,22.81,22.96,30.11,-6.61,57.42,30.27,23.49,25.3,31.05,35.98,21.28
11,Interest Expense,-10.3,-0.32,-0.26,-0.18,-0.07,-0.1,-0.1,-0.11,-0.11,-0.06,-0.06,-0.06,-,-0.09,-0.09,-0.02
12,Interest & Investment Income,0.76,2.18,2.78,5.35,6.99,8.19,5.75,7.83,10.84,3.29,1.99,1.16,3.22,0.59,1.43,0.36
13,Currency Exchange Gain (Loss),-,-0.01,0.01,-,-0.03,-0.01,0.01,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),10.71,-0.01,-0.02,-0.01,-0.22,-0.16,-0.1,-0.01,-0.66,0.52,0.03,0.02,0.27,-0.27,-0.01,-0.01
15,EBT Excluding Unusual Items,10.97,33.17,36.93,42.39,-3.25,30.73,28.52,37.81,3.45,61.17,32.22,24.6,28.79,31.27,37.32,21.6
16,Gain (Loss) on Sale of Investments,-1.13,0.63,0.84,-0.34,0.3,-0.01,0.36,-,-,-0.14,0.14,-,-1.15,1.15,-,-
17,Gain (Loss) on Sale of Assets,0.25,-0.25,-,-,0.23,0,-,-,-0,-0,-,0,-0.01,0.32,-0,-
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-0.17,-,-
19,Other Unusual Items,0.31,-5.73,5.4,0.01,6.79,-,-,-,24.44,-,-,-,10.46,-6.05,4.6,1.45
20,Pretax Income,10.4,27.83,43.17,42.06,4.07,30.73,28.88,37.81,27.89,61.03,32.36,24.61,38.25,26.52,41.92,23.04
21,Income Tax Expense,8.76,3.21,5.45,3.87,-1.85,4.82,1.61,4.42,4.81,6.19,3.53,2.09,-3.18,3.62,6.42,3.18
22,Earnings From Continuing Operations,1.64,24.62,37.72,38.19,5.92,25.9,27.27,33.39,23.09,54.85,28.84,22.52,41.43,22.9,35.5,19.87
23,Minority Interest in Earnings,4.46,-1.15,-1.4,-1.9,-0.84,-0.01,-0.81,-1.01,0.5,-3.42,-3.25,-1.43,-0.59,-0.63,-0.51,0.41
24,Net Income,6.1,23.46,36.32,36.29,5.08,25.89,26.46,32.39,23.59,51.43,25.59,21.08,40.84,22.27,34.99,20.28
25,Net Income to Common,6.1,23.46,36.32,36.29,5.08,25.89,26.46,32.39,23.59,51.43,25.59,21.08,40.84,22.27,34.99,20.28
26,Net Income Growth,20.08%,-9.39%,37.28%,12.04%,-78.46%,-49.65%,3.40%,53.60%,-42.24%,130.92%,-26.87%,3.95%,-,-,-,-
27,Shares Outstanding (Basic),98,98,99,99,99,100,101,100,100,83,75,75,75,76,74,75
28,Shares Outstanding (Diluted),98,98,99,99,99,100,101,100,100,83,75,75,75,76,74,75
29,Shares Change (YoY),-1.11%,-2.20%,-1.69%,-0.85%,-1.02%,20.46%,34.21%,33.30%,33.31%,10.22%,0.79%,0.03%,-,-,-,-
30,EPS (Basic),0.06,0.24,0.37,0.37,0.05,0.26,0.26,0.32,0.24,0.62,0.34,0.28,0.54,0.29,0.47,0.27
31,EPS (Diluted),0.06,0.24,0.37,0.37,0.05,0.26,0.26,0.32,0.24,0.62,0.34,0.28,0.54,0.29,0.47,0.27
32,EPS Growth,21.43%,-7.35%,39.64%,13.00%,-78.24%,-58.20%,-22.95%,15.23%,-56.68%,109.50%,-27.45%,3.92%,-,-,-,-
33,Free Cash Flow,-,-31.12,38.51,-45.24,27.05,12.06,5.62,17.03,24.69,36,28.48,-16.76,50.1,8.98,61.98,12.95
34,Free Cash Flow Per Share,-,-0.32,0.39,-0.46,0.27,0.12,0.06,0.17,0.25,0.43,0.38,-0.22,0.67,0.12,0.83,0.17
