,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Feb '21 Feb 28, 2021"
0,Revenue,147.08,184.06,143.68,179.52,135.44,170.45,160.64
1,Revenue Growth (YoY),2.37%,2.53%,6.09%,5.32%,-15.69%,-,-
2,Cost of Revenue,68.49,105.12,62.04,86.26,58.95,82.76,59.01
3,Gross Profit,78.6,78.93,81.64,93.26,76.49,87.68,101.64
4,"Selling, General & Admin",43.36,24.3,38.45,23.32,44.22,26.17,22.31
5,Operating Expenses,43.36,24.3,38.45,23.32,44.22,26.17,22.31
6,Operating Income,35.24,54.63,43.19,69.95,32.27,61.51,79.33
7,Interest Expense,-0.08,-0.07,-0.09,-0.03,-0.05,-,-
8,Interest & Investment Income,4.39,9.6,12.24,6.68,9.14,7.96,3.32
9,Other Non Operating Income (Expenses),1.11,3.49,2.06,3.24,-3.12,2.82,1.89
10,EBT Excluding Unusual Items,40.66,67.64,57.41,79.84,38.23,72.3,84.54
11,Gain (Loss) on Sale of Investments,0.13,-,0.04,-0.03,4.14,-6.92,2.12
12,Gain (Loss) on Sale of Assets,-,-0.02,-0,-,-0.07,-0.49,-0.08
13,Other Unusual Items,-,-,-,-,-4,-,-
14,Pretax Income,40.79,67.63,57.44,79.82,38.3,64.89,86.58
15,Net Income,40.79,67.63,57.44,79.82,38.3,64.89,86.58
16,Net Income to Common,40.79,67.63,57.44,79.82,38.3,64.89,86.58
17,Net Income Growth,-28.99%,-15.27%,49.99%,23.00%,-55.77%,-,-
18,Shares Outstanding (Basic),468,468,464,473,476,505,375
19,Shares Outstanding (Diluted),468,468,464,473,476,505,375
20,Shares Change (YoY),0.97%,-0.95%,-2.70%,-6.50%,27.05%,-,-
21,EPS (Basic),0.09,0.14,0.12,0.17,0.08,0.13,0.23
22,EPS (Diluted),0.09,0.14,0.12,0.17,0.08,0.13,0.23
23,EPS Growth,-29.67%,-14.46%,54.16%,31.56%,-65.18%,-,-
24,Free Cash Flow,-62.06,-11.12,-58.52,-24.72,16.91,-61.65,180.17
25,Free Cash Flow Per Share,-0.13,-0.02,-0.13,-0.05,0.04,-0.12,0.48
26,Operating Margin,23.96%,29.68%,30.06%,38.96%,23.82%,36.09%,49.38%
27,Profit Margin,27.73%,36.74%,39.98%,44.46%,28.28%,38.07%,53.89%
28,Free Cash Flow Margin,-42.20%,-6.04%,-40.73%,-13.77%,12.49%,-36.17%,112.15%
29,EBITDA,53.93,75.56,61.8,89.05,48.43,78.98,96.18
30,D&A For EBITDA,18.69,20.93,18.6,19.11,16.16,17.47,16.85
31,EBIT,35.24,54.63,43.19,69.95,32.27,61.51,79.33
