,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Feb '21 Feb 28, 2021"
0,Market Capitalization,1739,1572,1572,1572,1572,2073,1850,-
1,Market Cap Growth,0%,0%,0%,-24.15%,-15.03%,-,-,-
2,Enterprise Value,917,696,370,370,370,871,565,-
3,Last Close Price,3.44,3.11,3.11,3.11,3.11,4.10,3.66,-
4,PE Ratio,13.50,13.18,11.54,10.60,11.76,17.63,9.86,-
5,PS Ratio,4.42,4.32,4.41,4.50,4.41,5.95,4.51,-
6,PB Ratio,0.87,0.79,0.81,0.85,0.84,1.16,0.93,-
7,P/TBV Ratio,0.79,0.79,0.82,0.87,0.85,1.17,0.93,-
8,P/FCF Ratio,-,-,-,-,-,-40.67,-,-
9,P/OCF Ratio,7.19,7.19,11.45,18.23,10.46,27.75,-,-
10,EV/Sales Ratio,2.52,1.91,1.04,1.06,1.04,2.50,1.38,-
11,EV/EBITDA Ratio,6.22,4.89,2.48,2.27,2.38,6.00,2.60,-
12,EV/EBIT Ratio,9.28,7.04,3.48,3.03,3.20,8.15,3.24,-
13,EV/FCF Ratio,-11.40,-,-,-,-,-17.09,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.00,0.00,-
15,Debt / FCF Ratio,-,-,-,-,-,-0.02,-,-
16,Return on Capital Employed (ROCE),4.90%,4.90%,5.46%,6.55%,6.14%,6.00%,8.76%,-
17,Earnings Yield,6.86%,7.59%,8.66%,9.43%,8.50%,5.67%,10.14%,-
18,FCF Yield,-4.63%,-5.12%,-4.82%,-5.72%,-0.56%,-2.46%,7.93%,-
19,Buyback Yield / Dilution,-0.97%,0.95%,2.70%,6.50%,-27.05%,-,-,
20,Total Shareholder Return,-0.97%,0.95%,2.70%,6.50%,-27.05%,-,-,
