,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Aug '24 Aug 31, 2024","Feb '24 Feb 29, 2024","Aug '23 Aug 31, 2023","Feb '23 Feb 28, 2023","Aug '22 Aug 31, 2022","Feb '22 Feb 28, 2022","Feb '21 Feb 28, 2021"
0,Cash & Equivalents,695.9,773.2,813.84,875.05,860.42,879.88,-
1,Trading Asset Securities,70.13,50.12,10.01,-,-,91.56,-
2,Cash & Short-Term Investments,766.03,823.32,823.86,875.05,860.42,971.44,-
3,Cash Growth,-7.02%,-5.91%,-4.25%,-9.92%,-,-,-
4,Accounts Receivable,0.04,0.07,0.01,0.18,-,0.1,-
5,Other Receivables,4.02,18.57,36.01,29.94,51.95,8.48,-
6,Receivables,4.05,32.65,46.03,44.12,76.33,8.58,-
7,Prepaid Expenses,7.47,9.22,6.4,5.28,6.59,35.48,-
8,Other Current Assets,-,-,-,-,26.34,-,-
9,Total Current Assets,777.55,865.19,876.28,924.45,969.68,1016,-
10,"Property, Plant & Equipment",1215,1109,1054,870.34,841.79,753.73,-
11,Other Intangible Assets,12.08,5.91,29.5,8.18,7.53,8.53,-
12,Other Long-Term Assets,50.61,22.55,0.7,83.91,26.91,57.25,-
13,Total Assets,2055,2003,1961,1887,1846,1835,-
14,Accrued Expenses,24.27,23.63,24.51,22.84,24.01,8.06,-
15,Current Portion of Long-Term Debt,1.63,1,1,-,-,-,-
16,Current Portion of Leases,0.35,-,-,0.4,0.8,0.78,-
17,Current Income Taxes Payable,4.75,4.46,4.45,4.16,4.28,4.21,-
18,Current Unearned Revenue,156.46,151.05,163.49,146.15,217.76,137.47,-
19,Other Current Liabilities,34.64,30.72,40.81,48.24,35.44,76.77,-
20,Total Current Liabilities,222.09,210.86,234.27,221.79,282.28,227.29,-
21,Long-Term Debt,16.88,18,18.5,20,-,-,-
22,Long-Term Leases,0.21,-,-,-,-,0.4,-
23,Total Liabilities,239.17,228.86,252.77,241.79,282.28,227.69,-
24,Common Stock,0.03,0.03,0.03,0.03,0.03,0.03,-
25,Additional Paid-In Capital,376.91,376.91,376.91,376.91,376.91,376.84,-
26,Retained Earnings,1457,1417,1349,1292,1212,1173,-
27,Comprehensive Income & Other,-18.56,-19.27,-17.99,-23.36,-25.02,57.05,-
28,Shareholders' Equity,1816,1774,1708,1645,1564,1607,-
29,Total Liabilities & Equity,2055,2003,1961,1887,1846,1835,-
30,Total Debt,19.06,19,19.5,20.4,0.8,1.18,-
31,Net Cash (Debt),746.97,804.32,804.36,854.64,859.62,970.26,-
32,Net Cash Growth,-7.13%,-5.89%,-6.43%,-11.92%,-,-,-
33,Net Cash Per Share,1.60,1.72,1.74,1.81,1.80,1.92,-
34,Filing Date Shares Outstanding,505.52,505.52,505.52,505.52,505.52,505.52,375
35,Total Common Shares Outstanding,505.52,505.52,505.52,505.52,505.52,505.52,375
36,Working Capital,555.46,654.33,642.01,702.66,687.39,788.22,-
37,Book Value Per Share,3.59,3.51,3.38,3.25,3.09,3.18,-
38,Tangible Book Value,1804,1768,1678,1637,1556,1599,-
39,Tangible Book Value Per Share,3.57,3.50,3.32,3.24,3.08,3.16,-
40,Machinery,1027,-,1004,-,935.72,-,-
41,Construction In Progress,339.36,-,166.65,-,107.24,-,-
