,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,498.14,520.74,411.9,502.13,331.26,439.67,532.37,711.02,755.38,732.03
1,Short-Term Investments,-,0.39,-,0.37,-,0.36,-,4.49,-,2.5
2,Trading Asset Securities,2,2,2,34.45,29.54,51.82,58.88,56.94,55.75,-
3,Cash & Short-Term Investments,500.14,523.12,413.9,536.95,360.79,491.85,591.25,772.45,811.13,734.53
4,Cash Growth,20.84%,-2.58%,14.72%,9.17%,-38.98%,-36.33%,-27.11%,5.16%,-1.11%,28.56%
5,Accounts Receivable,8.93,6.22,10.24,3.09,9.06,5.15,8.99,11.04,15.2,5.61
6,Other Receivables,10.01,7.32,36.81,5.13,24.23,38.5,45.68,18.01,18.22,25.64
7,Receivables,18.94,13.53,47.06,8.22,33.29,43.66,54.67,29.05,33.42,31.25
8,Inventory,92.94,136.95,106.96,150.12,105.88,157.7,95.45,150.56,73.82,98.16
9,Prepaid Expenses,-,0.76,-,1.56,-,1.05,-,5.97,-,3.41
10,Other Current Assets,-,13.71,-,21.25,-,23.06,-,22.57,-,8.89
11,Total Current Assets,612.02,688.07,567.91,718.1,499.97,717.31,741.36,980.6,918.37,876.25
12,"Property, Plant & Equipment",1139,1212,1278,1228,1122,1022,860.56,719.8,459.59,432.28
13,Long-Term Investments,32.49,33.96,83.9,85.07,130.34,130.93,94.55,64.15,45.88,26.26
14,Other Intangible Assets,1.61,1.79,1.98,2.19,2.4,2.61,2.72,2.5,2.05,2.18
15,Long-Term Deferred Tax Assets,19.89,20.36,4.89,9.26,6.38,13.4,39.37,51.11,29.92,28.73
16,Other Long-Term Assets,38.76,7.86,8.17,13.66,23.09,30.02,21.96,24.77,24.65,3.89
17,Total Assets,1843,1964,1945,2057,1784,1917,1761,1843,1480,1370
18,Accounts Payable,111.9,125.86,56.61,154.02,172.59,100.32,62.92,86.35,51.69,47.88
19,Accrued Expenses,-,94.96,-,102.21,-,95.56,-,92.9,-,86.46
20,Short-Term Debt,-,78.47,-,46.2,49.8,97.36,87.8,70.2,56.73,-
21,Current Portion of Long-Term Debt,77.67,-,26.3,-,-,-,-,-,-,-
22,Current Portion of Leases,-,-,-,-,-,-,-,1.11,0.85,1.98
23,Current Income Taxes Payable,1.06,3.41,6.37,2.15,4.09,1.09,8.35,22.24,13.52,10.61
24,Current Unearned Revenue,20.69,83.37,20.55,123.7,22.29,133.65,20.68,78.75,8.57,53.89
25,Other Current Liabilities,196.05,148.53,285.95,198.57,238.34,197.66,219.66,136.47,124.45,13.93
26,Total Current Liabilities,407.37,534.58,395.77,626.86,487.11,625.64,399.41,488.02,255.8,214.75
27,Long-Term Debt,194.2,213.83,275.72,181.82,-,-,-,-,-,-
28,Long-Term Leases,-,7.17,6.92,6.77,6.62,6.47,6.36,6.65,2.14,3.11
29,Long-Term Deferred Tax Liabilities,7.78,7.15,6.87,6.59,17.08,16.71,16.39,12.3,5.38,4.95
30,Total Liabilities,609.34,762.74,685.28,822.04,510.81,648.82,422.15,506.97,263.32,222.81
31,Common Stock,6.43,6.43,6.43,6.43,6.43,6.43,6.43,6.43,5.76,5.76
32,Additional Paid-In Capital,-,614.98,-,614.98,-,614.98,-,614.98,-,467.24
33,Retained Earnings,525.2,713.82,524.56,715.82,508,717.21,576.71,798.05,633.22,780.39
34,Comprehensive Income & Other,702.49,-133.9,729.08,-103.1,758.26,-71.66,755.22,-83.51,578.16,-106.63
35,Total Common Equity,1234,1201,1260,1234,1273,1267,1338,1336,1217,1147
36,Minority Interest,-,-,-,0.56,0.81,0.94,-,-,-,-
37,Shareholders' Equity,1234,1201,1260,1235,1273,1268,1338,1336,1217,1147
38,Total Liabilities & Equity,1843,1964,1945,2057,1784,1917,1761,1843,1480,1370
39,Total Debt,271.86,299.46,308.94,234.78,56.42,103.84,94.16,77.96,59.72,5.09
40,Net Cash (Debt),228.28,223.66,104.96,302.17,304.37,388.01,497.09,694.48,751.41,729.45
41,Net Cash Growth,117.49%,-25.98%,-65.52%,-22.12%,-38.77%,-44.13%,-33.85%,-4.79%,-7.87%,27.67%
42,Net Cash Per Share,0.30,0.30,0.14,0.40,0.40,0.51,0.66,1.03,1.11,1.08
43,Filing Date Shares Outstanding,755.1,755.1,755.1,755.1,755.1,755.1,755.1,755.1,675.1,675.1
44,Total Common Shares Outstanding,755.1,755.1,755.1,755.1,755.1,755.1,755.1,755.1,675.1,675.1
45,Working Capital,204.65,153.49,172.14,91.24,12.86,91.67,341.95,492.58,662.57,661.49
46,Book Value Per Share,1.63,1.59,1.67,1.63,1.69,1.68,1.77,1.77,1.80,1.70
47,Tangible Book Value,1233,1200,1258,1232,1270,1264,1336,1333,1215,1145
48,Tangible Book Value Per Share,1.63,1.59,1.67,1.63,1.68,1.67,1.77,1.77,1.80,1.70
49,Buildings,-,947.41,-,733.02,-,633.36,-,401.49,-,264.47
50,Machinery,-,439.36,-,394.14,-,316.83,-,202.48,-,163.92
51,Construction In Progress,-,99.59,-,321.73,-,230.53,-,231.45,-,112.08
