,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,944,634,597,846,1216,1420,1639,1752,1790,1580,1681
1,Market Cap Growth,-25.00%,-25.00%,-50.93%,-40.43%,-25.81%,-18.97%,-8.44%,10.89%,6.46%,-3.31%,28.07%
2,Enterprise Value,699,388,483,505,860,944,1041,927,965,764,753
3,Last Close Price,1.25,0.84,0.79,1.12,1.61,1.88,2.17,2.32,2.37,2.34,2.49
4,PE Ratio,232.67,127.00,-,38.85,-,-17.94,-,-,-,14.48,18.51
5,PS Ratio,0.90,0.60,0.55,0.79,1.12,1.37,1.55,1.71,1.90,1.90,2.18
6,PB Ratio,0.71,0.48,0.45,0.62,0.87,0.95,1.05,1.09,1.13,1.18,1.31
7,P/TBV Ratio,0.48,0.48,0.45,0.62,0.87,0.95,1.06,1.09,1.13,1.18,1.31
8,P/FCF Ratio,11.52,-,-6.10,-,-,-,-,-,-,-28.43,-
9,P/OCF Ratio,4.56,4.56,28.97,-,4.50,8.50,44.56,-34.48,-,12.72,13.25
10,EV/Sales Ratio,0.67,0.37,0.45,0.47,0.79,0.91,0.99,0.90,1.03,0.92,0.97
11,EV/EBITDA Ratio,7.20,4.08,5.51,4.96,9.97,19.18,-,94.97,-,6.49,7.47
12,EV/EBIT Ratio,234.20,113.34,-,16.64,-,-58.94,-,-,-,8.94,11.50
13,EV/FCF Ratio,8.53,-,-4.94,-,-,-,-,-,-,-13.75,-
14,Debt / Equity Ratio,0.22,0.22,0.25,0.25,0.19,0.04,0.08,0.07,0.06,0.05,0.00
15,Debt / FCF Ratio,3.56,-,-3.38,-,-,-,-,-,-,-1.18,-
16,Return on Capital Employed (ROCE),0.22%,0.22%,-,1.81%,-,-1.05%,-,-,-,6.36%,5.07%
17,Earnings Yield,0.53%,0.79%,-0.37%,2.57%,-0.13%,-5.57%,-6.06%,-2.83%,1.17%,6.91%,5.40%
18,FCF Yield,8.68%,12.92%,-16.38%,-23.87%,-8.12%,-13.92%,-20.66%,-26.22%,-12.05%,-3.52%,-0.79%
19,Buyback Yield / Dilution,-,-,-,-,-,-11.70%,-11.78%,-0.10%,-8.41%,-18.33%,
20,Total Shareholder Return,-,-,-,-,-,-11.70%,-11.78%,-0.10%,-8.41%,-18.33%,
