,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 3, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4784,4220,4000,4310,4123,4455,4084,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-5.29%,-5.29%,-2.06%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4121,3545,3226,3472,3285,3534,3173,-,-,-,-,-,-,-,-,-
3,Last Close Price,38.57,34.02,32.25,34.51,33.01,35.67,32.70,-,-,-,-,-,-,-,-,-
4,PE Ratio,230.43,203.49,145.45,110.30,85.66,89.72,85.95,-,-,-,-,-,-,-,-,-
5,PS Ratio,9.61,8.48,8.21,8.89,8.51,9.11,8.21,-,-,-,-,-,-,-,-,-
6,PB Ratio,3.82,3.37,3.21,3.39,3.25,3.54,3.28,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,3.52,3.52,3.35,3.53,3.39,3.69,3.30,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,2815.27,-,20.61,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,147.49,147.49,-,-,46.32,-,19.63,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.29,7.13,6.62,7.16,6.78,7.23,6.38,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,295.94,159.57,158.97,-,71.62,77.79,65.11,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,568.54,-,-,106.14,114.78,92.39,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-29.32,-,-,-,2243.15,-,16.01,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.03,0.11,-,0.33,0.40,0.40,0.40,0.26,0.26
15,Debt / EBITDA Ratio,0.84,0.22,0.95,-,0.75,0.01,0.13,0.49,1.93,-,0.71,0.84,1.17,1.17,0.67,0.67
16,Debt / FCF Ratio,-,-,-,-,12.73,-,0.03,0.17,0.31,-,-5.44,-2.09,-,-,-,-
17,Asset Turnover,0.37,0.38,0.32,0.31,0.35,0.38,0.44,-,-,-,-,0.96,1.05,1.00,-,
18,Inventory Turnover,2.98,2.96,3.70,3.23,2.77,3.25,3.56,2.78,-,-,-,-,2.48,2.90,2.86,-
19,Quick Ratio,4.04,4.04,5.25,7.12,6.34,7.39,7.72,6.48,1.86,-,1.38,-,1.01,1.01,1.06,1.06
20,Current Ratio,4.83,4.83,6.23,8.06,7.20,8.37,8.53,7.31,2.61,-,1.91,-,1.66,1.66,1.66,1.66
21,Return on Equity (ROE),1.63%,0.50%,1.27%,3.17%,3.79%,4.21%,6.30%,-,-,44.41%,35.14%,27.03%,28.99%,29.62%,-,
22,Return on Assets (ROA),1.57%,-0.24%,-0.68%,0.38%,1.35%,0.98%,3.78%,-,-,-,-,9.85%,10.87%,11.96%,-,
23,Return on Capital (ROIC),1.84%,-0.27%,-0.76%,0.43%,1.52%,1.10%,4.44%,-,-,21.50%,19.38%,13.40%,15.08%,17.01%,-,
24,Return on Capital Employed (ROCE),-,0.48%,-,-,2.41%,2.42%,2.72%,5.58%,21.06%,-,31.38%,-,29.02%,21.71%,16.72%,8.36%
25,Earnings Yield,0.43%,0.49%,0.69%,0.91%,1.17%,1.11%,1.16%,-,-,-,-,-,-,-,-,-
26,FCF Yield,-2.94%,-3.33%,-5.35%,-3.02%,0.04%,1.93%,4.85%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.73%,-,-,-,0.65%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,129.49%,9.77%,1652.74%,-,2.68%,15.34%,127.22%,3.18%,11.81%,12.79%,4.02%,6.82%,6.39%,6.39%,4.73%,4.73%
29,Buyback Yield / Dilution,-14.51%,0.27%,-33.51%,-0.01%,-34.84%,-33.29%,-0.00%,-33.35%,1.09%,-0.33%,0.56%,0.55%,-,-,-,-
30,Total Shareholder Return,-13.78%,0.27%,-33.51%,-0.01%,-34.19%,-33.29%,-0.00%,-33.35%,1.09%,-0.33%,0.56%,0.55%,-,-,-,-
