,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,449.41,686.03,788.07,850.73,838.21,926.84,948.09,85.73,-,45.97,-,24.43,24.43,23.72,23.72
1,Trading Asset Securities,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,674.41,686.03,788.07,850.73,838.21,926.84,948.09,85.73,-,45.97,24.43,24.43,24.43,23.72,23.72
3,Cash Growth,-19.54%,-25.98%,-16.88%,892.31%,-,1916.11%,3780.39%,250.89%,-,93.79%,2.99%,-,-,-,-
4,Accounts Receivable,257.02,245.56,225.46,229.85,235.04,220.63,209.83,248.47,-,342.37,-,262.09,262.09,203.23,203.23
5,Other Receivables,2.08,1.29,5.34,3.51,8.02,1.88,1.25,0.03,-,0.94,-,0.08,0.08,0.22,0.22
6,Receivables,259.1,246.84,230.81,233.36,243.05,222.51,211.08,248.49,-,343.31,-,262.17,262.17,203.45,203.45
7,Inventory,160.23,148.38,121.94,143.74,136.88,119.84,143.44,123.62,-,145.61,-,176.77,176.77,126.34,126.34
8,Other Current Assets,23.64,26.36,12.96,3.66,6.1,1.88,6.35,9.91,-,5.73,-,7.3,7.3,3.21,3.21
9,Total Current Assets,1117,1108,1154,1231,1224,1271,1309,467.76,-,540.62,-,470.68,470.68,356.72,356.72
10,"Property, Plant & Equipment",289.25,240.41,181.64,151.4,122.22,115.45,114.78,118.21,-,119.36,-,114.71,114.71,118.17,118.17
11,Other Intangible Assets,52.11,52.42,52.74,53.03,51.61,6.82,6.9,6.98,-,7.14,-,7.27,7.27,7.36,7.36
12,Long-Term Deferred Tax Assets,8.13,4.89,4.81,4.68,4.34,4.12,4.23,4.53,-,4.25,-,3.76,3.76,3.28,3.28
13,Long-Term Deferred Charges,1.81,1.34,1.35,1.54,1.44,1.02,0.89,1.13,-,1.3,-,1.7,1.7,1.61,1.61
14,Other Long-Term Assets,52.22,33.2,36.39,12.96,15.17,11.77,9.46,9.42,-,10.44,-,18.82,18.82,14.42,14.42
15,Total Assets,1521,1440,1431,1455,1419,1410,1445,608.03,-,683.11,-,616.94,616.94,501.55,501.55
16,Accounts Payable,171.53,122.99,81.04,103.17,112.28,105.37,92.42,73.61,-,91.43,-,78.54,78.54,92.71,92.71
17,Accrued Expenses,13.57,19.55,10.91,24.96,11.84,18.39,8.14,20.41,-,19.49,-,21.55,21.55,15.48,15.48
18,Short-Term Debt,11.34,11.34,14.03,18.59,0.2,4.89,37.13,44.26,-,128.76,-,129.88,129.88,72.84,72.84
19,Current Portion of Leases,0.13,0.01,0.03,0.06,0.09,0.1,0.1,0.1,-,0.1,-,0.1,0.1,-,-
20,Current Income Taxes Payable,2.22,0.13,6.24,1.9,7.35,1.17,5.14,0.17,-,7.68,-,5.77,5.77,4.17,4.17
21,Current Unearned Revenue,1.78,0.74,5.69,7.58,3.08,1.16,0.53,1.2,-,0.41,-,0.7,0.7,1.72,1.72
22,Other Current Liabilities,30.63,23.02,25.19,14.79,11.47,17.85,35.52,39.47,-,34.76,-,47.43,47.43,27.6,27.6
23,Total Current Liabilities,231.21,177.78,143.14,171.06,146.31,148.93,178.98,179.21,-,282.62,-,283.96,283.96,214.51,214.51
24,Long-Term Leases,0.22,-,-,-,-,0.01,0.04,0.06,-,0.11,-,0.16,0.16,-,-
25,Long-Term Unearned Revenue,36.93,14.9,15.44,15.98,14.59,15.09,14.85,15.32,-,8.75,-,9.33,9.33,7.27,7.27
26,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,0.55,0.56,-,0.03,-,-,-,-,-
27,Total Liabilities,268.36,192.68,158.58,187.05,160.91,164.03,194.42,195.16,-,291.5,-,293.45,293.45,221.79,221.79
28,Common Stock,124.03,124.03,88.59,88.59,88.59,88.59,88.59,66.44,-,66.44,-,66.44,66.44,66.44,66.44
29,Additional Paid-In Capital,842.9,842.9,878.34,878.34,878.34,878.34,878.34,75.66,-,75.66,-,75.66,75.66,75.66,75.66
30,Retained Earnings,285.32,280.22,305.22,301.17,291.16,279.29,283.86,270.76,-,249.5,-,181.38,181.38,137.66,137.66
31,Comprehensive Income & Other,0.27,0.04,-0.03,-0.05,-,-,-,-,-,-,-,-,-,-,-
