,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,89100,90882,81081,92664,85536,78408,86427,90882,87318,90882,141669,138105,310958,217404,106920,87318,87318,66825,63261,68607,73953,Upgrade
1,Market Cap Growth,15.91%,15.91%,-6.19%,1.96%,-2.04%,-13.73%,-38.99%,-34.19%,-71.92%,-58.20%,32.50%,58.16%,256.12%,225.33%,69.01%,27.27%,18.07%,-21.88%,-2.74%,-18.95%,-19.42%,Upgrade
2,Enterprise Value,82911,95307,78185,92970,93184,101238,109257,117810,111140,114704,164217,164831,340682,248283,137799,118197,124332,107823,97633,132317,143798,Upgrade
3,Last Close Price,10000.00,10200.00,9100.00,10400.00,9142.86,8380.95,9238.10,9714.29,9333.33,9714.29,15142.86,13937.22,31381.22,21939.88,10790.10,8811.92,8811.92,6743.81,6384.14,6923.65,6701.61,Upgrade
4,PE Ratio,10.75,-,6.36,16.57,19.21,-71.45,-12.02,-12.53,-,-,26.51,25.35,77.42,-,16.00,9.23,13.38,13.37,5.20,3.85,3.69,Upgrade
5,Forward PE,-,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,Upgrade
6,PS Ratio,0.33,0.30,0.27,0.34,0.31,0.32,0.36,0.36,0.33,0.30,0.50,0.56,1.19,0.83,0.41,0.31,0.34,0.26,0.20,0.19,0.19,Upgrade
7,PB Ratio,0.67,0.68,0.60,0.73,0.66,0.60,0.67,-,0.68,0.71,1.06,0.97,2.27,1.59,-,0.62,0.62,0.48,0.46,0.51,0.51,Upgrade
8,P/TBV Ratio,0.68,0.68,0.60,0.73,0.66,0.61,0.67,-,0.69,0.71,1.07,0.97,2.27,1.59,-,0.64,0.64,0.49,0.47,0.53,0.52,Upgrade
9,P/FCF Ratio,4.97,5.07,-,2.58,3.25,3.17,5.67,-,4.52,-,9.91,8.35,16.01,-,3.74,12.99,2.11,1.70,-,1.44,12.38,Upgrade
10,P/OCF Ratio,4.48,4.48,-,2.99,4.02,3.98,6.79,-,4.30,-,7.38,5.47,12.84,-,2.72,4.00,1.48,1.15,-,1.12,3.92,Upgrade
11,EV/Sales Ratio,0.27,0.31,0.26,0.34,0.34,0.41,0.45,0.47,0.42,0.38,0.58,0.67,1.30,0.94,0.52,0.42,0.48,0.42,0.31,0.36,0.37,Upgrade
12,EV/EBITDA Ratio,2.64,3.03,2.55,4.05,5.60,8.87,22.56,-,-,-,6.90,6.82,14.79,11.11,5.51,4.21,4.67,4.26,2.82,3.17,3.29,Upgrade
13,EV/EBIT Ratio,4.42,5.08,4.35,8.88,10.02,28.45,-31.50,-27.92,-,-,18.00,17.63,42.75,-,14.45,9.52,11.54,11.52,5.26,5.12,5.18,Upgrade
14,EV/FCF Ratio,4.63,5.32,-,2.59,3.55,4.10,7.17,-,5.76,-,11.49,9.96,17.54,-,4.82,17.58,3.01,2.75,-,2.78,24.08,Upgrade
15,Debt / Equity Ratio,0.14,0.14,0.16,0.08,0.15,0.19,0.19,-,0.28,0.28,0.25,0.25,0.29,0.29,-,0.33,0.33,0.39,0.40,0.43,0.50,Upgrade
16,Debt / EBITDA Ratio,0.57,0.65,0.41,0.40,1.02,0.98,1.08,-,-,-,1.59,0.95,1.31,7.74,-,1.37,1.64,3.42,1.59,2.07,3.24,Upgrade
17,Debt / FCF Ratio,1.01,1.01,-,0.28,0.76,0.98,1.59,-,1.87,-,2.36,2.19,2.07,-,-,6.84,1.11,1.37,-,1.21,12.32,Upgrade
18,Asset Turnover,1.59,1.83,1.31,1.14,1.29,1.27,-,-,1.19,1.31,-,-,-,-,-,1.11,0.83,0.96,1.04,0.95,Upgrade,
19,Inventory Turnover,21.80,22.30,22.43,17.87,20.58,22.96,19.19,-,-,14.16,15.50,-,-,-,-,-,12.35,8.24,9.17,10.59,10.41,Upgrade
20,Quick Ratio,1.93,1.93,2.06,1.77,1.69,1.56,1.56,-,-,1.31,1.27,1.34,-,1.59,-,-,1.39,1.33,1.25,1.21,1.29,Upgrade
21,Current Ratio,2.30,2.30,2.25,2.02,1.91,1.75,1.75,-,-,1.62,1.62,1.65,-,1.82,-,-,1.63,1.64,1.58,1.61,1.72,Upgrade
22,Return on Equity (ROE),-6.54%,25.20%,7.28%,3.09%,3.55%,3.51%,-,-14.25%,-15.20%,3.11%,13.04%,9.13%,-,-,8.38%,5.55%,0.99%,11.19%,0.63%,1.17%,Upgrade,
23,Return on Assets (ROA),4.51%,12.01%,3.83%,2.16%,3.34%,2.74%,-,-,-4.43%,1.73%,-,-,-,-,-,3.00%,0.05%,4.49%,2.66%,1.41%,Upgrade,
24,Return on Capital (ROIC),6.13%,16.84%,5.50%,3.09%,4.85%,3.87%,-,-5.89%,-6.11%,2.44%,8.28%,5.70%,-,-,6.08%,4.01%,0.07%,6.20%,3.50%,1.81%,Upgrade,
25,Return on Capital Employed (ROCE),14.00%,14.00%,13.17%,8.17%,7.08%,2.73%,-2.66%,-,-,-,6.65%,6.33%,-,-,-,-,7.14%,6.23%,12.22%,17.14%,16.79%,Upgrade
26,Earnings Yield,10.56%,10.36%,15.72%,6.03%,5.21%,-1.40%,-8.32%,-7.98%,-4.46%,4.15%,3.77%,3.95%,1.29%,1.31%,6.25%,10.83%,7.47%,7.48%,19.21%,25.98%,27.10%,Upgrade
27,FCF Yield,20.11%,19.71%,7.38%,38.78%,30.72%,31.51%,17.62%,-,22.11%,-,10.09%,11.98%,6.24%,-,26.72%,7.70%,47.38%,58.72%,40.07%,69.27%,8.08%,Upgrade
28,Dividend Yield,5.00%,-,-,-,-,5.97%,-,-,-,-,-,-,-,4.56%,-,-,-,-,-,-,-,Upgrade
29,Payout Ratio,47.75%,-,-,192.37%,-,-,-,-,-,-,852.73%,-,-,-,-,-,-,-,-,4586.45%,61.21%,Upgrade
30,Buyback Yield / Dilution,-0.09%,11.84%,10.88%,0.31%,-0.02%,-13.49%,-11.99%,-0.20%,12.02%,0.10%,-0.62%,-0.13%,-13.40%,11.13%,1.12%,1.08%,-0.50%,0.90%,-0.73%,-1.14%,12.22%,Upgrade
31,Total Shareholder Return,4.91%,11.84%,10.88%,0.31%,-0.02%,-7.52%,-11.99%,-0.20%,12.02%,0.10%,-0.62%,-0.13%,-13.40%,15.68%,1.12%,1.08%,-0.50%,0.90%,-0.73%,-1.14%,12.22%,Upgrade
