,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,83221,94646,67788,62272,72257,70520,68783,35308,67611,79742,81664,69179,53270,43410,95844,70509,53572,64067,70597,67645,Upgrade
1,Revenue Growth (YoY),15.17%,34.21%,-1.45%,76.37%,6.87%,-11.57%,-15.77%,-48.96%,26.92%,83.70%,-14.80%,-1.89%,-0.56%,-32.24%,35.76%,4.23%,-53.71%,-43.97%,-25.63%,-8.32%,Upgrade
2,Cost of Revenue,75989,82041,61496,58061,64569,64493,64407,36374,66425,74779,71911,61904,49643,39669,82294,64664,50457,56567,64440,62456,Upgrade
3,Gross Profit,7233,12606,6292,4211,7688,6027,4376,-1066,1187,4963,9754,7275,3627,3740,13551,5846,3115,7500,6158,5189,Upgrade
4,"Selling, General & Admin",3444,2677,3128,2332,4706,3585,2380,2797,5231,3271,3851,3231,6145,1818,9030,2808,3061,2702,3270,3572,Upgrade
5,Operating Expenses,3444,2677,3128,2332,4706,3585,2380,2797,5231,3271,3851,3231,6145,1818,9030,2808,3061,2702,3270,3572,Upgrade
6,Operating Income,3789,9929,3164,1878,2982,2442,1997,-3863,-4044,1692,5903,4044,-2517,1922,4520,3038,54.12,4798,2888,1617,Upgrade
7,Interest Expense,-295.02,-187.95,-220.33,-320.44,-583.88,-616.39,-638.25,-630.39,-294.13,-715.83,-90.57,-315.57,-933.96,-510.84,-943.04,-880.49,-939.04,-961.15,-1543,-1115,Upgrade
8,Interest & Investment Income,208.65,70.95,12.49,6,8.71,-,9.62,5.73,16.36,155.59,9.72,101.37,94.07,82.49,71.72,159.84,167.85,77.51,43.42,25.61,Upgrade
