,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,248,285,302,425,775,1055,1421,2444,2693,3458,5871
1,Market Cap Growth,-32.91%,-32.91%,-61.11%,-59.69%,-45.45%,-56.83%,-47.22%,-29.32%,-54.13%,-33.02%,-
2,Enterprise Value,250,-89,-171,-623,-528,-443,-121,907,1278,2011,4202
3,Last Close Price,0.23,0.27,0.28,0.40,0.72,0.98,1.32,2.27,2.50,3.21,5.45
4,PE Ratio,-,-,8.99,10.28,-14.94,-,-,43.17,-,-,-26.27
5,Forward PE,-,6.12,6.12,6.12,6.12,6.12,6.12,6.12,8.59,8.90,10.72
6,PS Ratio,0.27,0.31,0.25,0.22,0.42,0.81,0.88,1.54,2.12,2.35,3.18
7,PB Ratio,0.17,0.20,0.20,0.29,0.52,0.72,0.90,1.50,1.76,2.34,3.86
8,P/TBV Ratio,0.20,0.20,0.20,0.29,0.53,0.72,0.90,1.50,1.76,2.34,3.86
9,P/FCF Ratio,-,-,-,-,-,-,-,42.84,78.51,-,22.04
10,P/OCF Ratio,-,-,-,-,-,-,-,36.23,64.33,-,21.78
11,PEG Ratio,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.22
12,EV/Sales Ratio,0.28,-,-,-,-,-,-,0.57,1.00,1.37,2.27
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,1132.12,-,-,15.30
14,EV/EBIT Ratio,-,-,-,-,-,-,-,-316.01,-,-,15.62
15,EV/FCF Ratio,-0.45,-,-,-,-,-,-,15.89,37.24,-,15.78
16,Debt / Equity Ratio,0.51,0.51,0.38,0.39,0.10,0.01,0.01,0.01,0.01,0.00,0.00
17,Debt / FCF Ratio,-,-,-,-,-,-,-,0.39,0.28,-,0.01
18,Return on Capital Employed (ROCE),-,-,0.81%,-,-3.66%,-,-,-0.18%,-,-,17.66%
19,Earnings Yield,-4.65%,-4.03%,11.13%,9.72%,-6.69%,-15.17%,-1.02%,2.32%,-2.80%,4.28%,-3.81%
20,FCF Yield,-226.58%,-196.65%,-108.64%,-68.14%,-25.82%,-10.77%,-1.87%,2.33%,1.27%,1.13%,4.54%
21,Buyback Yield / Dilution,-0.78%,-0.70%,-0.87%,-1.11%,-6.40%,3.04%,6.15%,-3.13%,1.19%,-37.85%,-65.61%
22,Total Shareholder Return,-0.78%,-0.70%,-0.87%,-1.11%,-6.40%,3.04%,6.15%,-3.13%,1.19%,-37.85%,-65.61%
