,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,668.11,650.73,646.51,601.85,574.45,545.4,374.79,285.67,254.66,269.64,354.96,420.58
1,Other Revenue,-,-1.73,1.73,-,0.09,-,-,-,0.94,-,-,-
2,Revenue,668.11,649,648.25,601.85,574.55,545.4,374.79,285.67,255.6,269.64,354.96,420.58
3,Revenue Growth (YoY),16.28%,19.00%,72.96%,110.68%,124.78%,102.27%,5.59%,-32.08%,-,-,-,-
4,Cost of Revenue,-1123,381.37,396.15,345.65,342.2,307.27,221.88,167.89,173.14,140.2,217.95,233.56
5,Gross Profit,1791,267.63,252.09,256.2,232.35,238.13,152.91,117.78,82.46,129.43,137.01,187.02
6,"Selling, General & Admin",-233.83,84.66,77.47,71.7,80.22,72.75,46.41,32.21,36.92,39,35.8,25.2
7,Research & Development,-299.28,116.6,92.88,89.79,91.58,76.21,68.09,56.63,62.03,54.01,39.77,30.49
8,Other Operating Expenses,2260,2.51,3.31,1.09,2.97,1.28,1.28,0.74,4.34,0.43,1.91,-0.38
9,Operating Expenses,1730,201.91,173.23,162.53,177.02,148.58,119.13,86.71,98.04,98.2,76.7,55.71
10,Operating Income,61.65,65.72,78.86,93.67,55.32,89.54,33.78,31.06,-15.58,31.23,60.31,131.31
11,Interest Expense,-43.58,-0.13,-0.09,-0.09,-0.19,-0.21,-0.25,-2.22,-0.39,-0.39,-0.72,-0.09
12,Interest & Investment Income,0.31,12.06,15.14,16.37,13.53,12.16,12.07,6.26,3.41,1.38,0.56,0.53
