,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,2884,2846,2895,2877,2976,3230,3059,844.36,-,577.98,-
1,Trading Asset Securities,-,-,-,-,-,70,-,-,146.76,-,-,-
2,Cash & Short-Term Investments,2884,2884,2846,2895,2877,3046,3230,3059,991.12,-,577.98,485.33
3,Cash Growth,0.23%,-5.33%,-11.88%,-5.37%,190.26%,-,458.77%,530.27%,-,-,-,-
4,Accounts Receivable,-,125.84,159.57,142.07,207.2,210.88,148.74,121.15,101.04,-,149.79,-
5,Other Receivables,-,377.53,372.85,371.58,2.69,446.58,446.15,446.51,0.91,-,-,-
6,Receivables,-,503.37,532.41,513.65,209.89,657.46,594.89,567.65,101.95,-,149.79,-
7,Inventory,-,684.43,639.13,615.51,525.38,369.05,343.95,295.44,335.58,-,282.96,-
8,Other Current Assets,-,79.35,47.05,27.94,493.47,52.73,36.02,32.63,770.65,-,577.06,-
9,Total Current Assets,-,4151,4065,4052,4106,4125,4204,3955,2199,-,1588,-
10,"Property, Plant & Equipment",-,356.71,343.27,337.07,337.49,64.28,64.41,68.71,70.29,-,74.21,-
11,Long-Term Investments,-,91.89,51.17,11,3,3,3,3,3,-,7.95,-
12,Other Intangible Assets,-,10.03,9.56,10.85,7.39,5.63,6.49,7.6,8.92,-,11.26,-
13,Long-Term Deferred Tax Assets,-,-,-,0.01,0.01,-,5.31,4.88,4.89,-,-,-
14,Long-Term Deferred Charges,-,7.51,7.31,7.31,7.45,16.85,17.51,16.76,17.64,-,-,-
15,Other Long-Term Assets,-,18.05,20.81,2.01,0.95,0.07,0.21,0.5,0.28,-,3.53,-
16,Total Assets,-,4635,4497,4420,4462,4215,4301,4056,2304,-,1685,-
17,Accounts Payable,-,595.97,467.14,502.33,558.32,518.17,575.96,484.51,787.35,-,571.64,-
18,Accrued Expenses,-,81.39,132.29,38.59,156.76,53.61,116.34,28.95,84.79,-,32.17,-
19,Short-Term Debt,-,-,-,-,-,-,-,1,301.09,-,10.01,-
20,Current Portion of Leases,-,5.34,5.97,7.32,7.21,12.34,13.26,13.48,13.48,-,12.34,-
21,Current Income Taxes Payable,-,33.77,-,2.38,0.04,1.74,-,2.81,-,-,-,-
22,Current Unearned Revenue,-,3.77,2.91,3.56,3.65,8.99,1.77,2.1,0.97,-,1.39,-
23,Other Current Liabilities,-,23.2,33.78,28.19,28.64,29.1,109.9,33.51,29.52,-,16.58,-
24,Total Current Liabilities,-,743.44,642.09,582.37,754.62,623.96,817.22,566.35,1217,-,644.13,-
25,Long-Term Leases,-,5.52,4.89,1.69,2.59,4.7,7.19,8.88,12.08,-,16.83,-
26,Long-Term Unearned Revenue,-,11.39,8.27,8.44,5.61,5.07,5.14,0.8,0.8,-,0.4,-
27,Long-Term Deferred Tax Liabilities,-,0.05,0.07,-,-,-,-,-,-,-,-,-
28,Total Liabilities,-,760.41,655.31,592.49,762.82,633.73,829.55,576.03,1230,-,661.36,-
29,Common Stock,-,425.46,423.53,423.53,423.53,423.53,423.53,423.53,360,-,360,-
30,Additional Paid-In Capital,-,2897,2838,2810,2783,2747,2718,2711,400.11,-,392.96,-
31,Retained Earnings,-,601.8,577.36,591.34,490.79,409.86,330.29,345.09,314.14,-,270.36,-
32,Treasury Stock,-,-50.01,-,-,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,-,0.42,2.59,2.15,1.94,0.23,0.24,-,-,-,0.05,-
34,Shareholders' Equity,3874,3874,3841,3827,3699,3581,3472,3480,1074,-,1023,913.8
35,Total Liabilities & Equity,-,4635,4497,4420,4462,4215,4301,4056,2304,-,1685,-
36,Total Debt,10.86,10.86,10.86,9,9.8,17.04,20.45,23.36,326.65,-,39.18,33.99
37,Net Cash (Debt),2873,2873,2835,2886,2867,3029,3209,3036,664.47,-,538.8,451.34
38,Net Cash Growth,0.20%,-5.15%,-11.65%,-4.94%,331.48%,-,495.60%,572.56%,-,-,-,-
39,Net Cash Per Share,7.00,6.85,6.51,6.60,6.26,7.09,9.67,6.86,1.83,-,1.46,1.27
40,Filing Date Shares Outstanding,410.55,419.18,423.23,423.53,423.53,423.53,423.53,423.53,360,361.21,360,355.74
41,Total Common Shares Outstanding,410.55,419.18,423.53,423.53,423.53,423.53,423.53,423.53,360,361.21,360,355.74
42,Working Capital,-,3407,3423,3469,3351,3501,3387,3388,982.12,-,943.66,-
43,Book Value Per Share,9.24,9.24,9.07,9.04,8.73,8.46,8.20,8.22,2.98,-,2.84,2.54
44,Tangible Book Value,3864,3864,3832,3817,3692,3575,3465,3472,1065,-,1012,906.82
45,Tangible Book Value Per Share,9.22,9.22,9.05,9.01,8.72,8.44,8.18,8.20,2.96,-,2.81,2.52
46,Buildings,-,-,275.93,-,275.93,-,-,-,-,-,-,-
47,Machinery,-,-,89.4,-,74.16,-,63.87,-,55.99,-,44.62,-
48,Construction In Progress,-,-,0.49,-,0.78,-,0.49,-,3.5,-,11.51,-
