,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,15589,15333,14619,15713,12947,16878,17314,17449,-,-,-,-,-
1,Market Cap Growth,-9.15%,-9.15%,-15.57%,-9.95%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12716,12461,11784,12827,10080,13849,14105,14414,-,-,-,-,-
3,Last Close Price,36.64,36.04,34.36,36.96,30.20,39.37,40.39,40.50,-,-,-,-,-
4,PE Ratio,50.89,50.57,41.42,42.95,39.12,64.58,95.92,121.00,-,-,-,-,-
5,Forward PE,34.21,32.98,31.92,38.08,34.94,52.43,58.40,-,-,-,-,-,-
6,PS Ratio,6.01,5.97,5.91,6.63,6.18,9.48,11.85,14.72,-,-,-,-,-
7,PB Ratio,3.96,3.96,3.77,4.09,3.38,4.56,4.83,5.03,-,-,-,-,-
8,P/TBV Ratio,3.97,3.97,3.78,4.10,3.39,4.57,4.84,5.04,-,-,-,-,-
9,P/FCF Ratio,-,-,71.02,-558.80,-92093.35,-,-,63.90,-,-,-,-,-
10,P/OCF Ratio,-,-,26.43,50.62,42.01,81.08,-,55.47,-,-,-,-,-
11,EV/Sales Ratio,4.95,4.85,4.76,5.41,4.81,7.78,9.65,12.16,-,-,-,-,-
12,EV/EBITDA Ratio,40.93,39.74,38.35,38.81,35.59,62.93,94.89,161.75,-,-,-,-,-
13,EV/EBIT Ratio,42.40,41.55,40.14,40.41,37.02,66.04,101.61,179.05,-,-,-,-,-
14,EV/FCF Ratio,-,-,57.24,-456.18,-71700.40,-,-,52.79,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.30,-,0.04,0.04
16,Debt / EBITDA Ratio,0.03,0.04,0.04,0.03,0.02,0.03,0.05,0.13,0.18,-,-,0.14,0.06
17,Debt / FCF Ratio,-,-,0.05,-0.39,-64.05,-,-,0.07,-,1.08,-,0.21,0.35
18,Asset Turnover,-,0.57,0.58,0.54,0.53,0.51,0.36,0.36,-,-,-,-,
19,Inventory Turnover,-,-,2.31,2.53,2.42,3.06,3.45,2.78,2.13,-,-,-,-
20,Quick Ratio,-,-,4.56,5.26,5.85,4.09,5.94,4.68,6.40,0.90,-,1.13,-
21,Current Ratio,-,-,5.58,6.33,6.96,5.44,6.61,5.14,6.98,1.81,-,2.47,-
22,Return on Equity (ROE),3.24%,6.91%,10.91%,10.69%,8.92%,9.03%,8.02%,5.44%,-,-,30.79%,-,
23,Return on Assets (ROA),-,3.60%,4.42%,5.27%,3.19%,5.26%,2.02%,2.44%,-,-,-,-,
24,Return on Capital (ROIC),3.97%,4.25%,5.13%,6.21%,3.79%,6.31%,2.41%,3.17%,-,-,15.00%,-,
25,Return on Capital Employed (ROCE),-,-,7.54%,8.23%,7.10%,5.66%,3.87%,2.31%,3.07%,-,-,18.41%,-
26,Earnings Yield,1.95%,1.98%,2.41%,2.33%,2.56%,1.55%,1.04%,0.83%,-,-,-,-,-
27,FCF Yield,-,1.41%,-0.18%,-0.00%,-0.58%,0.67%,1.56%,-,-,-,-,-,
28,Dividend Yield,0.53%,-,-,1.03%,-,0.71%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,63.32%,113.37%,-,0.11%,106.45%,-,6.58%,0.41%,0.22%,0.12%,78.15%
30,Buyback Yield / Dilution,-1.51%,10.37%,1.90%,-31.35%,1.15%,-26.04%,-18.29%,9.82%,-24.32%,-,-,-,-
31,Total Shareholder Return,-0.99%,10.37%,1.90%,-30.32%,1.15%,-25.33%,-18.29%,9.82%,-24.32%,-,-,-,-
