,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2784,2253,2089,2129,2472,2423,2289,2436,2239,2321,3099,4836,3192,3042,3516,-,-,-,-,-
1,Market Cap Growth,-7.03%,-7.03%,-8.73%,-12.61%,10.44%,4.40%,-26.14%,-49.63%,-29.86%,-23.71%,-11.86%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2157,1636,1427,1436,1749,1718,1559,1713,1474,1593,2421,4089,2462,2324,3525,-,-,-,-,-
3,Last Close Price,28.66,23.19,21.16,20.51,23.82,23.34,22.06,23.15,21.28,21.78,29.08,44.83,29.59,28.20,32.02,-,-,-,-,-
4,PE Ratio,21.05,17.01,15.90,16.93,21.42,24.13,23.60,23.79,19.73,17.45,22.68,33.69,23.65,22.77,26.17,-,-,-,-,-
5,PS Ratio,4.49,3.63,3.60,3.92,4.88,5.09,5.06,5.32,4.33,3.94,4.67,6.72,4.55,4.62,5.72,-,-,-,-,-
6,PB Ratio,2.39,1.94,1.80,1.80,2.08,2.09,2.03,2.17,2.03,2.08,2.85,4.62,2.98,2.94,3.29,-,-,-,-,-
7,P/TBV Ratio,1.99,1.99,1.85,1.85,2.13,2.15,2.09,2.23,2.09,2.14,2.94,4.77,3.07,3.02,3.38,-,-,-,-,-
8,P/FCF Ratio,130.38,105.50,-266.17,-120.26,-,354.41,-,32.28,-,27.15,24.47,-,40.73,59.85,-165.98,-,-,-,-,-
9,P/OCF Ratio,24.01,24.01,27.17,22.74,20.02,17.61,14.17,12.51,12.89,12.34,15.33,32.49,30.56,46.08,-7191.52,-,-,-,-,-
10,EV/Sales Ratio,3.48,2.64,2.45,2.65,3.45,3.61,3.45,3.74,2.85,2.70,3.65,5.69,3.51,3.53,5.73,-,-,-,-,-
11,EV/EBITDA Ratio,14.62,10.87,9.95,10.43,14.09,15.56,16.94,20.57,15.30,14.88,18.95,25.74,15.95,14.36,20.69,-,-,-,-,-
12,EV/EBIT Ratio,15.95,11.71,10.73,11.30,15.36,17.08,18.84,23.07,16.77,16.06,20.19,26.95,16.70,15.00,21.58,-,-,-,-,-
13,EV/FCF Ratio,101.04,76.63,-181.74,-81.11,-,251.34,-,22.70,-,18.64,19.11,-,31.42,45.73,-166.39,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,0.02,0.07,0.11,0.11,0.05,0.02,0.09,0.30,0.25,-,0.23,0.14
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.23,1.48,1.22,0.77,0.43,0.12,0.42,0.72,0.43,-,0.41,0.33
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,0.97,0.96,-,0.72,0.32,-4.41,-,64.98,-,-,3.23
17,Asset Turnover,0.55,0.56,0.46,0.46,0.43,0.45,0.37,0.38,0.34,0.44,0.55,0.65,0.61,0.92,1.36,-,-,-,-,
18,Inventory Turnover,5.39,5.38,5.46,5.13,5.68,5.00,5.33,3.96,3.97,3.57,3.82,4.34,5.25,3.85,3.57,3.58,-,-,-,-
19,Quick Ratio,15.08,15.08,15.69,16.41,18.89,13.17,21.66,42.95,18.65,9.35,6.13,5.44,9.46,11.64,6.44,1.32,1.63,-,1.99,-
20,Current Ratio,17.44,17.44,18.40,18.91,21.06,14.65,23.93,47.80,20.80,10.38,6.91,6.40,10.67,13.54,7.59,2.48,2.66,-,2.87,-
21,Return on Equity (ROE),10.77%,12.40%,11.13%,10.85%,10.58%,10.88%,8.15%,6.07%,9.75%,13.52%,12.76%,13.79%,11.60%,25.09%,35.01%,-,-,43.61%,-,
22,Return on Assets (ROA),7.56%,7.59%,6.77%,6.66%,6.26%,6.72%,4.40%,4.10%,2.45%,4.58%,7.07%,6.71%,7.05%,16.21%,17.28%,-,-,-,-,
23,Return on Capital (ROIC),7.88%,7.90%,7.03%,6.96%,6.54%,6.90%,4.49%,4.18%,2.51%,4.77%,7.40%,7.03%,7.42%,17.50%,20.11%,-,-,27.84%,-,
24,Return on Capital Employed (ROCE),11.64%,12.02%,11.46%,10.74%,9.57%,8.68%,7.33%,6.60%,7.97%,8.89%,11.04%,14.49%,13.75%,14.96%,15.29%,45.59%,46.80%,-,23.17%,-
25,Earnings Yield,4.76%,5.88%,6.29%,5.91%,4.67%,4.14%,4.24%,4.20%,5.07%,5.73%,4.41%,2.97%,4.23%,4.39%,3.82%,-,-,-,-,-
26,FCF Yield,0.77%,0.95%,-0.38%,-0.83%,-0.70%,0.28%,0.99%,3.10%,2.09%,3.68%,4.09%,1.71%,2.46%,1.67%,-0.60%,-,-,-,-,-
27,Dividend Yield,2.03%,-,4.25%,-,2.52%,-,-,-,2.82%,-,3.05%,-,3.98%,-,1.84%,-,-,-,-,-
28,Payout Ratio,66.59%,95.84%,160.36%,-,-,0.00%,96.86%,0.33%,156.82%,9.83%,10.38%,161.42%,5.72%,184.15%,-,-,-,4.24%,-,202.97%
29,Buyback Yield / Dilution,2.07%,3.13%,3.65%,-1.34%,2.81%,-4.66%,1.20%,0.69%,1.24%,2.11%,-21.30%,-34.07%,-35.37%,-32.89%,-11.09%,-,-,-,-,-
30,Total Shareholder Return,4.10%,3.13%,7.91%,-1.34%,5.33%,-4.66%,1.20%,0.69%,4.06%,2.11%,-18.25%,-34.07%,-31.39%,-32.89%,-9.25%,-,-,-,-,-
