,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,170.18,166.56,141.52,138.3,129.2,129.7,105.22,105.29,104.23,136.91,163.43,179.5,181.06,190,145.83,137.77,136.17,96.39,80.83
1,Other Revenue,-3.06,3.06,-,3.81,-1.32,1.32,-,6.57,-,-,-,5.16,-2.65,2.65,-,3.83,-1.03,0.64,0.39
2,Revenue,167.12,169.62,141.52,142.11,127.88,131.02,105.22,111.85,104.23,136.91,163.43,184.67,178.41,192.65,145.83,141.6,135.14,97.03,81.23
3,Revenue Growth (YoY),30.69%,29.46%,34.50%,27.05%,22.69%,-4.30%,-35.62%,-39.43%,-41.58%,-28.93%,12.07%,30.42%,32.01%,98.55%,79.53%,-,-,-,-
4,Cost of Revenue,115.2,116.02,94.71,92.23,83.21,89,70.79,78.42,77.26,100.05,116.23,138.35,124.52,122.7,103.6,89.18,81.84,59.76,50.9
5,Gross Profit,51.92,53.59,46.82,49.88,44.66,42.02,34.43,33.44,26.97,36.86,47.2,46.32,53.88,69.95,42.22,52.42,53.3,37.26,30.33
6,"Selling, General & Admin",8.45,10.19,7.21,9.79,8.19,7.82,7.95,6.79,9.3,7.71,7.58,0.04,16.46,9.49,8.22,7.34,9.74,5.17,5.4
7,Research & Development,4.9,4.95,5.55,5.99,6.6,5.99,6.9,5.88,6.76,5.93,6.43,12.37,5.71,3.76,3.81,3.39,2.98,2.99,3.47
8,Other Operating Expenses,2.12,1.3,0.38,0.25,0.15,-3.63,0.05,0.97,0.36,0.89,0.39,2.45,-0.7,0.78,0.24,3.21,-1.64,0.45,0.41
9,Operating Expenses,15.3,16.56,13.47,17.2,14.73,10.95,14.25,14.04,14.87,14.28,13.38,15.65,21.02,15.62,12.67,14.19,12.05,9.24,9.08
10,Operating Income,36.63,37.03,33.35,32.68,29.93,31.07,20.18,19.39,12.1,22.58,33.82,30.67,32.86,54.33,29.55,38.23,41.25,28.02,21.25
11,Interest Expense,-,-,-,-0,-0,-,-0.07,-0.54,-0.84,-1.08,-0.72,-0.22,-0.36,-0.91,-0.73,-0.68,-0.6,-0.4,-0.33
12,Interest & Investment Income,3.69,5.74,4.97,3.63,5.28,2.84,7.89,3.56,2.57,4.16,8.3,0.27,0.35,0.21,0.48,0.02,0.02,0.02,0.3
13,Currency Exchange Gain (Loss),-1.13,1.13,-,0.35,-0.07,0.07,-,26.42,-14.52,14.52,-,-4.91,2.11,-2.11,-,-8.23,-1.16,0.03,1.13
14,Other Non Operating Income (Expenses),-3.6,-0.36,0.07,-0.57,0.35,0.79,-1.07,-32.54,31.29,1.16,-0.15,1.61,-1.73,-0.55,0.4,-0.19,-2.75,2.7,-0.06
15,EBT Excluding Unusual Items,35.59,43.54,38.39,36.08,35.49,34.77,26.92,16.29,30.6,41.34,41.26,27.42,33.23,50.97,29.7,29.15,36.76,30.37,22.29
16,Gain (Loss) on Sale of Investments,0.37,-1.07,-0.66,0.43,-0.19,0.75,-1.37,1.45,0.38,0.36,-2.32,1.77,1.16,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,0.01,0.01,0.06,0.05,-0.22,-,-,-,0.07,-,-,-,-,0,-,-
18,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,-0.09,-,-
19,Other Unusual Items,0.14,-0.01,0.1,0.54,-,-,-,1.15,-,-,-,13.24,-,-,-,10.74,-,-3.14,3.14
20,Pretax Income,36.11,42.46,37.82,37.06,35.3,35.58,25.6,18.68,30.99,41.71,38.94,42.5,34.39,50.97,29.7,39.98,36.67,27.23,25.43
21,Income Tax Expense,4.83,6.13,4.83,5.23,5.07,4.93,2.9,1.85,4.15,5.67,5.16,6.17,3.88,8.04,4.51,5.04,5.38,4.14,3.9
22,Net Income,31.28,36.33,32.99,31.83,30.23,30.65,22.69,16.82,26.84,36.03,33.78,36.33,30.51,42.94,25.2,34.94,31.29,23.1,21.53
23,Net Income to Common,31.28,36.33,32.99,31.83,30.23,30.65,22.69,16.82,26.84,36.03,33.78,36.33,30.51,42.94,25.2,34.94,31.29,23.1,21.53
24,Net Income Growth,3.48%,18.52%,45.40%,89.16%,12.62%,-14.93%,-32.82%,-53.68%,-12.04%,-16.09%,34.07%,3.96%,-2.49%,85.90%,17.02%,-,-,-,-
25,Shares Outstanding (Basic),98,95,100,96,101,99,99,99,96,100,99,100,98,83,74,74,74,74,-
26,Shares Outstanding (Diluted),98,95,100,96,101,99,99,99,96,100,99,100,98,83,74,74,74,74,-
