,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,395.47,415.72,290.99,170.67,216.83,223.39,164.64,305.69,461.81,348.55,467.99,350.78,294.91,811.29,80.66,86.36,-,68.83,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-
2,Trading Asset Securities,231.07,200.7,371.77,522.43,507,481.19,565.44,436.81,385.36,500.98,320.61,452.93,451.16,-,-,-,-,-,-
3,Cash & Short-Term Investments,626.54,616.42,662.76,693.1,723.83,704.58,730.08,742.51,847.18,849.53,788.61,803.71,746.06,811.29,80.66,86.36,-,68.84,93.65
4,Cash Growth,-13.44%,-12.51%,-9.22%,-6.65%,-14.56%,-17.06%,-7.42%,-7.62%,13.55%,4.71%,877.72%,830.66%,-,1078.46%,-13.87%,-,-,-,-
5,Accounts Receivable,134.06,137.77,129.39,129.13,105.29,110.55,94.59,109.84,101.76,132.7,137.69,157.04,142.24,151.46,121.39,112.82,-,90.2,-
6,Other Receivables,2.36,1.78,1.39,2.93,5.32,5.57,2.17,2.41,2.69,2.85,3.88,4.02,1.52,6.61,3.8,2.79,-,0.86,-
7,Receivables,136.41,139.55,130.78,132.06,110.62,116.12,96.75,112.25,104.45,135.55,141.57,161.06,143.76,158.08,125.19,115.61,-,91.06,-
8,Inventory,87.17,84.21,85.93,61.84,68.13,65.09,68.58,74.53,83.42,89.84,119.43,95.05,115.64,143.27,131.7,99.56,-,67.84,-
9,Other Current Assets,32.32,46.39,35.08,32.78,25.56,21.02,24.66,24.19,21.5,34.89,45.28,28.19,29.6,30.12,48.8,27.33,-,2.34,-
10,Total Current Assets,882.44,886.57,914.55,919.78,928.13,906.81,920.08,953.47,1057,1110,1095,1088,1035,1143,386.35,328.86,-,230.08,-
11,"Property, Plant & Equipment",277.78,271.23,260.71,262.27,235.31,189.68,147.53,120.93,109.06,81.09,74.96,44.91,40.76,39.68,37.25,37.14,-,36.86,-
12,Other Intangible Assets,28.56,29.16,29.77,30.19,30.79,30.93,31.52,30.94,31.43,31.92,32.42,32.91,29.75,29.9,30.1,30.3,-,23.77,-
13,Long-Term Deferred Tax Assets,1.69,2.06,2.11,1.35,1.75,1.99,2.05,2.34,1.87,1.91,2.51,2.03,2.35,2.49,2.51,2.66,-,2.15,-
14,Other Long-Term Assets,22.5,19.79,23.52,19.34,26.14,37.45,43.13,41.54,18.97,21.8,12.97,6.02,4.71,4.4,-,-,-,-,-
15,Total Assets,1213,1209,1231,1233,1222,1167,1144,1149,1218,1247,1218,1174,1113,1219,456.21,398.96,-,292.87,-
16,Accounts Payable,33.84,34.55,29.54,25.26,44.99,22.19,8.07,12.01,4.93,25.87,41.91,24.61,38.19,41.54,56.08,38.88,-,23.11,-
17,Accrued Expenses,7.39,6.89,9.87,10.49,7.2,6.18,4.6,9.37,7.89,5.52,3.58,9.13,8.53,4.43,3.04,8.21,-,3.55,-
18,Short-Term Debt,-,-,-,-,-,-,-,19.99,82.82,121.76,110.27,56.36,16.36,93.4,89.38,69.47,-,49.47,-
19,Current Income Taxes Payable,6.89,5.68,6.43,6.22,5.99,4.19,4.22,2.53,3.6,4.7,12.95,7.74,10.25,8.18,4.25,5.21,-,3.38,-
20,Current Unearned Revenue,0.82,0.63,1.47,0.78,0.95,1.1,1.17,1.49,1.06,1.67,1.28,2.04,2.48,2.17,0.9,1.16,-,0.25,-
21,Other Current Liabilities,1.64,0.43,1.06,0.93,4.25,4.22,1.19,0.44,1.48,1.07,0.97,2.11,0.6,0.77,1.92,0.88,-,0.46,-
22,Total Current Liabilities,50.59,48.17,48.37,43.67,63.38,37.89,19.25,45.84,101.77,160.59,170.95,102,76.42,150.49,155.58,123.82,-,80.21,-
23,Long-Term Deferred Tax Liabilities,-,-,-,-,0.57,0.61,0.5,0.72,0.2,0.15,0.09,0.44,0.17,-,-,-,-,-,-
24,Total Liabilities,50.59,48.17,48.37,43.67,63.95,38.49,19.75,46.55,101.97,160.73,171.04,102.44,76.59,150.49,155.58,123.82,-,80.21,-
25,Common Stock,99.05,99.05,99.05,99.05,99.05,99.05,99.05,99.05,99.05,99.05,99.05,58.27,58.27,58.27,43.7,43.7,-,43.7,-
26,Additional Paid-In Capital,695.13,695.13,695.13,695.13,695.13,695.13,695.13,695.13,695.13,695.13,695.13,735.92,735.92,741.06,29.64,29.64,-,29.64,-
27,Retained Earnings,402.19,400.04,421.97,388.98,357.15,326.93,325.99,303.3,315.5,288.66,252.62,277.11,240.78,268.54,225.6,200.4,-,134.17,-
