,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,455.04,342.57,436.68,396.48,588.86,337.2,294.69,156.49,497.47,324.82,338.02,306.06,463.06,404.74,504.79,388.94,346.89,282.43,282.43
1,Other Revenue,-22.23,22.23,-,117.41,-64.22,64.22,-,274.45,-91.13,91.13,-,198.13,-44.14,44.14,-,32.23,-3.5,1.75,1.75
2,Revenue,432.81,364.8,436.68,513.89,524.64,401.42,294.69,430.94,406.34,415.95,338.02,504.19,418.92,448.88,504.79,421.16,343.39,284.18,284.18
3,Revenue Growth (YoY),-17.50%,-9.12%,48.18%,19.25%,29.11%,-3.49%,-12.82%,-14.53%,-3.00%,-7.34%,-33.04%,19.71%,22.00%,57.96%,77.63%,-,-,-,-
4,Cost of Revenue,382.86,360.87,354.1,412.62,396.52,332.5,264.43,431.66,390.65,419.31,305.89,460.94,313.24,335.6,337.27,290.27,224.17,189.61,189.61
5,Gross Profit,49.95,3.93,82.58,101.28,128.12,68.92,30.26,-0.72,15.69,-3.36,32.14,43.25,105.67,113.28,167.52,130.9,119.21,94.57,94.57
6,"Selling, General & Admin",52.65,68.5,63.85,50.13,76.31,40.91,29.39,55.68,45.45,37.63,33.85,42.1,43.62,46.56,50.33,48.39,37.52,31.13,31.13
7,Research & Development,55.47,63.89,63.04,53.82,48.54,28.13,22.33,25.67,28.26,33.67,26.33,22.55,19.53,21.83,25.38,20.46,12.53,10.96,10.96
8,Other Operating Expenses,-1.93,-10.8,-2.94,-15.94,-1.8,-4.86,-1.15,44.68,-24.17,-5.76,-7.67,22.97,-4.58,-7.1,-3.44,18.44,-4.93,-3.89,-3.89
9,Operating Expenses,118.65,133.73,125.19,88.45,131.09,63.79,49.2,129.26,48.8,68.86,49.57,73.61,63.45,60.26,73.24,95.14,40.15,37.66,37.66
10,Operating Income,-68.7,-129.79,-42.61,12.83,-2.97,5.14,-18.94,-129.98,-33.12,-72.23,-17.43,-30.36,42.22,53.02,94.28,35.75,79.07,56.91,56.91
11,Interest Expense,-6.04,-14.24,-6.65,-9,-6.1,-6.8,-9.91,-,-14.41,-8.01,-11.11,-5.16,-3.74,-4.66,-3.3,-2.54,-2.14,-0.95,-0.95
12,Interest & Investment Income,11.63,6.96,9.72,9.13,12.09,11.98,8.49,23.17,8.17,4.44,9.97,10.86,-,0.99,-,4.72,-,0.88,0.88
