,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 4, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4084,5143,4407,5194,7640,6271,7259,5266,3794,4159,5884,6506,9612,8366,-,-,-,-,-,-
1,Market Cap Growth,-17.99%,-17.99%,-39.29%,-1.38%,101.36%,50.78%,23.37%,-19.05%,-60.52%,-50.28%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4994,5481,5368,5301,8527,6070,7524,4786,3314,3437,5603,5717,8163,8589,-,-,-,-,-,-
3,Last Close Price,24.17,30.44,26.23,30.76,45.25,37.14,42.99,31.19,22.47,24.63,34.85,37.86,55.94,48.69,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,188.65,-407.69,-77.06,-,-,-,-,75.25,61.68,39.47,-,-,-,-,-,-
5,Forward PE,20.26,25.52,21.99,25.69,47.12,76.43,104.29,18.93,18.93,18.93,21.01,23.23,36.88,-,-,-,-,-,-,-
6,PS Ratio,2.29,2.94,2.39,2.77,4.40,3.80,4.73,3.40,2.38,2.50,3.51,3.80,5.12,4.66,-,-,-,-,-,-
7,PB Ratio,1.65,1.94,1.63,1.84,2.69,2.22,2.71,1.98,1.42,1.45,2.01,2.11,3.11,2.97,-,-,-,-,-,-
8,P/TBV Ratio,2.17,2.17,1.87,2.10,3.08,2.55,2.99,2.19,1.57,1.70,2.34,2.39,3.54,2.98,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-35.73,-,-,-,-,-,-1756.15,-,-,-,-,-,-,-
10,P/OCF Ratio,20.96,20.96,51.90,89.47,60.53,-,58.83,34.89,-70256.25,-,59.51,-,29.40,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.86,3.14,2.92,2.82,4.92,3.68,4.91,3.09,2.08,2.06,3.34,3.34,4.35,4.79,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,61.66,-413.46,-136.32,-34.16,-,-,-,48.73,-,30.57,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-2162.64,-,-42.53,-,-,-,-,-,-,38.13,-,-,-,-,-,-
14,EV/FCF Ratio,-23.64,-,-,-,-,-,-37.04,-,-,-,-,-,-1491.46,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.57,0.57,0.56,0.57,0.49,0.51,0.58,0.48,0.53,0.23,0.41,0.22,0.18,0.15,0.46,0.38,0.38,-,-,0.07
16,Debt / EBITDA Ratio,-,-,-,-,5.02,13.46,8.25,28.77,-,-,-,77.80,6.98,1.95,1.45,0.69,1.53,-,-,0.15
17,Debt / FCF Ratio,-,-,-,-,-,-,-7.67,-,-,-,-,-,-101.65,-,-4.73,-2.01,-,-,-,-
18,Asset Turnover,0.35,0.29,0.35,0.41,0.42,0.34,0.26,0.36,0.32,0.34,0.30,0.48,0.58,-,-,-,-,-,-,
19,Inventory Turnover,4.14,4.23,4.93,4.67,5.42,5.90,6.15,5.16,7.55,5.88,5.40,3.94,7.23,5.76,-,-,-,-,-,-
20,Quick Ratio,0.70,0.70,1.03,0.83,1.24,0.78,1.33,1.13,1.50,1.12,1.41,1.78,2.14,3.16,0.94,-,1.14,-,-,-
