,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5606,5163,5674,4296,5884,6429,4871,5865,4330,3292,3481,4166,5115,6310,6655,8640,4555,-,-,-,-
1,Market Cap Growth,-19.70%,-19.70%,16.50%,-26.75%,35.87%,95.32%,39.90%,40.79%,-15.34%,-47.84%,-47.69%,-51.79%,12.29%,-,-,-,-,-,-,-,-
2,Enterprise Value,6713,6270,6670,5285,6804,7350,5669,6467,4576,3537,3557,4411,5504,6699,7011,8737,4734,-,-,-,-
3,Last Close Price,11.51,10.60,11.65,8.82,12.08,13.20,10.00,11.86,8.64,6.57,6.95,8.25,10.12,12.48,13.16,17.09,9.01,-,-,-,-
4,PE Ratio,-,-,-,-,-28.92,-,-,-,69.55,54.50,-,35.09,47.83,64.15,54.41,55.35,-,-,-,-,-
5,PS Ratio,2.26,2.05,2.29,1.83,2.57,2.96,2.33,2.67,1.77,1.37,1.22,1.39,1.83,2.26,2.66,4.01,2.10,-,-,-,-
6,PB Ratio,6.01,5.63,6.19,4.45,5.74,6.31,4.39,5.06,3.43,2.56,2.72,3.30,3.95,4.87,5.42,7.04,3.81,-,-,-,-
7,P/TBV Ratio,6.13,6.13,6.74,4.84,6.25,6.80,4.71,5.41,3.65,2.72,2.89,3.51,3.99,4.93,5.49,7.13,3.86,-,-,-,-
8,P/FCF Ratio,-,-,-,-43.73,-,-16.46,-,-,-,-,-,9.57,-,-21.56,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,37.34,-83.90,-32.22,-,-,-,-,-,6.94,36.58,-58.95,-28.47,-,-,-,-,-,-
10,EV/Sales Ratio,2.67,2.49,2.69,2.25,2.97,3.39,2.71,2.94,1.87,1.47,1.25,1.47,1.96,2.40,2.80,4.06,2.18,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,-37.15,-,-,-,44.35,-,18.28,24.42,32.45,45.63,36.75,47.79,24.83,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,-30.84,-,-,-,63.52,-,21.54,29.10,38.84,56.12,42.80,55.81,28.84,-,-,-,-
13,EV/FCF Ratio,-,-,-,-53.81,-,-18.82,-,-,-,-,-,10.13,-,-22.89,-,-,-,-,-,-,-
14,Debt / Equity Ratio,1.52,1.52,1.52,1.38,1.25,1.16,1.10,0.94,0.75,0.63,0.42,0.47,0.59,0.57,0.77,0.63,0.54,0.57,-,0.70,0.75
15,Debt / EBITDA Ratio,-,-,-,-,18.91,-,-,-,9.26,-,3.47,2.24,6.06,3.00,9.57,3.43,18.35,1.17,-,2.04,57.92
