,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,637.96,565.34,651.56,661.74,535.17,447.57,585.37,540.15,470.88,545.48,842.08,493.64,908.93,689.31,650.99,487.99,637.41,324.04,682.41,343.59
1,Other Revenue,-,-23.31,23.31,-,62.56,-30.77,30.77,-,50.67,-26.77,26.77,-,58.7,-24.26,24.26,-,40.39,-12.16,12.16,-
2,Revenue,637.96,542.03,674.87,661.74,597.74,416.8,616.14,540.15,521.55,518.71,868.84,493.64,967.64,665.05,675.26,487.99,677.8,311.88,694.57,343.59
3,Revenue Growth (YoY),6.73%,30.05%,9.53%,22.51%,14.61%,-19.65%,-29.08%,9.42%,-46.10%,-22.00%,28.67%,1.16%,42.76%,113.24%,-2.78%,42.03%,-,-,-,-
4,Cost of Revenue,-1657,478.07,615.99,562.55,583.63,377.5,545.4,442.24,452.55,394.14,701.14,379.56,783.9,536.28,548.86,404.44,535.12,248.35,568.19,287.31
5,Gross Profit,2295,63.96,58.88,99.19,14.11,39.3,70.75,97.91,69.01,124.57,167.7,114.08,183.74,128.77,126.4,83.54,142.68,63.53,126.37,56.29
6,"Selling, General & Admin",-166.22,52.05,60.55,53.62,78.08,65.73,72.81,49.84,52.39,55.09,80.37,60.11,78.04,53.47,57.47,39.17,38.51,26.32,46.31,28.03
7,Research & Development,-131.13,43.79,45.64,41.7,39.54,46.12,41.93,35.43,47.24,40.02,44.62,36.08,44.07,35.46,38.56,37.25,42.08,32.07,33.21,23.94
8,Other Operating Expenses,2710,-4.91,-1.16,-7.29,0.53,0.68,-1.78,-3.74,2.43,-2,-11.13,-7.68,10.56,-4.01,-14.95,-2.14,9.02,-6.36,-6.27,-0.37
9,Operating Expenses,2389,94.1,121.08,92.31,120.64,117.84,113.18,80.34,103.43,93.18,110.19,89.67,131.9,110.94,78.74,81.49,46.41,52.97,71.09,60.04
