,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,266.52,325.51,283.92,272.69,291.07,293.47,348.93,289.71,288.79,522.01,520.37,570.81,487.19,373.85,523.57,222.76,-,206.74,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,65.88,40.93,30,30,-,122,-
2,Cash & Short-Term Investments,266.52,266.52,325.51,283.92,272.69,291.07,293.47,348.93,289.71,288.79,522.01,520.37,570.81,553.07,414.78,553.57,252.76,-,328.74,354.23
3,Cash Growth,-2.26%,-8.43%,10.91%,-18.63%,-5.87%,0.79%,-43.78%,-32.94%,-49.25%,-47.78%,25.85%,-6.00%,125.83%,-,26.17%,56.27%,-,-,-,-
4,Accounts Receivable,-,1235,1166,1104,957.94,976.89,1148,1059,986.84,997.38,1094,1118,1206,1135,1386,1173,1184,-,1161,-
5,Other Receivables,-,32.56,117.33,35.71,114.81,126.03,122.55,115.59,91.28,50.22,53.92,56.58,41.33,35.66,38.51,43.59,120.03,-,32.16,-
6,Receivables,-,1268,1284,1140,1073,1103,1270,1175,1078,1048,1148,1175,1247,1171,1425,1217,1304,-,1194,-
7,Inventory,-,531.51,510.89,523.79,580.74,489.25,511.26,561.54,576.73,488.97,591.24,759.92,515.3,556.87,498.27,422.75,347.16,-,182.02,-
8,Other Current Assets,-,171.43,62.43,125.53,26.7,76.99,36.18,49.38,18.28,175.99,157.17,57.47,23.97,69.25,18.51,18.92,15.14,-,29.89,-
9,Total Current Assets,-,2237,2182,2073,1953,1960,2111,2135,1963,2001,2419,2513,2358,2350,2356,2212,1919,-,1734,-
10,"Property, Plant & Equipment",-,906.57,867.15,790.73,765.15,696.03,643.12,607.05,587.05,561.36,526.65,493.1,475.9,454.92,417.1,365.51,344.02,-,313.18,-
11,Long-Term Investments,-,78.66,19.33,68.14,68.84,70.57,67.14,66.45,66.13,66.99,66.88,57.19,46.63,14.25,2.25,2.25,2.25,-,2.25,-
12,Goodwill,-,0.12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,-,89.76,91.24,92.23,78.68,79.44,76.57,76.19,76.75,77.19,77.76,16.62,16.76,16.98,16.96,17.17,17.3,-,17.16,-
14,Long-Term Accounts Receivable,-,-,-0.08,-,-,-,-0.06,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,-,86.49,78.73,68.48,61.69,46.36,29.56,21.82,20.38,22.97,22.48,21.24,20.45,21.26,17.58,15.11,15.45,-,22.89,-
16,Long-Term Deferred Charges,-,10.8,11.29,-,11.72,6.05,4.95,3.09,3.23,3.5,3.83,4.17,4.5,4.84,5.4,6.32,7.15,-,7.66,-
17,Other Long-Term Assets,-,27.9,73.35,99.08,52.34,81.18,112.62,101.96,103.3,11.76,29.57,63.23,46.46,56.66,67.31,64.34,21.05,-,8.57,-
18,Total Assets,-,3438,3323,3192,2991,2940,3045,3011,2820,2745,3146,3168,2968,2919,2883,2683,2326,-,2106,-
19,Accounts Payable,-,974.51,811.52,675.63,570.86,484.24,628.84,652.09,513.73,735.13,1005,907.04,672.16,615.44,746.5,726.69,855.03,-,751.42,-
20,Accrued Expenses,-,18.54,116.42,20.46,134.78,18.21,99.24,17.06,109.73,15.8,147.94,15.12,175.3,14.45,105.86,12.88,99.59,-,86.99,-
21,Short-Term Debt,-,770.24,709.59,797.97,717.48,778.44,782.93,618.99,458.91,359.34,416.36,581.27,592.01,794.64,609.36,549.79,360.28,-,348.3,-
22,Current Portion of Long-Term Debt,-,211.79,102.34,157.76,45.37,97.05,26.21,108.51,14.71,-,0.2,-,-,-,-,70.76,77.85,-,-,-
23,Current Portion of Leases,-,-,88.33,-,38.61,-,66.18,-,93.17,9.6,8.3,12.68,21.71,27.56,47.38,-,-,-,53.48,-
24,Current Income Taxes Payable,-,9.27,3.2,8.35,0.13,4.71,-,3.45,0.21,9.69,3.48,38.14,13.6,15.62,0.67,13.64,11.27,-,0.45,-
25,Current Unearned Revenue,-,49,33.74,30.55,38.79,19.6,18.48,33.73,38.68,24.41,13.84,18.37,11.56,13.86,10.52,9.51,8.35,-,11.91,-
26,Other Current Liabilities,-,71.52,49.71,89.7,32.14,80.41,37.84,82.95,48.1,133.42,103.21,113.95,51.19,74.75,6.51,60.84,4.11,-,5.32,-
27,Total Current Liabilities,-,2105,1915,1780,1578,1483,1660,1517,1277,1287,1699,1687,1538,1556,1527,1444,1416,-,1258,-
28,Long-Term Debt,-,330.94,339.7,324.31,355.43,300.05,168.66,165.78,180.29,163.86,169.86,170.18,120.14,120.12,90.18,-,-,-,35.18,-
29,Long-Term Leases,-,76.46,94.2,2.33,29.02,39.86,49.01,57.41,65.51,3.3,3.35,3.48,3.46,1.17,24.79,30.54,44.11,-,70.03,-
30,Long-Term Unearned Revenue,-,8.32,8.85,9.41,9.98,7.17,8.35,9.22,9.7,10.49,11.05,11.67,12.3,13.78,13.79,12.03,13.75,-,15.36,-
31,Long-Term Deferred Tax Liabilities,-,0.18,0.21,0.21,0.19,1.09,0,0.32,0.27,0.23,0.13,0.2,0.25,-,0.01,-,-,-,-,-
32,Other Long-Term Liabilities,-,-,-,50.55,-,-,-,-,-,-,-,-,-,-,-,0.84,-,-,-,-
33,Total Liabilities,-,2521,2358,2167,1973,1831,1886,1750,1533,1465,1883,1872,1674,1691,1656,1488,1474,-,1378,-
34,Common Stock,-,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,400,-,400,-
35,Additional Paid-In Capital,-,291.93,287.77,283.21,279.34,289.16,301.81,296.94,295.54,296.01,314.09,314.09,314.09,314.09,314.09,314.09,68.68,-,68.68,-
36,Retained Earnings,-,189.43,240.14,299.1,294.58,373.03,465.29,520.94,512.27,499.11,503.08,488.36,481.47,414.71,413.97,382.03,383.11,-,257.89,-
37,Treasury Stock,-,-49.17,-49.17,-49.17,-49.17,-49.17,-106.71,-56.41,-19.58,-13.57,-53.37,-4.54,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,-,0.09,0.08,0.08,0.07,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Total Common Equity,932.28,932.28,978.82,1033,1025,1113,1160,1261,1288,1282,1264,1298,1296,1229,1228,1196,851.8,-,726.57,715.77
40,Minority Interest,-,-15.48,-13.19,-8.8,-6.29,-3.94,-1.07,0.15,-1.57,-1.71,-0.87,-1.85,-1,-1.26,-0.83,-0.66,-0.04,-,0.95,-
