,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,655.33,680.67,708.8,589.19,625.55,591.39,688.63,843.58,177.52,227.6,-,198.21,157.77
1,Trading Asset Securities,45.23,45.34,5.26,5.22,28.23,28.04,-,-,-,-,-,-,0.2
2,Cash & Short-Term Investments,700.55,726.01,714.06,594.41,653.78,619.43,688.63,843.58,177.52,227.6,-,198.21,157.97
3,Cash Growth,7.15%,17.21%,3.69%,-29.54%,268.30%,172.16%,-,325.59%,12.38%,-,-,-,-
4,Accounts Receivable,977.43,974.01,895.42,900.12,903.71,798.38,735.98,785.23,802.13,738.22,-,753.19,511.46
5,Other Receivables,85.33,-,-,-,-,-,13.08,-,-,19.86,-,-,-
6,Receivables,1063,974.01,895.42,900.12,903.71,798.38,749.06,785.23,802.13,758.08,-,753.19,511.46
7,Inventory,149.98,148.27,222.71,220.26,193.93,221.39,149.11,146.14,139.34,158.93,-,121.27,120.9
8,Other Current Assets,40.54,30.65,49.72,40.07,57.51,55.21,47.65,25.62,46.97,12.35,-,14.65,6.38
9,Total Current Assets,1954,1879,1882,1755,1809,1694,1634,1801,1166,1157,-,1087,796.71
10,"Property, Plant & Equipment",380.59,372.24,372.1,379.78,374.81,373.44,343.28,337.19,302.43,262.95,-,196.97,116.41
11,Long-Term Investments,22.6,22.6,22.6,22.6,2.6,2.6,-,0.2,-,-,-,-,-
12,Other Intangible Assets,58.31,58.55,59.05,34.54,34.78,35.02,35.25,35.49,35.73,35.97,-,36.45,37.16
13,Long-Term Deferred Tax Assets,8.41,8.14,7.23,7.48,6.53,5.59,5.25,5.36,5.62,5.36,-,5.32,4.44
14,Long-Term Deferred Charges,0.16,0.19,0.22,0.25,0.29,0.31,0.35,0.38,0.41,0.44,-,-,-
15,Other Long-Term Assets,47.38,48.04,48.48,50.92,49.08,49.63,52.54,53.26,53.18,51.72,-,52.62,54.26
16,Total Assets,2471,2389,2392,2250,2277,2161,2071,2232,1563,1513,-,1379,1009
17,Accounts Payable,343.56,283.22,290.33,334.46,393.27,400.06,330.13,365.7,379.5,378.93,-,383.61,256.08
18,Accrued Expenses,7.91,8.45,4.79,11.82,6.64,6.99,3.15,11,6.01,5.79,-,12.09,5.32
19,Short-Term Debt,467.15,475.11,467.55,305.78,291.91,209.96,155.8,153.84,273.45,272.97,-,238.58,193.24
20,Current Income Taxes Payable,5.63,1.46,5.44,0.08,5.66,-,2.24,-,3.11,4.81,-,14.56,1.43
21,Current Unearned Revenue,4.49,6.63,4.04,4.7,4.13,3.84,6.05,4.32,4.73,0.61,-,3.42,5.7
22,Other Current Liabilities,0.62,3.68,0.92,1.46,0.96,2.87,3.58,1.1,3.46,5.54,-,5.13,2.92
23,Total Current Liabilities,829.37,778.54,773.06,658.3,702.58,623.72,500.94,535.95,670.25,668.64,-,657.39,464.69
24,Long-Term Debt,-,-,-,-,-,-,-,150.65,148.31,134.3,-,82.99,30.04
25,Long-Term Unearned Revenue,2.22,2.29,2.35,2.42,1.75,-,-,-,-,-,-,-,-
26,Long-Term Deferred Tax Liabilities,9.45,9.18,9.15,9.2,5.7,6.56,6.39,6.58,4.16,4.29,-,4.55,4
27,Total Liabilities,841.04,790.01,784.56,669.92,710.03,630.29,507.33,693.17,822.73,807.23,-,744.94,498.74
28,Common Stock,128,128,128,128,128,128,128,128,96,96,-,96,96
29,Additional Paid-In Capital,881.41,881.41,881.41,881.41,881.41,881.41,881.41,881.41,140.16,140.16,-,140.16,140.16
30,Retained Earnings,620.83,589.27,597.61,571.11,557.59,521.3,554.38,529.87,504.44,470,-,397.58,274.09
31,Shareholders' Equity,1630,1599,1607,1581,1567,1531,1564,1539,740.59,706.16,-,633.73,510.25
32,Total Liabilities & Equity,2471,2389,2392,2250,2277,2161,2071,2232,1563,1513,-,1379,1009
33,Total Debt,467.15,475.11,467.55,305.78,291.91,209.96,155.8,304.49,421.76,407.27,-,321.57,223.28
34,Net Cash (Debt),233.41,250.9,246.51,288.63,361.87,409.47,532.83,539.09,-244.24,-179.67,-,-123.36,-65.32
35,Net Cash Growth,-35.50%,-38.73%,-53.74%,-46.46%,-,-,-,-,-,-,-,-,-
36,Net Cash Per Share,1.84,1.92,1.95,2.23,2.87,3.18,4.13,5.65,-2.57,-1.82,-,-1.28,-0.68
37,Filing Date Shares Outstanding,128,128,128,128,128,128,128,128,128,96,94.31,96.64,96
38,Total Common Shares Outstanding,128,128,128,128,128,128,128,128,128,96,94.31,96.64,96
39,Working Capital,1124,1100,1109,1097,1106,1071,1134,1265,495.69,488.31,-,429.93,332.02
40,Book Value Per Share,12.74,12.49,12.55,12.35,12.24,11.96,12.22,12.03,5.79,7.36,-,6.56,5.32
41,Tangible Book Value,1572,1540,1548,1546,1532,1496,1529,1504,704.86,670.19,-,597.29,473.09
42,Tangible Book Value Per Share,12.28,12.03,12.09,12.08,11.97,11.69,11.94,11.75,5.51,6.98,-,6.18,4.93
43,Buildings,-,217.42,-,217.42,-,202.15,-,51.58,-,51.58,-,51.58,51.58
44,Machinery,-,213.08,-,213.08,-,211.83,-,96.67,-,79.84,-,78.71,78.78
45,Construction In Progress,-,39.92,-,31.75,-,26.6,-,245.85,-,183.05,-,112.83,27.39
