,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,468.29,428.07,356.34,298.95,472.41,335.85,300.86,263.99,379.13,349.73,304.6,299.72,225.69
1,Other Revenue,-36.73,36.73,-,71.99,-29.36,29.36,-,60.89,-18.24,18.24,-,48.47,12.87
2,Revenue,431.56,464.8,356.34,370.94,443.06,365.21,300.86,324.88,360.89,367.98,304.6,348.19,238.56
3,Revenue Growth (YoY),-2.59%,27.27%,18.44%,14.18%,22.77%,-0.75%,-1.23%,-6.69%,51.28%,-,-,-,-
4,Cost of Revenue,369.66,400.36,303.35,329.48,378.91,318.89,260.3,283.92,297.42,303.38,251.73,294.4,177.46
5,Gross Profit,61.9,64.44,52.99,41.46,64.15,46.32,40.57,40.96,63.47,64.6,52.87,53.79,61.1
6,"Selling, General & Admin",11.47,13.31,11.01,15.63,12.38,12.11,9.37,16.05,6.75,6.29,7.96,10.16,7.44
7,Research & Development,15.42,14.51,13.16,17.15,13.48,11.02,5.78,8.75,8.37,11.15,12.57,14.37,6.64
8,Other Operating Expenses,-4.32,-2.31,-3.51,-1.98,-10.32,-2.3,-2.03,1.75,-13.06,3.24,-1.64,-2.18,0.08
9,Operating Expenses,26.57,29.87,21.35,29.85,20.69,23.63,11.91,25.2,4.98,24.77,18.89,19.29,13.9
10,Operating Income,35.32,34.57,31.64,11.61,43.46,22.7,28.65,15.76,58.49,39.83,33.98,34.5,47.2
11,Interest Expense,-2.04,-2.35,-3.03,-2.18,-2.01,-1.18,-0.81,-3.24,-2.82,-5.51,-,-9.96,-1.96
12,Interest & Investment Income,5.01,6.56,3.4,3.6,3.68,3.87,2.99,1.06,0.61,1.38,0.01,2.15,0.45
13,Currency Exchange Gain (Loss),1.24,-1.24,-,-2.19,-5.31,5.31,-,-0.86,1.15,-1.15,-,-3.03,-0.43
14,Other Non Operating Income (Expenses),-1.79,1.22,-1.53,2.61,2.12,0.42,-1.08,-0.1,-0.29,2.98,-3.27,6.8,-0.11
15,EBT Excluding Unusual Items,37.74,38.76,30.48,13.45,41.94,31.12,29.75,12.61,57.13,37.53,30.72,30.46,45.15
16,Gain (Loss) on Sale of Investments,-0.13,0.35,-0.53,-0.36,-0.4,-0.22,-0.53,-0.39,-0.47,-0.93,-,-0.69,-0.38
17,Gain (Loss) on Sale of Assets,-0.05,-,-,0.01,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-3.55,-1.05,1.05,3.33,-3.75,0.92,-0.92,6.86,-6.83,0.49,-,6.08,-
19,Other Unusual Items,-0.01,0.01,-,-1.71,-,-,-,6.13,-11.7,11.7,-,0.99,0.1
20,Pretax Income,34.01,38.06,31,14.71,37.78,31.82,28.29,25.21,38.13,48.79,30.72,36.83,44.87
21,Income Tax Expense,2.45,0.32,4.5,1.19,1.5,0.9,3.78,-0.22,3.7,2.77,4.32,2.01,5.72
22,Net Income,31.56,37.74,26.5,13.52,36.28,30.92,24.51,25.43,34.44,46.02,26.41,34.82,39.15
23,Net Income to Common,31.56,37.74,26.5,13.52,36.28,30.92,24.51,25.43,34.44,46.02,26.41,34.82,39.15
24,Net Income Growth,-13.01%,22.04%,8.10%,-46.82%,5.36%,-32.80%,-7.17%,-26.97%,-12.04%,-,-,-,-
25,Shares Outstanding (Basic),127,131,126,129,126,129,129,95,95,99,94,97,95
26,Shares Outstanding (Diluted),127,131,126,129,126,129,129,95,95,99,94,97,95
27,Shares Change (YoY),0.70%,1.51%,-2.19%,35.58%,32.95%,30.36%,36.80%,-1.23%,-0.64%,-,-,-,-
28,EPS (Basic),0.25,0.29,0.21,0.10,0.29,0.24,0.19,0.27,0.36,0.47,0.28,0.36,0.41
29,EPS (Diluted),0.25,0.29,0.21,0.10,0.29,0.24,0.19,0.27,0.36,0.47,0.28,0.36,0.41
30,EPS Growth,-13.62%,20.23%,10.53%,-60.78%,-20.75%,-48.45%,-32.14%,-26.06%,-11.47%,-,-,-,-
31,Free Cash Flow,-123.19,-18.06,-96.42,-27.13,-102.59,6.31,-74.4,19.29,-61.32,17.38,-73.14,-7.38,-2.44
32,Free Cash Flow Per Share,-0.97,-0.14,-0.76,-0.21,-0.81,0.05,-0.58,0.20,-0.65,0.18,-0.78,-0.08,-0.03
33,Dividend Per Share,-,-,-,0.360,-,-,-,0.500,-,-,-,-,-
34,Dividend Growth,-,-,-,-28.00%,-,-,-,-,-,-,-,-,-
35,Gross Margin,14.34%,13.86%,14.87%,11.18%,14.48%,12.68%,13.48%,12.61%,17.59%,17.56%,17.36%,15.45%,25.61%
36,Operating Margin,8.19%,7.44%,8.88%,3.13%,9.81%,6.21%,9.52%,4.85%,16.21%,10.82%,11.16%,9.91%,19.78%
