,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,2725,2317,2112,2281,2834,2874,3217,3613,3706,-,-,-,-,-
1,Market Cap Growth,-19.38%,-19.38%,-34.34%,-36.88%,-23.52%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2492,2066,1865,1919,2472,2464,2684,3858,3950,-,-,-,-,-
3,Last Close Price,21.29,18.10,16.50,17.45,21.68,21.98,24.60,27.11,27.80,-,-,-,-,-
4,PE Ratio,24.99,21.19,18.52,21.27,26.93,24.53,27.90,27.71,28.01,-,-,-,-,-
5,PS Ratio,1.68,1.43,1.29,1.49,1.91,2.00,2.38,2.67,2.73,-,-,-,-,-
6,PB Ratio,1.67,1.42,1.32,1.42,1.79,1.83,2.10,2.31,2.41,-,-,-,-,-
7,P/TBV Ratio,1.47,1.47,1.37,1.47,1.83,1.88,2.15,2.36,2.46,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-29.21,-,-37.90,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-97.10,-,577.72,-,-,-,-,-
10,EV/Sales Ratio,1.53,1.27,1.14,1.25,1.67,1.72,1.99,2.85,2.91,-,-,-,-,-
11,EV/EBITDA Ratio,16.17,19.68,17.07,-,19.52,19.41,18.89,24.61,31.69,-,-,-,-,-
12,EV/EBIT Ratio,22.02,18.26,15.38,17.54,23.23,22.29,21.37,27.03,26.68,-,-,-,-,-
13,EV/FCF Ratio,-9.41,-,-,-,-,-,-24.37,-,-40.39,-,-,-,-,-
14,Debt / Equity Ratio,0.29,0.29,0.30,0.29,0.19,0.19,0.14,0.10,0.20,0.57,0.58,-,0.51,0.44
15,Debt / EBITDA Ratio,3.03,2.74,2.74,-,4.03,1.55,1.84,1.21,3.95,1.70,2.35,-,2.11,1.10
16,Debt / FCF Ratio,-,-,-,-,-,-,-1.91,-,-3.11,-,-6.21,-,-,-
17,Asset Turnover,0.71,0.78,-,0.66,0.80,0.69,0.56,0.68,0.94,-,-,-,-,
18,Inventory Turnover,8.16,9.92,8.63,-,6.36,7.30,6.89,7.05,7.96,7.98,-,-,-,-
19,Quick Ratio,2.13,2.13,2.18,2.08,2.27,2.22,2.27,2.87,3.04,1.46,1.47,-,1.45,1.44
20,Current Ratio,2.36,2.36,2.41,2.43,2.67,2.57,2.72,3.26,3.36,1.74,1.73,-,1.65,1.71
21,Return on Equity (ROE),7.82%,9.42%,-,3.44%,9.37%,7.99%,6.32%,8.92%,19.04%,-,-,-,-,
22,Return on Assets (ROA),3.63%,3.62%,-,1.28%,4.90%,2.68%,3.33%,2.08%,9.50%,-,-,-,-,
23,Return on Capital (ROIC),4.23%,4.17%,-,1.55%,6.04%,3.28%,4.02%,2.62%,12.85%,-,-,-,-,
24,Return on Capital Employed (ROCE),6.89%,6.89%,7.53%,6.76%,6.68%,7.02%,8.17%,9.09%,8.73%,18.68%,18.41%,-,11.33%,8.67%
25,Earnings Yield,4.01%,4.72%,5.40%,4.70%,3.71%,4.08%,3.58%,3.61%,3.57%,-,-,-,-,-
26,FCF Yield,-9.72%,-11.43%,-11.56%,-9.64%,-6.98%,-5.27%,-3.42%,-2.74%,-2.64%,-,-,-,-,-
27,Dividend Yield,1.69%,-,-,-,1.66%,-,-,-,1.80%,-,-,-,-,-
28,Payout Ratio,47.12%,1.99%,125.87%,6.11%,13.03%,1.17%,213.06%,3.62%,15.78%,11.38%,8.18%,12.21%,9.27%,3.76%
29,Buyback Yield / Dilution,-7.08%,-0.70%,-1.51%,2.19%,-35.58%,-32.95%,-30.36%,-36.80%,1.23%,0.64%,-,-,-,-
30,Total Shareholder Return,-5.39%,-0.70%,-1.51%,2.19%,-33.92%,-32.95%,-30.36%,-36.80%,3.03%,0.64%,-,-,-,-
