,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,164.26,118.83,142.73,452.22,215.16,219.8,132.71,255.01,153.62,162.12,108.31,86.89
1,Other Revenue,-0.01,0.01,-,0.06,-0.56,0.56,-,0.19,-0.17,0.17,-,0.02
2,Revenue,164.25,118.84,142.73,452.28,214.6,220.36,132.71,255.2,153.45,162.29,108.31,86.91
3,Revenue Growth (YoY),-23.46%,-46.07%,7.55%,77.22%,39.85%,35.79%,22.53%,193.64%,-,-,-,-
4,Cost of Revenue,86.05,76.75,75.05,241.87,105.49,122.52,71.91,143.68,96.8,94.67,58.27,48.37
5,Gross Profit,78.2,42.09,67.69,210.41,109.11,97.84,60.8,111.53,56.64,67.62,50.04,38.54
6,"Selling, General & Admin",48.11,47.1,36.44,47.9,43.82,43.47,26.95,31.94,24.12,18.46,21.41,18.28
7,Research & Development,39.41,33.31,29.83,32.37,33.02,21.15,17.59,18.36,16.54,13.12,16.02,11.02
8,Other Operating Expenses,-14.35,-3.05,-6.17,-2.04,-5.4,-4.2,-5.99,3.07,-8.97,-2.11,-7.06,-4.04
9,Operating Expenses,75.03,67.28,61.05,121.29,75.61,65.38,38.45,61.19,32.44,33.18,28.2,23.98
10,Operating Income,3.17,-25.19,6.64,89.13,33.5,32.46,22.35,50.34,24.21,34.43,21.84,14.56
11,Interest Expense,-0.66,-1.45,-1.36,-0.97,-1.58,-1.38,-1.06,-0.9,-0.84,-0.68,-0.64,-0.56
12,Interest & Investment Income,14.66,10.41,6.03,17.35,11.35,4.62,6.81,1.6,1.29,2.88,0.18,0.99
