,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,196.62,564.87,624.89,306.8,597.95,468.26,606.23,719.21,-,242.05,-,23.61
1,Trading Asset Securities,963.43,663.47,657.72,876.97,1179,1317,1195,1085,-,58.16,-,103.29
2,Cash & Short-Term Investments,1160,1228,1283,1184,1777,1785,1801,1804,-,300.21,220.23,126.9
3,Cash Growth,-34.73%,-31.19%,-28.78%,-34.38%,-,494.59%,717.75%,1321.48%,-,-,-,-
4,Accounts Receivable,636.15,624.85,720.36,727.4,511.59,443.28,365.24,377.37,-,240.13,-,250.74
5,Other Receivables,2.11,0.1,1.38,0.43,2.63,2.82,1.15,0.11,-,0.01,-,0.13
6,Receivables,638.26,624.96,721.74,727.84,514.22,446.1,366.39,377.48,-,240.14,-,250.86
7,Inventory,287.23,323.65,326.08,278.08,337.2,260.04,264.25,266.91,-,194.12,-,194.22
8,Prepaid Expenses,-,0,-,-,-,-,-,0.03,-,-,-,-
9,Other Current Assets,106.73,74.19,54.73,152.9,21.64,9.86,25.45,8.61,-,16.14,-,14.64
10,Total Current Assets,2192,2251,2385,2343,2650,2501,2457,2457,-,750.61,-,586.62
11,"Property, Plant & Equipment",39.76,46.43,48.43,51.37,55.99,60.21,57.99,61.03,-,62.56,-,45.95
12,Long-Term Investments,-,41.55,-,40.89,-,-,-,-,-,-,-,-
13,Other Intangible Assets,1.83,1.92,1.88,1.32,1.39,1.42,1.09,1.12,-,0.66,-,-
14,Long-Term Deferred Tax Assets,27.18,23.08,19.49,18.07,8.37,6.76,5.8,5.74,-,4.3,-,1.77
15,Long-Term Deferred Charges,2.97,3.15,3.4,3.62,4.24,4.77,5.06,5.49,-,4.04,-,4.49
16,Other Long-Term Assets,382.37,370.77,420.46,407.01,5.84,5.59,5.02,4.69,-,5.21,-,3.25
17,Total Assets,2646,2738,2879,2865,2726,2580,2532,2535,-,827.38,-,642.08
18,Accounts Payable,264.79,320.78,412.69,429.68,377.16,303.31,279.88,317.45,-,182.88,-,190.67
19,Accrued Expenses,14.43,26.1,16.17,44.35,20.63,19.63,13.55,34.03,-,19.37,-,9.75
20,Short-Term Debt,139.27,176.55,156.95,68.05,125.53,98.74,76.24,56.61,-,28,-,9.4
21,Current Portion of Leases,12.23,15.93,17.25,16.23,15.64,15.71,12.27,12.93,-,12.1,-,11.49
22,Current Income Taxes Payable,17.4,1.24,25.69,25.23,7.1,3.11,1.16,2.34,-,3.3,-,6.79
23,Current Unearned Revenue,1.73,2.57,2.88,1.89,1.13,2.12,0.84,1.72,-,2.42,-,2.28
24,Other Current Liabilities,2.56,2.23,4.06,6.66,5.8,3.26,55.36,3.2,-,1.02,-,0.98
25,Total Current Liabilities,452.41,545.38,635.7,592.1,552.99,445.87,439.31,428.28,-,249.09,-,231.36
26,Long-Term Leases,11.96,16.29,16.86,20.78,24.49,28.77,31.56,35.13,-,41.51,-,25.91
27,Long-Term Unearned Revenue,1.7,1.7,1.7,1.7,1.7,1.7,1.7,0.7,-,0.88,-,-
28,Other Long-Term Liabilities,15.54,12.33,8.89,9.52,5.96,6.58,4.76,5.38,-,5.06,-,5.37
29,Total Liabilities,481.61,575.7,663.15,624.1,585.14,482.92,477.32,469.48,-,296.55,-,262.64
30,Common Stock,95.01,95.01,68,68,68,68,68,68,-,51,-,51
31,Additional Paid-In Capital,1750,1746,1767,1761,1754,1741,1748,1747,-,307.59,-,303.35
32,Retained Earnings,369.66,370.77,430.87,411.99,319.2,279.59,238.53,250.09,-,172.36,-,25.06
33,Treasury Stock,-49.97,-49.97,-49.97,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-0.05,0.17,0.15,0.17,0.18,8.64,-0.04,0.02,-,-0.12,-,0.04
35,Shareholders' Equity,2165,2162,2216,2241,2141,2097,2055,2065,-,530.83,475.83,379.44
36,Total Liabilities & Equity,2646,2738,2879,2865,2726,2580,2532,2535,-,827.38,-,642.08
37,Total Debt,163.46,208.76,191.07,105.06,165.65,143.21,120.07,104.67,-,81.61,40.55,46.8
38,Net Cash (Debt),996.59,1020,1092,1079,1612,1642,1681,1699,-,218.59,179.68,80.1
39,Net Cash Growth,-38.17%,-37.90%,-35.06%,-36.52%,-,651.08%,835.46%,2021.44%,-,-,-,-
