,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Mar '21 Mar 31, 2021"
0,Market Capitalization,4001,3872,4160,8184,7785,5602,7968,6561,5814,-,-,-,-
1,Market Cap Growth,-30.88%,-30.88%,-47.79%,24.75%,33.89%,-,-,-,-,-,-,-,-
2,Enterprise Value,3005,2852,3068,6573,6173,3960,6287,4861,5595,-,-,-,-
3,Last Close Price,42.32,40.95,43.78,85.05,80.89,58.21,82.80,67.76,60.05,-,-,-,-
4,PE Ratio,39.41,-,-,42.55,38.41,34.12,53.82,46.83,44.26,-,-,-,-
5,Forward PE,12.77,12.26,13.11,29.14,28.86,23.17,30.16,27.10,-,-,-,-,-
6,PS Ratio,4.69,4.41,4.48,7.95,7.63,6.81,10.46,9.32,8.56,-,-,-,-
7,PB Ratio,1.85,1.79,1.92,3.69,3.47,2.62,3.80,3.19,2.81,-,-,-,-
8,P/TBV Ratio,1.79,1.79,1.93,3.70,3.48,2.62,3.80,3.19,2.82,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-3000.86,-,16435.99,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,1623.31,-,645.01,-,-,-,-,-,-
11,PEG Ratio,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.61,-,-,-,-,-
12,EV/Sales Ratio,3.42,3.25,3.30,6.38,6.05,4.81,8.25,6.91,8.24,-,-,-,-
13,EV/EBITDA Ratio,31.66,36.61,-,39.70,34.11,27.92,47.48,36.27,41.95,-,-,-,-
14,EV/EBIT Ratio,40.75,38.68,-,40.64,34.79,28.56,48.60,37.02,42.77,-,-,-,-
15,EV/FCF Ratio,-33.29,-,-,-,-2379.54,-,12968.59,-,-,-,-,-,-
16,Debt / Equity Ratio,0.08,0.08,0.10,0.09,0.05,0.08,0.07,0.06,0.05,-,0.15,0.09,0.12
17,Debt / EBITDA Ratio,1.72,9.65,-,6.21,0.25,1.21,0.87,1.30,0.42,-,0.49,0.45,0.67
18,Debt / FCF Ratio,-,-,-,-,-40.50,-,295.43,-,-,-,-14.52,-0.84,-
19,Asset Turnover,0.24,0.17,0.20,0.65,0.32,0.34,0.21,-,-,-,-,-,
20,Inventory Turnover,1.54,1.13,0.95,0.99,3.14,1.41,1.87,1.08,-,-,-,-,-
21,Quick Ratio,3.97,3.97,3.40,3.15,3.23,4.14,5.00,4.93,5.09,-,2.17,-,1.63
22,Current Ratio,4.85,4.85,4.13,3.75,3.96,4.79,5.61,5.59,5.74,-,3.01,-,2.54
23,Return on Equity (ROE),-0.21%,-1.11%,3.39%,16.94%,7.48%,7.91%,5.68%,-,-,26.33%,-,-,
24,Return on Assets (ROA),0.29%,-2.24%,0.58%,7.97%,3.16%,3.17%,2.21%,-,-,-,-,-,
25,Return on Capital (ROIC),0.34%,-2.64%,0.70%,9.58%,3.68%,3.68%,2.57%,-,-,15.25%,-,-,
26,Return on Capital Employed (ROCE),3.36%,3.36%,-,7.21%,7.81%,6.38%,6.06%,6.28%,6.21%,-,12.25%,-,3.55%
27,Earnings Yield,2.61%,2.70%,3.49%,2.35%,2.60%,2.93%,1.86%,2.14%,2.26%,-,-,-,-
28,FCF Yield,-2.26%,-2.33%,-2.44%,-0.75%,-0.03%,-1.03%,0.01%,0.44%,1.00%,-,-,-,-
29,Dividend Yield,1.34%,-,-,-,0.71%,-,-,-,1.00%,-,-,-,-
30,Payout Ratio,55.16%,-,-,4.73%,0.83%,2.86%,101.03%,2.18%,0.94%,1.17%,0.74%,0.67%,1.31%
31,Buyback Yield / Dilution,-6.92%,-16.16%,6.49%,0.80%,-20.27%,-31.87%,-33.08%,-32.58%,-11.73%,-,-,-,-
32,Total Shareholder Return,-5.58%,-16.16%,6.49%,0.80%,-19.56%,-31.87%,-33.08%,-32.58%,-10.73%,-,-,-,-
