,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4875,5285,4427,4757,5621,6453,7451,5125,4544,4320,5872,6043,7291,7733,-,-,-,-,-,-
1,Market Cap Growth,-18.10%,-18.10%,-40.59%,-7.18%,23.71%,49.38%,26.88%,-15.18%,-37.67%,-44.14%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4551,4620,3908,4570,5434,6199,7196,5032,4450,4115,5399,5500,6748,7482,-,-,-,-,-,-
3,Last Close Price,9.14,9.91,8.25,8.87,10.48,12.03,13.84,9.52,8.44,8.02,10.90,11.10,13.40,14.21,-,-,-,-,-,-
4,PE Ratio,21.59,23.36,18.42,17.32,19.01,21.11,24.48,17.37,15.04,17.16,23.24,23.97,30.18,37.24,-,-,-,-,-,-
5,PS Ratio,1.60,1.73,1.49,1.57,1.84,1.93,2.28,1.64,1.39,1.39,1.88,1.92,2.38,3.05,-,-,-,-,-,-
6,PB Ratio,1.90,2.03,1.71,1.85,2.23,2.69,3.15,2.21,2.02,2.04,2.87,2.96,3.70,3.86,-,-,-,-,-,-
7,P/TBV Ratio,2.26,2.26,1.92,2.07,2.50,3.03,3.56,2.51,2.30,2.35,3.25,3.35,4.21,4.37,-,-,-,-,-,-
8,P/FCF Ratio,31.25,-,10.22,16.98,18.48,-,-,-36.22,-42.06,-,-,-53.71,-,-,-,-,-,-,-,-
