,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,918.71,401.54,593.99,523.92,728.09,580.95,614.79,998.7,600.76,484.45,752.83,1100,560.4,566.33,663.19,733.74,733.74,1019,91.66
1,Other Revenue,-286.78,286.78,-,610.91,-174.19,174.19,-,423.41,-120.55,120.55,-,172.74,-61.14,61.14,-,12.81,12.81,18.29,-
2,Revenue,631.93,688.32,593.99,1135,553.9,755.15,614.79,1422,480.22,604.99,752.83,1273,499.27,627.47,663.19,746.55,746.55,1038,91.66
3,Revenue Growth (YoY),14.09%,-8.85%,-3.38%,-20.20%,15.34%,24.82%,-18.34%,11.73%,-3.82%,-3.58%,13.52%,70.49%,-33.12%,-39.52%,623.57%,-,-,-,-
4,Cost of Revenue,525.55,610.63,519.98,959.46,441.08,625.24,487.35,1216,381.99,492.86,608.09,1108,411.65,526.47,548.3,634.99,634.99,796.94,117.56
5,Gross Profit,106.38,77.69,74.02,175.37,112.82,129.9,127.45,206.42,98.22,112.13,144.73,164.73,87.61,101,114.89,111.55,111.55,240.58,-25.91
6,"Selling, General & Admin",25.27,21.18,17.08,30.59,28.57,20.88,19.74,32.4,18.22,19.5,15.11,32.53,20.47,12.67,18.46,26.87,26.87,35.16,-
7,Research & Development,23.27,15.06,14.63,22.2,25.02,20.59,19.16,34.09,19.86,19.61,35.85,76.2,20.29,23.33,18.22,23.26,23.26,28.1,-
8,Other Operating Expenses,-6.89,8.51,-0.38,-10.99,2.96,3.63,2.79,8.22,3.12,2.67,3,3.57,5.95,2.39,2.9,5.5,5.5,1.89,-
