,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,490.71,833.39,830.77,743.93,503.9,569.84,574.27,463.9,414.54,429.13,647.82,504.66,702.32,412.56,-,593.66,593.66,460.37,-
1,Cash & Short-Term Investments,490.71,833.39,830.77,743.93,503.9,569.84,574.27,463.9,414.54,429.13,647.82,504.66,702.32,412.56,593.66,593.66,593.66,460.37,449.93
2,Cash Growth,-2.62%,46.25%,44.66%,60.36%,21.56%,32.79%,-11.35%,-8.08%,-40.98%,4.01%,9.12%,-14.99%,18.30%,-10.38%,31.94%,-,-,-,-
3,Accounts Receivable,1939,1707,2013,1902,1925,2073,1965,2073,1449,1501,1431,1382,891.46,887.53,-,862.2,862.2,875.58,-
4,Other Receivables,23.62,18.38,37.69,23.19,19.9,19.66,18.36,21.92,29.68,25.36,22.21,21.63,23.01,18.44,-,13.63,13.63,18.28,-
5,Receivables,1963,1726,2051,1926,1945,2093,1983,2095,1478,1526,1453,1403,914.46,905.96,-,875.83,875.83,893.86,-
6,Inventory,1343,1163,1250,1163,1269,957.05,1092,1007,1331,965.62,1007,1143,1522,1209,-,1362,1362,1228,-
7,Other Current Assets,32.43,44.14,26.71,18.05,46.25,21.12,15.48,16.05,69.57,12.49,12.91,39.97,68.99,31.11,-,38.49,38.49,45.13,-
8,Total Current Assets,3830,3766,4159,3850,3763,3641,3665,3582,3294,2933,3121,3091,3207,2559,-,2870,2870,2627,-
9,"Property, Plant & Equipment",700.53,695.82,695.97,696.31,716.39,716.81,711.16,707.03,640.44,636.16,615.69,619.74,590.58,587.33,-,574.55,574.55,524.42,-
10,Long-Term Investments,5.16,4.49,4.99,5.17,4.16,3.51,3.81,4.07,4.28,4.1,3.44,3.79,2.87,2.46,-,2.78,2.78,2.17,-
11,Other Intangible Assets,226.16,227.89,229.1,229.98,229.04,231.84,233.32,234.44,235.69,236.8,237.82,239.26,237.16,238.58,-,244.99,244.99,244.41,-
12,Long-Term Accounts Receivable,1.32,-,3.56,4.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,55.86,52.41,53.89,56.11,53.98,54.65,53.2,53.84,52.39,53.14,54.96,57.27,58.38,59.58,-,58.7,58.7,51.92,-
14,Other Long-Term Assets,166.65,151.74,126.34,160.05,65.6,55.26,65.77,64.59,61.1,72.99,49.94,51.77,28.59,28.22,-,53.77,53.77,18.36,-
15,Total Assets,4985,4898,5273,5003,4833,4703,4732,4646,4287,3936,4082,4063,4125,3475,-,3805,3805,3469,-
16,Accounts Payable,1872,1830,2024,1803,1767,1652,1799,1741,1532,1339,1476,1465,1451,1321,-,1494,1494,1380,-
17,Accrued Expenses,11.46,28.05,10.84,26.1,9.72,55.21,9.23,66.81,8.22,14.13,7.7,20.73,6.94,19.92,-,12.38,12.38,14.5,-
18,Short-Term Debt,100.07,100.04,250.17,250.17,250.15,250.09,250.19,250.2,250.18,200.14,150.12,140.11,140.1,140.1,-,185.17,185.17,256.36,-
19,Current Portion of Leases,4.67,3.89,-,3.72,4.77,2.91,5.21,2.99,4.88,3.69,5.5,4.79,-,1.77,-,-,-,-,-
20,Current Income Taxes Payable,2.48,1.18,3.46,9.37,2.06,-,14.1,9.9,6.12,7.29,17.99,16.47,20.46,20.71,-,20.93,20.93,23.92,-
21,Current Unearned Revenue,98.94,86.35,123.83,101.58,83.11,60.64,42.39,33.14,66.91,45.19,75.63,121.55,200.05,212.4,-,325.21,325.21,287.7,-
22,Other Current Liabilities,135.71,107.94,131.17,130.13,146.66,146.13,124.77,116.6,120.1,100.32,113.91,125.98,102.51,89.98,-,155.95,155.95,88.29,-
23,Total Current Liabilities,2226,2158,2543,2324,2263,2167,2245,2220,1989,1710,1847,1895,1921,1806,-,2194,2194,2051,-
24,Long-Term Leases,16.55,17.61,17.52,17.71,19.11,18.62,19.83,20.26,21.73,20.71,19.59,19.33,19.14,18.93,-,-,-,-,-
25,Long-Term Unearned Revenue,129.69,130.5,131.3,132.11,132.91,133.71,134.52,135.32,136.13,136.93,137.74,138.54,139.35,140.18,-,141.85,141.85,143.59,-
26,Long-Term Deferred Tax Liabilities,-,-,0.05,-,0.02,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,6.71,4.15,9.59,3.17,14.95,16.24,13.81,16.11,19.57,26.38,35.96,39.84,40.4,40.69,-,38.93,38.93,15.78,-
28,Total Liabilities,2379,2312,2702,2477,2430,2335,2413,2392,2166,1894,2040,2093,2120,2006,-,2375,2375,2210,-
29,Common Stock,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,533.33,400,-,400,400,400,-
30,Additional Paid-In Capital,985.16,985.16,985.16,985.16,985.16,985.16,985.16,985.16,985.16,985.16,998.45,985.16,1107,740.34,-,816.15,816.15,740.34,-
31,Retained Earnings,1038,1017,1004,959.88,841.91,804.93,755.51,690.38,558.83,524.12,510.65,451.7,364.67,328.94,-,210.2,210.2,115.93,-
32,Comprehensive Income & Other,3.78,4.01,3.44,2.71,-,-,1.35,0.84,-,-,-,-,-,-,-,3.69,3.69,2.35,-
33,Total Common Equity,2561,2539,2526,2481,2360,2323,2275,2210,2077,2043,2042,1970,2005,1469,1430,1430,1430,1259,1158
