,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,"Property, Plant & Equipment",3165,3236,3297,3392,3635,3664,3587,3601,3982,3311,2997,2780,1732,1712,1751,6.61,14.61,10.93,-,5.94
1,Cash & Equivalents,237.16,263.06,418.35,369.07,467.78,504.69,682.32,790.48,544.3,768.25,475.28,1076,713.38,873.2,1096,651.37,108.22,586.16,-,575.24
2,Accounts Receivable,61.68,45.16,45.48,32.99,37.66,38.05,24.4,29.27,18.22,44.7,14.55,5.84,12.19,5.35,10.45,10.52,17.11,19.78,-,9.88
3,Other Receivables,54.33,138.51,64.51,134.42,65.4,125.88,48.77,106.65,49.25,77.98,32.21,82.66,25.35,54.13,8.63,41.46,3.78,43.48,-,42.87
4,Investment In Debt and Equity Securities,16.83,16.83,8.73,8.73,11.08,11.08,8.52,8.52,8.52,8.23,8.23,6.02,3.09,3.09,2.29,2.29,2.29,1.79,-,6.99
5,Goodwill,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.16,8.34,-,-,-,-,-,-,-,-,-,-,-
6,Other Intangible Assets,1.76,1.35,1.39,1.56,1.13,1.2,1.27,1.33,0.77,0.85,0.94,1.03,5.72,6.03,6.45,6.87,6.38,6.5,-,7.13
7,Other Current Assets,737.79,650.4,727.42,782.78,658.28,547.12,439.17,358.77,242.48,190.55,234.23,182.47,71.86,22.63,69.72,44.93,80.9,32.1,-,36.13
8,Trading Asset Securities,250.35,231,43,-,78,78,42.53,10.14,431.28,240,540.89,-,565.5,432.96,200,-,507,-,-,-
9,Deferred Long-Term Tax Assets,216.15,211.86,209.55,205.95,186.39,197.3,175.73,167.13,154.45,146.43,147.68,146.4,49.79,51.05,48,47.07,51.06,49.84,-,54.38
10,Deferred Long-Term Charges,1029,1020,1037,1042,909.76,894.47,783.34,770.54,474.43,403.13,435.34,410.72,436.61,451.17,460.85,483.87,479.79,501.42,-,527.79
11,Other Long-Term Assets,339.39,343.6,346.26,343.23,413.87,341.85,325.45,316.05,335.83,343.77,385.12,351.87,438.56,426.31,430.51,151.91,147.18,143.95,-,138.35
12,Total Assets,6118,6166,6207,6321,6473,6412,6127,6168,6250,5535,5271,5043,4054,4038,4084,1447,1418,1396,-,1405
13,Current Portion of Long-Term Debt,478.91,2,479.16,1.4,433.46,1.88,374.47,1.4,375.78,1.16,276.23,3.5,2.47,2.59,2.37,2.54,2.49,2.4,-,2.6
14,Current Portion of Leases,-,476.91,-,421.86,-,414.74,-,368.08,-,313.58,-,270.53,-,0.04,-,-,-,0.03,-,0.84
15,Long-Term Debt,3.48,3.98,4.48,5.59,5.48,5.98,6.48,7.21,7.82,5.51,6.3,5.37,-,-,0.11,2.45,2.45,2.45,-,4.67
16,Long-Term Leases,3451,3512,3556,3701,3766,3795,3756,3807,3890,3423,3234,3019,2288,2268,2317,0.02,0.02,0.03,-,0.04
17,Accounts Payable,119.16,131.71,122.57,162.64,194.92,173.87,156.43,198.2,218.81,127.71,90.28,93.85,62.48,64.08,56.05,131.76,161.69,176.6,-,181.55
18,Accrued Expenses,32.68,35.67,37.62,50.56,31.11,36.12,35.72,42.22,22.93,27.67,18.05,33.11,14.19,20.26,13.53,26.61,16.67,19.6,-,24.51
19,Current Income Taxes Payable,27.13,18.11,24.09,12.93,27.93,15.63,28.29,11.4,18.67,2.08,17.67,13.95,16.6,10.32,13.88,6.84,14.49,9.11,-,11.66
20,Current Unearned Revenue,48.43,40.59,39.83,38.55,48.23,45.03,39.96,30.18,30.62,20.08,33.94,28.27,30.25,28.39,28.52,27.73,25.1,121.15,-,-
21,Other Current Liabilities,461.62,471.63,498.25,477.25,476.75,471.27,351.51,325.86,289.62,276.34,282.96,291.31,309.7,296.67,283.81,288.09,270.92,167.26,-,302.25
22,Long-Term Unearned Revenue,5.69,6.08,6.11,6.66,10.49,10.43,5.59,5.82,4.15,4.37,4.6,4.83,5,5.22,5.43,5.65,5.86,6.07,-,6.5
