,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,2737,3033,2093,1813,2410,2333,2241,2221,2034,1929,2619,2388,2656,2421,2746,3337,-,-,-,-,-
1,Market Cap Growth,29.99%,29.99%,-6.60%,-18.40%,18.50%,20.94%,-14.44%,-6.99%,-23.42%,-20.32%,-4.62%,-28.44%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6395,6731,5819,5602,6199,6080,5709,5569,5381,4681,5136,3432,3700,3413,3797,2746,-,-,-,-,-
3,Last Close Price,19.02,20.72,14.30,11.80,15.69,15.19,14.59,14.46,13.24,12.56,17.05,15.55,17.29,15.76,17.88,21.34,-,-,-,-,-
4,PE Ratio,101.09,107.58,52.82,45.78,72.51,2538.12,-200.96,237.88,-,23.14,25.24,21.86,25.47,21.81,26.85,37.96,-,-,-,-,-
5,PS Ratio,2.22,2.36,1.64,1.46,2.06,2.29,2.50,2.78,2.61,2.31,2.89,2.51,2.78,2.61,3.08,3.97,-,-,-,-,-
6,PB Ratio,2.21,2.21,1.53,1.32,1.73,1.64,1.60,1.65,1.51,1.42,1.98,1.84,2.09,1.84,2.05,2.46,-,-,-,-,-
7,P/FCF Ratio,4.74,3.81,2.53,2.22,3.10,3.59,3.70,4.44,4.68,4.15,5.49,4.03,4.37,5.11,6.76,12.93,-,-,-,-,-
8,P/OCF Ratio,3.81,3.81,2.53,2.22,3.10,3.59,3.70,4.44,4.68,4.15,5.49,4.03,4.37,5.11,6.76,12.93,-,-,-,-,-
9,EV/Sales Ratio,4.97,5.23,4.56,4.50,5.30,5.96,6.37,6.96,6.91,5.60,5.66,3.61,3.87,3.67,4.26,3.27,-,-,-,-,-
10,EV/EBITDA Ratio,10.50,32.18,29.45,30.46,38.01,65.95,60.72,53.39,-,25.17,23.75,15.52,17.30,16.90,23.95,21.84,-,-,-,-,-
11,EV/EBIT Ratio,32.93,32.62,29.84,30.92,38.59,67.59,62.12,54.39,-,25.40,23.97,15.68,17.50,17.15,24.41,22.36,-,-,-,-,-
12,EV/FCF Ratio,11.08,8.45,7.03,6.86,7.97,9.36,9.43,11.12,12.38,10.08,10.77,5.79,6.09,7.20,9.35,10.64,-,-,-,-,-
13,Debt / Equity Ratio,2.94,2.94,2.98,2.97,2.99,2.98,3.03,3.08,3.12,3.14,2.83,2.72,2.60,1.74,1.70,1.71,0.01,0.01,0.01,0.01,0.01
14,Debt / EBITDA Ratio,6.62,19.06,3.73,19.64,2.24,25.60,4.58,33.24,3.63,24.77,5.42,14.91,2.59,7.81,3.43,11.23,0.08,0.06,0.06,0.05,0.04
15,Debt / FCF Ratio,5.06,5.06,4.93,5.00,5.34,6.51,6.99,8.27,9.63,9.21,7.86,5.94,5.43,4.85,5.61,9.01,0.04,0.04,0.04,0.09,0.16
16,Asset Turnover,0.21,0.21,0.20,0.21,0.19,0.18,0.16,0.12,0.12,0.14,0.17,0.22,0.25,0.23,0.32,0.62,0.61,-,-,-,
17,Quick Ratio,0.48,0.48,0.54,0.46,0.45,0.52,0.64,0.81,0.95,1.09,1.46,1.47,1.59,2.97,3.18,3.25,1.45,1.29,1.31,-,1.20
18,Current Ratio,1.06,1.06,1.06,1.04,1.10,1.06,1.10,1.25,1.32,1.34,1.71,1.79,1.83,3.14,3.24,3.42,1.54,1.45,1.37,-,1.27
19,Return on Equity (ROE),3.02%,2.06%,3.62%,2.36%,7.20%,2.35%,0.84%,-9.14%,3.22%,7.92%,8.15%,7.48%,9.16%,9.71%,7.75%,14.08%,9.65%,8.24%,15.27%,-,
20,Return on Assets (ROA),2.12%,2.09%,2.04%,2.00%,1.59%,1.51%,1.25%,-0.78%,1.82%,2.23%,2.84%,1.90%,4.50%,3.26%,4.62%,3.88%,5.20%,-,-,-,
21,Return on Capital (ROIC),2.40%,2.37%,2.33%,2.29%,1.81%,1.70%,1.39%,-0.87%,2.00%,2.44%,3.12%,2.11%,5.04%,3.63%,5.50%,5.90%,8.04%,5.70%,11.83%,-,
22,Earnings Yield,1.03%,0.93%,1.89%,2.18%,1.38%,0.04%,-0.50%,0.42%,1.60%,4.32%,3.96%,4.57%,3.93%,4.58%,3.72%,2.63%,-,-,-,-,-
23,FCF Yield,21.08%,26.25%,39.52%,45.02%,32.29%,27.85%,27.01%,22.54%,21.38%,24.08%,18.20%,24.81%,22.88%,19.57%,14.79%,7.73%,-,-,-,-,-
24,Payout Ratio,41.12%,128.49%,3.58%,46.23%,-,22.46%,-,15.58%,-,12.50%,0.56%,0.77%,-,14.13%,174.27%,1.93%,-,0.10%,180.58%,1.67%,0.16%
25,Buyback Yield / Dilution,-57.06%,4.70%,-14.87%,3.07%,3.10%,2.08%,14.88%,-0.95%,-13.35%,-4.77%,7.10%,-13.30%,-717.73%,30.06%,-43.72%,-17.50%,85.50%,-,-,-,-
26,Total Shareholder Return,-57.06%,4.70%,-14.87%,3.07%,3.10%,2.08%,14.88%,-0.95%,-13.35%,-4.77%,7.10%,-13.30%,-717.73%,30.06%,-43.72%,-17.50%,85.50%,-,-,-,-
