,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Rental Revenue,316.4,317.66,313.24,338.64,307.41,284.16,239.02,190.22,182.54,188.12,217.97,247.72,253.11,233.04,221.03,221.8,216.18,181.58,213.8,239.77
1,Total Revenue,316.4,317.66,313.24,338.64,307.41,284.16,239.02,190.22,182.54,188.12,217.97,247.72,253.11,233.04,221.03,221.8,216.18,181.58,213.8,239.77
2,Revenue Growth (YoY,2.92%,11.79%,31.05%,78.03%,68.40%,51.05%,9.66%,-23.21%,-27.88%,-19.27%,-1.38%,11.69%,17.08%,28.34%,3.38%,-7.49%,-,-,-,-
3,Property Expenses,213.96,207.46,202.53,215.71,206.8,195.06,165.4,141.44,92.39,95.27,126.56,146.07,147.28,143.99,139.26,152.19,155.94,125.02,151.28,152.65
4,"Selling, General & Administrative",56.57,57.24,57.76,70.45,61.41,52.52,46.38,60.5,51.26,41.85,32.96,51.73,35.26,38.72,35.44,38.14,32.4,38.15,22.67,36.78
5,Other Operating Expenses,-9.47,0.87,1.29,2.02,-1.61,-1.63,-4.18,7.73,-3.08,0.65,-0.2,15.31,-2.33,-2.36,-4.75,9.28,-1.02,-2.36,-1.68,1.54
6,Total Operating Expenses,264.25,265.99,262.01,287.35,266.56,246.35,208.36,209.6,139.75,139.82,159.32,213.2,180.3,180.08,169.94,199.57,186.91,161.35,172.27,190.57
7,Operating Income,52.15,51.68,51.23,51.29,40.85,37.81,30.67,-19.38,42.8,48.3,58.65,34.52,72.81,52.96,51.08,22.23,29.27,20.24,41.53,49.2
8,Interest Expense,-43.99,-44.16,-45.34,-50.24,-42.76,-44.92,-36.91,-49.46,-29.48,-26.19,-25.93,-25.8,-28.75,-26.19,-27.62,-0.06,-0.08,0.31,-0.52,-0.15
9,Interest & Investment Income,5.62,7.11,7.56,12.17,7.14,6.63,7.58,10.44,1.26,12.2,1.32,7.14,3.06,9.21,6.78,8.24,1.06,8.5,2.09,7.17
10,Currency Exchange Gain (Loss),0.01,-0.01,-,-0.03,0.02,-0.02,-,0.01,-0.04,0.04,-,0.1,-0.04,0.04,-,-0,0,-0,-,0
