,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+13 Quarters
0,Cash & Equivalents,2215,1195,2306,999.72,1426,-,464.64,994.37,1047,886.91,1462,1572,459.18,612.92,891.16,804.87,1698,3266,554.26,3100,Upgrade
1,Cash & Short-Term Investments,2215,1195,2306,999.72,1426,-,464.64,994.37,1047,886.91,1462,1572,459.18,612.92,891.16,804.87,1698,3266,554.26,3100,Upgrade
2,Cash Growth,55.28%,-,396.28%,0.54%,36.23%,-,-68.23%,-36.73%,128.04%,44.70%,64.11%,95.28%,-72.96%,-81.23%,60.78%,-74.03%,112.05%,139.75%,-,1315.27%,Upgrade
3,Accounts Receivable,2213,12051,28901,75253,40341,-,72442,50229,58937,73336,77133,26425,38451,34012,20377,28518,26964,22748,73980,97022,Upgrade
4,Other Receivables,57699,40137,17137,22587,32609,-,30601,27300,14129,18090,15719,16090,9291,3801,3801,911.53,2644,411.53,351.59,481.59,Upgrade
5,Receivables,59912,52188,46038,97840,72950,-,103043,77529,73066,91426,92851,42515,47742,37814,24178,29430,29608,23159,74331,97504,Upgrade
6,Inventory,5595,6102,13116,13518,12405,-,16368,13630,13625,14260,20736,20736,20959,29713,19677,19227,19828,19752,19743,19729,Upgrade
7,Prepaid Expenses,608.42,-,608.42,-,-,-,19.75,19.75,19.75,91.68,32.81,-16.72,240.94,240.94,50.03,95.15,11.49,122.24,197.09,-,Upgrade
8,Other Current Assets,64.51,715.24,1462,9373,1652,-,740.75,729.62,7938,1308,660.96,2035,4010,1644,638.35,797.51,1952,846.67,756.65,792.22,Upgrade
9,Total Current Assets,68396,60200,63531,121730,88433,-,120636,92902,95695,107972,115744,66841,73411,70025,45435,50355,53097,47146,95582,121124,Upgrade
10,"Property, Plant & Equipment",3845,4521,5116,5352,5589,-,6693,6935,7153,6760,7001,7327,7772,8217,8663,9109,9555,10001,10426,10894,Upgrade
11,Long-Term Investments,19300,26300,26300,26300,26300,-,29000,29000,29000,29000,29000,29000,29000,35000,35000,35000,35000,35000,35000,34950,Upgrade
12,Other Long-Term Assets,-,608.42,-,608.42,608.42,-,628.46,628.46,-,-,-,628.46,628.46,628.46,628.46,628.46,712.12,-558.04,-558.04,628.46,Upgrade
13,Total Assets,91540,91629,94947,153991,120930,-,156958,129466,131848,143732,151745,103796,110811,113871,89727,95092,98364,91589,140450,167596,Upgrade
14,Accounts Payable,1747,1663,6798,65868,34592,-,64343,42140,44717,71414,79794,32400,38355,43450,19348,22646,22197,16250,67490,95224,Upgrade
15,Accrued Expenses,239.94,242.14,242.14,244.03,244.03,-,244.03,244.03,244.03,356.13,359.7,355.6,239.94,239.94,239.94,355.6,355.6,355.6,301.82,482.42,Upgrade
16,Short-Term Debt,15000,16300,16300,16297,14997,-,16345,16355,16355,1365,1365,1365,1585,2146,2146,2596,2596,2596,2728,2401,Upgrade
17,Current Income Taxes Payable,206.51,1031,239.88,415,442.11,-,249.29,264.57,238.44,235.57,186.78,34.34,251.44,251.44,251.44,355.53,1487,405.61,323.15,288.48,Upgrade
18,Current Unearned Revenue,-,-120,-,-120,-,-,120,240,120,240,-,120,221.2,501.6,238.8,268.8,187.2,442.2,200,500,Upgrade
19,Other Current Liabilities,2878,595.57,134.9,320.65,27.4,-,4994,21.87,25.99,8.25,9.61,12.66,19.28,25.7,32.2,412.37,2477,1555,4.14,-,Upgrade
