,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,71.22,72.35,75.49,71.7,70.43,68.35,73.06,69.57,69.83,61.92,71.6,66.6,59.99,61.94,61.94,57.99,57.99,51.15,51.15
1,Other Revenue,-0.01,0.01,-,0.01,-0.01,0.01,-,0.06,-0.04,0.04,-,0.07,-,-,-,0.02,0.02,0.01,0.01
2,Revenue,71.21,72.37,75.49,71.72,70.41,68.36,73.06,69.62,69.79,61.95,71.6,66.66,59.99,61.94,61.94,58.01,58.01,51.16,51.16
3,Revenue Growth (YoY),1.13%,5.86%,3.33%,3.00%,0.89%,10.34%,2.05%,4.44%,16.35%,0.02%,15.59%,14.92%,3.40%,21.07%,21.07%,-,-,-,-
4,Cost of Revenue,27.47,26.04,20.86,29.88,31.27,27.91,24.54,29.74,24.42,19.76,19.48,26.81,20.67,20.11,20.11,21.81,21.81,14.6,14.6
5,Gross Profit,43.74,46.32,54.63,41.83,39.14,40.45,48.52,39.89,45.37,42.19,52.12,39.86,39.32,41.83,41.83,36.2,36.2,36.56,36.56
6,"Selling, General & Admin",27.02,28.22,25.46,27.51,24.59,26.43,28.28,34.47,22.26,20.75,23.77,29.9,21.78,21.46,21.46,23.04,23.04,15.13,15.13
7,Research & Development,5.72,5.61,5.84,5.81,5.4,5.56,5.67,6.52,4.09,4.16,4.15,5.48,4.04,3.96,3.96,4.02,4.02,3.03,3.03
8,Other Operating Expenses,0.79,0.57,0.81,0.53,-0.17,1.16,-0.07,3.16,-0.8,0.07,0.33,3.84,-2.14,0.78,0.78,0.83,0.83,0.66,0.66
9,Operating Expenses,33.86,34.72,32.17,34.07,30.05,33.31,33.89,44.27,25.77,24.99,28.33,39.32,23.63,26.26,26.26,27.93,27.93,18.83,18.83
10,Operating Income,9.88,11.6,22.46,7.77,9.09,7.15,14.63,-4.38,19.6,17.2,23.78,0.54,15.69,15.57,15.57,8.27,8.27,17.73,17.73
11,Interest Expense,-0.18,-0.18,-0.17,-0.18,-0.18,-0.16,-0.14,-0.14,-0.15,-0.16,-0.16,-0.17,-0.18,-0.18,-0.18,-,-,-,-
12,Interest & Investment Income,7.11,5.93,4.18,3.26,7.34,5.51,2.64,0.69,2.15,2.53,2.35,2.13,2.11,1.78,1.78,1.67,1.67,1.37,1.37
