,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4116,3547,2520,2788,3547,4025,3424,3417,2994,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-11.88%,-11.88%,-26.39%,-18.42%,18.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3836,3134,2002,2287,3047,3337,2656,2649,2655,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,68.60,58.77,41.27,43.98,55.96,63.50,53.69,52.91,46.36,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,63.46,55.15,40.04,46.53,68.13,92.56,67.20,60.57,51.27,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,14.04,12.20,8.69,9.75,12.51,14.30,12.19,12.45,10.97,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,6.76,5.82,4.07,3.99,5.27,6.09,5.08,4.81,4.32,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,6.36,6.36,4.38,4.20,5.48,6.34,5.29,5.00,4.49,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,215.65,185.85,154.22,-,178.64,114.82,70.30,-,41.42,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,56.67,56.67,46.50,-,81.72,81.61,57.75,-,36.62,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,13.19,10.78,6.90,8.00,10.74,11.86,9.46,9.65,9.73,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,60.50,50.40,32.60,40.15,61.99,90.16,55.92,46.16,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,76.53,60.61,39.31,49.22,78.86,125.99,71.81,56.29,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,200.98,164.20,122.50,-,153.43,95.18,54.55,-,36.73,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.06,0.06,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.22,0.28,0.22,0.14,0.26,0.33,0.33,0.16,4.21,0.14,0.15,0.13,0.62,-,-,-,-,-,-,-
16,Debt / FCF Ratio,0.72,0.72,0.87,-,0.70,0.43,0.30,-,0.16,0.14,0.13,0.16,0.14,-,-,-,-,-,-,-
17,Asset Turnover,0.31,0.31,0.31,0.30,0.29,0.28,0.29,0.35,0.49,-,-,-,-,-,-,0.52,0.56,0.53,-,
18,Inventory Turnover,683.58,870.73,758.56,617.40,706.26,705.27,675.87,540.05,363.67,379.00,-,-,-,-,-,-,1519.58,1132.28,603.87,-
19,Quick Ratio,1.26,1.26,1.79,2.29,2.07,2.11,2.88,3.21,2.94,1.46,1.38,-,1.21,-,-,-,1.01,1.01,0.97,0.97
20,Current Ratio,1.35,1.35,1.80,2.29,2.08,2.29,2.88,3.23,2.96,1.50,1.42,-,1.24,-,-,-,1.05,1.05,1.00,1.00
21,Return on Equity (ROE),8.65%,8.84%,14.47%,7.00%,7.14%,6.66%,9.68%,2.51%,27.24%,26.47%,31.76%,-,-,-,32.19%,18.47%,19.36%,40.21%,-,
22,Return on Assets (ROA),2.73%,3.06%,5.72%,2.01%,2.36%,1.82%,3.65%,-1.38%,8.56%,-,-,-,-,-,-,4.66%,4.97%,11.43%,-,
23,Return on Capital (ROIC),3.93%,4.31%,8.02%,2.85%,3.33%,2.53%,5.13%,-2.17%,16.50%,15.93%,23.56%,-,-,-,20.63%,10.95%,11.48%,25.88%,-,
24,Return on Capital Employed (ROCE),7.62%,7.86%,7.62%,6.21%,5.35%,3.74%,5.13%,6.24%,-,18.09%,17.96%,-,16.70%,-,-,-,23.47%,19.74%,17.36%,8.68%
25,Earnings Yield,1.56%,1.81%,2.50%,2.15%,1.47%,1.08%,1.49%,1.65%,1.95%,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,0.46%,0.54%,0.65%,0.60%,0.56%,0.87%,1.42%,1.83%,2.41%,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,3.52%,4.25%,5.09%,-,3.66%,-,2.24%,-,1.73%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,198.02%,221.49%,663.85%,-,11.66%,190.14%,416.97%,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-0.89%,-0.90%,3.02%,0.16%,-6.34%,-32.44%,-35.51%,-34.31%,-20.09%,-2.96%,1.34%,0.43%,-1.86%,2.81%,-0.71%,-0.71%,-,-,-,-
30,Total Shareholder Return,2.63%,3.35%,8.11%,0.16%,-2.68%,-32.44%,-33.27%,-34.31%,-18.36%,-2.96%,1.34%,0.43%,-1.86%,2.81%,-0.71%,-0.71%,-,-,-,-
