,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,117,150,149,185,230,129,161,226,265,900,710
1,Market Cap Growth,-18.92%,-18.92%,-35.22%,43.41%,42.86%,-42.92%,-39.25%,-74.89%,-62.68%,195.08%,-
2,Enterprise Value,133,169,178,218,266,157,197,257,286,883,783
3,Last Close Price,0.12,0.15,0.15,0.18,0.23,0.13,0.16,0.23,0.27,0.90,0.71
4,PE Ratio,10.08,12.92,15.16,-14.11,-,-,-,-,-,-,24.78
5,PS Ratio,0.70,0.89,1.46,4.19,7.74,4.65,6.31,10.13,7.23,5.95,2.71
6,PB Ratio,0.83,1.05,1.00,1.32,1.59,0.80,0.87,0.99,1.11,3.39,2.51
7,P/TBV Ratio,1.07,1.07,1.02,1.35,1.62,0.81,0.88,1.01,1.12,3.63,2.67
8,P/FCF Ratio,11.99,-,11.23,31.88,-17.24,-,-,-17.34,-,-,-
9,P/OCF Ratio,15.27,-,10.60,28.90,-17.57,-,-,-18.05,-,-,-
10,EV/Sales Ratio,0.79,1.01,1.74,4.94,8.96,5.67,7.74,11.51,7.80,5.84,2.99
11,EV/EBITDA Ratio,6.23,8.27,11.23,-42.39,-,-,-,-,-,-,18.93
12,EV/EBIT Ratio,8.19,10.37,15.36,-,-,-,-,-,-,-,21.71
13,EV/FCF Ratio,13.64,-,13.39,37.52,-19.96,-,-,-19.71,-,-,-
14,Debt / Equity Ratio,0.40,0.40,0.43,0.46,0.49,0.44,0.44,0.35,0.36,0.27,0.26
15,Debt / FCF Ratio,5.80,-,4.85,11.00,-5.28,-,-,-6.20,-,-,-
16,Return on Capital Employed (ROCE),9.10%,9.10%,6.09%,-,-,-,-,-,-,-,10.14%
17,Earnings Yield,9.92%,7.74%,6.60%,-7.09%,-9.07%,-29.30%,-30.95%,-23.08%,-20.30%,0.07%,4.04%
18,FCF Yield,8.34%,6.64%,8.90%,3.14%,-5.80%,-20.67%,-6.05%,-5.77%,-10.26%,-1.91%,3.81%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.20%,-32.60%,-33.60%,
20,Total Shareholder Return,-,-,-,-,-,-,-,0.20%,-32.60%,-33.60%,
