,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,168133,134656,137173,135665,123033,134402,139726,131841,178535,242327,276483,118569,367902,107511,84992,157635,570576,133534,190910,26513,Upgrade
1,Revenue Growth (YoY),36.66%,0.19%,-1.83%,2.90%,-31.09%,-44.54%,-49.46%,11.19%,-51.47%,125.40%,225.31%,-24.78%,-35.52%,-19.49%,-55.48%,494.56%,79.94%,469.18%,289.46%,-56.89%,Upgrade
2,Cost of Revenue,106833,96199,92360,86853,53110,86720,87011,77124,96841,166327,128762,80145,240725,38687,70023,101156,368703,89898,143826,19766,Upgrade
3,Gross Profit,61300,38457,44813,48811,69923,47682,52715,54717,81693,76000,147721,38424,127177,68824,14969,56479,201873,43635,47085,6747,Upgrade
4,"Selling, General & Admin",19210,16104,15732,15974,11321,15764,16204,21381,2048,24184,37493,20444,31652,8623,23578,14392,23216,9609,17744,5552,Upgrade
5,Operating Expenses,19210,16104,15732,15974,11321,15764,16204,21381,2048,24184,37493,20444,31652,8623,23578,14392,23216,9609,17744,5552,Upgrade
6,Operating Income,42090,22353,29081,32837,58602,31918,36512,33336,79645,51816,110228,17979,95525,60201,-8610,42087,178657,34026,29341,1195,Upgrade
7,Interest Expense,-17243,-17529,-21110,-18409,-20464,-21099,-23411,-19542,-11645,-12219,-5134,-17684,-15078,-11746,-15738,-15092,-24639,-2370,-1226,-2496,Upgrade
8,Interest & Investment Income,80.66,93.54,590.72,405.05,-,726.64,514.6,1439,123.11,538.71,-,2149,623.65,179.34,936.5,85.11,1079,367.32,1135,7.8,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-350.71,-,-611.63,-,-2419,-,-,-,-175.78,-,-,-,-121.85,-,-20.42,-,Upgrade
10,Currency Exchange Gain (Loss),-42.52,-,-235.15,235.15,859.75,938.93,-938.19,-0.74,-,77.83,-69.04,-8.79,-,4.76,-5.65,0.89,-,-,-,-,Upgrade
11,Other Non Operating Income (Expenses),-3528,6979,5677,1252,46212,-660.71,-15148,15940,-2736,-3727,678.23,1098,3576,-2068,26302,1011,-48515,5780,939.9,4446,Upgrade
12,EBT Excluding Unusual Items,21357,11896,14004,16321,84859,11824,-3083,31173,62969,36487,105703,3534,84470,46571,2885,28092,106459,37804,30169,3154,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-3100,-,-,-,8925,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.24,-6.24,-,-,2033,-2033,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,4545,-,-,-,5244,-,-,-,2161,-,-,-,Upgrade
16,Pretax Income,21357,11896,14004,16321,84859,11824,-3083,31173,64413,36487,105703,3534,98639,46571,2891,28085,108620,37804,32202,1121,Upgrade
17,Income Tax Expense,9551,5777,7614,5408,20431,4989,6930,4461,18678,7118,26198,2544,22415,2500,7129,5617,30958,6834,5496,293.29,Upgrade
18,Earnings From Continuing Operations,11806,6118,6389,10913,64428,6835,-10013,26712,45736,29369,79505,989.41,76224,44071,-4238,22468,77663,30970,26706,827.59,Upgrade
19,Minority Interest in Earnings,265.07,1107,1634,-1488,-3617,-144,657.53,-6845,-9137,-1185,3446,2863,644.62,605.88,-3708,-0.91,4096,-767.43,1914,50.38,Upgrade
20,Net Income,12071,7225,8024,9424,60811,6691,-9356,19867,36598,28184,82951,3852,76869,44677,-7946,22467,81758,30202,28619,877.97,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,3032,-,-,-,2721,-,-,-,7375,-,-,-,Upgrade
22,Net Income to Common,12071,7225,8024,9424,60811,6691,-9356,19867,33567,28184,82951,3852,74148,44677,-7946,22467,74383,30202,28619,877.97,Upgrade
23,Net Income Growth,-80.15%,7.99%,-,-52.56%,66.16%,-76.26%,-,415.69%,-52.39%,-36.92%,-,-82.85%,-5.98%,47.93%,-,2459.01%,-18.17%,1940.80%,95.51%,27.22%,Upgrade
24,Shares Outstanding (Basic),96,96,96,96,96,96,97,96,96,96,75,96,96,96,109,83,87,91,102,94,Upgrade
25,Shares Outstanding (Diluted),96,96,96,96,96,96,97,96,96,96,75,96,96,96,109,83,87,91,102,94,Upgrade
26,Shares Change (YoY),-0.16%,0.79%,-1.27%,0.20%,-0.07%,-0.29%,28.23%,-0.35%,0.05%,-0.16%,-30.72%,15.85%,10.06%,5.10%,6.72%,-11.92%,-9.08%,-2.82%,5.01%,-2.14%,Upgrade
27,EPS (Basic),126.00,75.00,84.01,98.00,633.74,70.00,-96.71,207.00,349.56,294.00,1099.51,40.00,772.51,465.29,-72.96,270.25,852.92,330.58,280.45,9.30,Upgrade
28,EPS (Diluted),126.00,75.00,84.01,98.00,633.55,70.00,-96.71,207.00,349.56,294.00,1099.51,40.00,772.51,465.29,-72.96,270.25,852.53,330.58,280.45,9.30,Upgrade
29,EPS Growth,-80.11%,7.14%,-,-52.66%,81.24%,-76.19%,-,417.50%,-54.75%,-36.81%,-,-85.20%,-9.39%,40.75%,-,2805.27%,-16.19%,2000.00%,86.18%,30.00%,Upgrade
30,Free Cash Flow,-5003,61609,-19988,-14125,144505,115521,28391,-136082,-82907,72840,-56668,115107,-28208,178977,-3803,-39405,-241957,149600,60721,50288,Upgrade
31,Free Cash Flow Per Share,-52.22,639.50,-209.27,-146.88,1505.94,1208.53,293.48,-1417.89,-863.38,759.84,-751.13,1195.14,-293.89,1863.96,-34.92,-473.98,-2774.42,1637.45,595.03,532.80,Upgrade
32,Gross Margin,36.46%,28.56%,32.67%,35.98%,56.83%,35.48%,37.73%,41.50%,45.76%,31.36%,53.43%,32.41%,34.57%,64.02%,17.61%,35.83%,35.38%,32.68%,24.66%,25.45%,Upgrade
33,Operating Margin,25.03%,16.60%,21.20%,24.20%,47.63%,23.75%,26.13%,25.28%,44.61%,21.38%,39.87%,15.16%,25.96%,56.00%,-10.13%,26.70%,31.31%,25.48%,15.37%,4.51%,Upgrade
34,Profit Margin,7.18%,5.37%,5.85%,6.95%,49.43%,4.98%,-6.70%,15.07%,18.80%,11.63%,30.00%,3.25%,20.15%,41.56%,-9.35%,14.25%,13.04%,22.62%,14.99%,3.31%,Upgrade
35,Free Cash Flow Margin,-2.98%,45.75%,-14.57%,-10.41%,117.45%,85.95%,20.32%,-103.22%,-46.44%,30.06%,-20.50%,97.08%,-7.67%,166.47%,-4.47%,-25.00%,-42.41%,112.03%,31.81%,189.67%,Upgrade
36,EBITDA,59593,32813,47213,51812,68885,76852,48471,81392,95421,70360,128969,24857,106390,70298,2409,49236,197036,37393,34797,2532,Upgrade
37,EBITDA Margin,35.44%,24.37%,34.42%,38.19%,55.99%,57.18%,34.69%,61.73%,53.45%,29.04%,46.65%,20.96%,28.92%,65.39%,2.83%,31.23%,34.53%,28.00%,18.23%,9.55%,Upgrade
38,D&A For EBITDA,17503,10460,18132,18975,10282,44934,11959,48056,15776,18544,18741,6877,10865,10097,11019,7150,18380,3367,5456,1337,Upgrade
39,EBIT,42090,22353,29081,32837,58602,31918,36512,33336,79645,51816,110228,17979,95525,60201,-8610,42087,178657,34026,29341,1195,Upgrade
40,EBIT Margin,25.03%,16.60%,21.20%,24.20%,47.63%,23.75%,26.13%,25.28%,44.61%,21.38%,39.87%,15.16%,25.96%,56.00%,-10.13%,26.70%,31.31%,25.48%,15.37%,4.51%,Upgrade
41,Effective Tax Rate,44.72%,48.57%,54.37%,33.14%,24.08%,42.19%,-,14.31%,29.00%,19.51%,24.78%,72.00%,22.72%,5.37%,246.59%,20.00%,28.50%,18.08%,17.07%,26.17%,Upgrade
42,Revenue as Reported,168133,134656,137173,135665,123033,134402,139726,131841,178535,242327,276483,118569,367902,107511,84992,157635,570576,133534,190910,26513,Upgrade
