,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1040895,1045692,1074473,1098456,1184798,1036099,1031302,1151221,803936,663566,1136835,850337,1587296,2039779,1217039,1169468,1379575,1216363,1081177,922322,912996,Upgrade
1,Market Cap Growth,0.93%,0.93%,4.19%,-4.58%,47.37%,56.14%,-9.28%,35.38%,-49.35%,-67.47%,-6.59%,-27.29%,15.06%,67.69%,12.57%,26.80%,51.10%,4.23%,-2.17%,9.23%,3.91%,Upgrade
2,Enterprise Value,1784440,1702035,1689345,1700707,1768373,1664049,1770755,1917462,1524439,1290830,1861473,1529145,2395718,2844393,2185137,2137565,2315157,2027378,1922731,1802908,1804508,Upgrade
3,Last Close Price,10850.00,10900.00,11200.00,11450.00,12350.00,10800.00,10750.00,12000.00,8380.00,6920.00,11850.00,8863.64,16545.45,21272.73,12685.95,12190.08,14380.17,12685.95,11269.72,9616.83,9171.85,Upgrade
4,PE Ratio,29.09,28.46,12.57,12.93,17.53,13.28,20.31,-,4.89,4.47,6.01,4.14,13.83,15.30,9.11,-,8.86,9.07,6.87,7.17,7.97,Upgrade
5,PS Ratio,1.81,1.82,2.03,2.07,2.22,1.96,1.76,1.66,0.97,0.81,1.13,0.98,2.34,2.84,1.32,1.24,1.31,1.32,1.62,1.65,2.19,Upgrade
6,PB Ratio,0.48,0.45,0.46,0.47,0.51,0.45,0.46,0.52,0.36,0.30,0.52,0.40,0.77,0.98,0.61,0.60,0.70,0.63,0.58,0.50,0.50,Upgrade
7,P/TBV Ratio,0.61,0.61,0.63,0.65,0.70,0.62,0.64,0.72,0.49,0.41,0.73,0.55,1.09,1.41,0.88,0.88,1.03,0.92,0.65,0.56,0.56,Upgrade
8,P/FCF Ratio,46.49,-,6.25,-,-,6.80,-13.74,-9.78,-,-,11.03,-,6.06,-,-11.46,-,-,-,2.86,5.16,7.63,Upgrade
9,P/OCF Ratio,46.49,-,5.75,-,-,6.20,27.35,-10.60,-,4.12,-,2.42,4.82,11.66,-34.48,-31.90,-,-,2.82,9.30,7.36,Upgrade
10,EV/Sales Ratio,3.10,2.96,3.18,3.21,3.32,3.15,3.03,2.77,1.84,1.58,1.85,1.76,3.53,3.96,2.37,2.26,2.20,2.20,2.88,3.23,4.34,Upgrade
11,EV/EBITDA Ratio,9.32,8.89,8.42,6.95,7.19,6.04,5.86,6.49,4.05,4.04,5.63,4.63,11.75,12.46,6.85,7.47,7.27,7.46,10.71,12.40,14.33,Upgrade
12,EV/EBIT Ratio,14.12,13.47,11.82,11.16,11.06,10.38,9.76,9.52,5.54,4.97,6.76,5.39,14.51,15.03,8.02,-,8.15,8.34,11.44,13.26,14.97,Upgrade
13,EV/FCF Ratio,75.67,-,9.82,-,-,10.92,-23.59,-16.28,-,-,18.06,-,9.14,-,-20.58,-,-,-,5.08,10.08,15.07,Upgrade
14,Debt / Equity Ratio,0.27,0.27,0.26,0.24,0.24,0.25,0.27,0.30,0.31,0.30,0.26,0.30,0.30,0.34,0.35,0.45,0.43,0.43,0.36,0.38,0.41,Upgrade
15,Debt / EBITDA Ratio,3.32,2.67,4.53,2.99,2.69,2.06,1.93,3.50,2.14,1.77,2.01,1.24,6.18,1.67,2.52,90.68,4.28,1.05,4.52,5.00,73.48,Upgrade
16,Debt / FCF Ratio,28.26,-,3.45,-,-,3.72,-7.91,-5.76,-,-,5.48,-,2.34,-,-6.66,-,-,-,1.78,3.89,6.22,Upgrade
17,Asset Turnover,0.17,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.17,0.23,0.26,0.11,0.34,0.10,0.08,0.14,0.52,0.13,0.18,0.03,Upgrade,
18,Inventory Turnover,0.22,0.25,0.22,0.22,0.20,0.12,0.20,0.20,0.18,0.23,0.39,0.29,0.18,0.54,0.09,0.16,0.22,0.72,0.16,0.28,0.04,Upgrade
19,Quick Ratio,0.24,0.24,0.24,0.22,0.23,0.24,0.20,0.20,0.23,0.20,0.21,0.15,0.15,0.17,0.20,0.16,0.20,0.09,0.13,0.06,0.10,Upgrade
20,Current Ratio,1.58,1.58,1.58,1.57,1.59,1.51,1.42,1.46,1.44,1.37,1.51,1.19,1.25,1.27,1.19,1.18,1.21,1.19,1.37,1.23,1.30,Upgrade
21,Return on Equity (ROE),2.03%,1.05%,1.10%,1.89%,11.34%,1.22%,-1.79%,4.78%,8.32%,5.43%,15.05%,0.19%,14.98%,8.91%,-0.86%,4.60%,16.31%,6.69%,5.86%,0.18%,Upgrade,
22,Return on Assets (ROA),2.59%,1.38%,1.78%,1.99%,3.53%,1.92%,2.18%,1.99%,4.76%,3.05%,6.40%,1.06%,5.48%,3.38%,-0.48%,2.35%,10.18%,1.99%,1.75%,0.07%,Upgrade,
23,Return on Capital (ROIC),3.58%,1.93%,2.53%,2.86%,5.13%,2.78%,3.12%,2.85%,7.06%,4.68%,10.06%,1.64%,8.70%,5.44%,-0.76%,3.77%,16.81%,3.35%,2.88%,0.11%,Upgrade,
24,Return on Capital Employed (ROCE),4.79%,4.79%,5.34%,5.70%,5.86%,5.98%,7.02%,7.61%,10.33%,10.04%,9.87%,11.65%,6.70%,7.81%,11.24%,-,11.56%,10.08%,7.15%,6.50%,5.29%,Upgrade
25,Earnings Yield,3.44%,3.51%,7.96%,7.73%,5.70%,7.53%,5.22%,6.54%,20.85%,22.84%,16.88%,24.50%,7.40%,6.67%,11.58%,10.82%,11.82%,11.63%,14.76%,14.19%,12.81%,Upgrade
26,FCF Yield,2.15%,2.15%,16.01%,20.57%,23.15%,14.70%,-7.28%,-10.23%,-25.23%,7.29%,9.07%,24.60%,16.51%,5.27%,-8.73%,-11.59%,-5.15%,1.53%,35.01%,19.40%,13.11%,Upgrade
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.03%,-,1.67%,-,0.10%,-,-,-,41.83%,-,96.60%,-,Upgrade
28,Buyback Yield / Dilution,-0.06%,0.16%,-0.79%,1.27%,-0.20%,0.07%,0.29%,-28.23%,0.35%,-0.05%,0.16%,30.72%,-15.85%,-10.06%,-5.10%,-6.72%,11.92%,9.08%,2.82%,-5.01%,2.14%,Upgrade
29,Total Shareholder Return,-0.06%,0.16%,-0.79%,1.27%,-0.20%,0.07%,0.29%,-28.23%,0.35%,-0.05%,0.16%,30.72%,-15.85%,-10.06%,-5.10%,-6.72%,11.92%,9.08%,2.82%,-5.01%,2.14%,Upgrade
