,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,413.02,328.86,383.65,491.92,353.35,217.81,314.31,512.85,-,-,-,83.46,83.46,-,-,67.95,67.95,57.44,57.44
1,Short-Term Investments,-,-,-,51.58,-,254.72,-,200.35,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,200.79,251.17,251,251.25,201.55,251.04,270.97,101.9,-,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,613.8,580.03,634.65,794.75,554.9,723.56,585.28,815.11,-,-,83.46,83.46,83.46,-,67.95,67.95,67.95,57.44,57.44
4,Cash Growth,10.62%,-19.84%,8.43%,-2.50%,-,-,601.28%,876.66%,-,-,22.83%,22.83%,22.83%,-,18.30%,-,-,-,-
5,Accounts Receivable,696.71,687.95,633.1,647.23,571.93,505.01,518.97,564.09,-,-,-,449.63,449.63,-,-,333.03,333.03,258.41,258.41
6,Other Receivables,14.16,8.75,5.29,4.97,2.27,4.03,4.7,8,-,-,-,6.96,6.96,-,-,0.73,0.73,1.44,1.44
7,Receivables,710.88,696.7,638.39,652.2,574.2,509.04,523.67,572.09,-,-,-,456.59,456.59,-,-,333.76,333.76,259.85,259.85
8,Inventory,251.34,288.15,239.14,248.27,258.6,224.97,246.05,265.99,-,-,-,206.68,206.68,-,-,138.03,138.03,85.25,85.25
9,Prepaid Expenses,-,1.56,-,0.57,-,-,-,0.96,-,-,-,-,-,-,-,2.45,2.45,1.11,1.11
10,Other Current Assets,44.66,18.74,3.32,14.39,262.4,5.83,256.04,1.89,-,-,-,6.49,6.49,-,-,23.52,23.52,15.5,15.5
11,Total Current Assets,1621,1585,1515,1710,1650,1463,1611,1656,-,-,-,753.21,753.21,-,-,565.7,565.7,419.15,419.15
12,"Property, Plant & Equipment",996.24,924.71,900.21,887.82,811.8,798.49,766.52,705.05,-,-,-,667.19,667.19,-,-,534.51,534.51,440.98,440.98
13,Other Intangible Assets,88.07,85.7,86.7,86.8,87.83,85.29,85.59,45.4,-,-,-,47.4,47.4,-,-,47.92,47.92,48.56,48.56
14,Long-Term Deferred Tax Assets,19.63,19.66,19.92,19.19,18.54,17.75,15.66,15.55,-,-,-,13.19,13.19,-,-,14.04,14.04,17.92,17.92
15,Long-Term Deferred Charges,15.23,2.58,2.85,2.96,5.02,-,3.43,2.27,-,-,-,1.55,1.55,-,-,2,2,0.65,0.65
16,Other Long-Term Assets,52.28,85.37,82.65,19.23,14.43,12.97,12.64,22.63,-,-,-,13.16,13.16,-,-,17.73,17.73,20.06,20.06
17,Total Assets,2792,2703,2608,2726,2588,2378,2495,2447,-,-,-,1496,1496,-,-,1182,1182,947.33,947.33
18,Accounts Payable,867.35,749.17,684.72,711.54,555.33,449.74,505.95,582.22,-,-,-,615.82,615.82,-,-,402.48,402.48,225.78,225.78
19,Accrued Expenses,16.28,19.82,17.08,19.67,15.67,15.83,14.98,16.55,-,-,-,13.97,13.97,-,-,50.32,50.32,34.94,34.94
20,Short-Term Debt,136.03,158.11,135.25,238.61,262.25,162.79,155.06,46.36,-,-,-,146.02,146.02,-,-,91.22,91.22,71.52,71.52
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,34.87,34.87,-,-,3,3,3,3
22,Current Portion of Leases,0.31,0.84,0.81,0.96,1.58,2.32,5.45,8.91,-,-,-,40.32,40.32,-,-,53.72,53.72,50.48,50.48
23,Current Income Taxes Payable,2.15,-,2.11,0.82,5.17,1.23,4.78,4.48,-,-,-,3.79,3.79,-,-,0.05,0.05,0.05,0.05
24,Current Unearned Revenue,0.04,0.1,0.03,0.05,0.01,0,0.01,0.02,-,-,-,1.25,1.25,-,-,0.27,0.27,0.41,0.41
25,Other Current Liabilities,2.87,2.51,2.84,2,3.63,3.55,2.63,2.21,-,-,-,0.24,0.24,-,-,0.17,0.17,18.77,18.77
26,Total Current Liabilities,1025,930.55,842.83,973.64,843.63,635.47,688.85,660.76,-,-,-,856.27,856.27,-,-,601.23,601.23,404.96,404.96
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,7.81,7.81,-,-,33.85,33.85,35.35,35.35
28,Long-Term Leases,1.32,3.29,3.38,3.58,3.92,2.34,2.85,0.18,-,-,-,9.83,9.83,-,-,29.03,29.03,43.4,43.4
29,Long-Term Unearned Revenue,74.38,72.4,72.82,72.47,73.69,74.91,76.14,77.36,-,-,-,70.29,70.29,-,-,67.28,67.28,62.34,62.34
30,Long-Term Deferred Tax Liabilities,17.62,18.69,18.04,18.98,19.28,19.85,20.09,19.97,-,-,-,20.54,20.54,-,-,19.48,19.48,16.34,16.34
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.19,0.19,-,-
32,Total Liabilities,1118,1025,937.08,1069,940.52,732.57,787.92,758.27,-,-,-,964.74,964.74,-,-,751.07,751.07,562.39,562.39
33,Common Stock,151.14,151.14,151.14,151.14,151.14,151.14,151.14,151.14,-,-,-,113.35,113.35,-,-,113.35,113.35,113.35,113.35
34,Additional Paid-In Capital,1225,1224,1224,1223,1224,1225,1221,1221,-,-,-,243.1,243.1,-,-,243.1,243.1,243.1,243.1
35,Retained Earnings,325.83,308.5,296.94,283.98,272.29,270.31,334.97,317.14,-,-,-,175.63,175.63,-,-,75.34,75.34,29.42,29.42
36,Treasury Stock,-26.99,-4.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-0.99,-1.08,-1.05,-1.05,-0.71,-0.74,-0.52,-0.97,-,-,-,-1.11,-1.11,-,-,-0.97,-0.97,-0.94,-0.94
38,Shareholders' Equity,1674,1678,1671,1657,1647,1645,1707,1689,-,-,530.97,530.97,530.97,-,430.82,430.82,430.82,384.94,384.94
39,Total Liabilities & Equity,2792,2703,2608,2726,2588,2378,2495,2447,-,-,-,1496,1496,-,-,1182,1182,947.33,947.33
40,Total Debt,137.66,162.24,139.44,243.15,267.75,167.45,163.36,55.46,-,-,238.83,238.83,238.83,-,210.82,210.82,210.82,203.75,203.75
41,Net Cash (Debt),476.14,417.8,495.21,551.6,287.15,556.12,421.92,759.65,-,-,-155.38,-155.38,-155.38,-,-142.87,-142.87,-142.87,-146.32,-146.32
42,Net Cash Growth,65.82%,-24.87%,17.37%,-27.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,3.05,2.80,3.44,3.80,1.81,3.72,2.76,4.98,-,-,-1.34,-1.37,-,-,-,-1.26,-1.26,-1.34,-1.34
44,Filing Date Shares Outstanding,149.62,150.88,151.14,151.14,151.14,151.14,151.14,151.14,124.58,151.14,115.7,113.35,-,-,-,113.35,113.35,113.35,113.35
45,Total Common Shares Outstanding,149.62,150.88,151.14,151.14,151.14,151.14,151.14,151.14,124.58,113.35,115.7,113.35,-,-,-,113.35,113.35,113.35,113.35
