,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,2522,2718,2232,2891,3930,3253,3133,3264,3139,3280,4387,6531,7720,-,-,-,-
1,Market Cap Growth,-16.43%,-16.43%,-28.75%,-11.42%,25.18%,-0.83%,-28.59%,-50.02%,-59.34%,-,-,-,-,-,-,-,-
2,Enterprise Value,2194,2406,1911,2562,3600,2866,2724,3057,2932,2752,3830,6368,7557,-,-,-,-
3,Last Close Price,15.76,16.99,13.95,17.96,24.41,20.21,19.46,20.18,19.41,20.28,27.13,40.14,47.44,-,-,-,-
4,PE Ratio,146.06,-,93.78,95.03,117.30,99.18,95.62,92.89,93.93,73.52,83.63,108.85,135.01,-,-,-,-
5,PS Ratio,7.93,8.63,7.49,10.17,13.44,11.48,10.58,10.79,11.08,11.03,13.85,18.84,22.07,-,-,-,-
6,PB Ratio,3.26,3.49,2.86,3.65,5.05,4.19,4.07,4.22,4.14,-,5.84,8.55,10.28,-,-,-,-
7,P/TBV Ratio,3.69,3.69,3.00,3.82,5.27,4.38,4.25,4.39,4.18,-,5.91,8.64,10.39,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,1367.58,-,48.79,-,104.74,101.88,112.64,-,-,-,-
9,P/OCF Ratio,-,-353.49,-,-,-307.02,-,93.60,-,44.92,-,97.14,98.62,107.78,-,-,-,-
10,EV/Sales Ratio,6.96,7.64,6.41,9.01,12.31,10.11,9.20,10.11,10.35,9.26,12.09,18.37,21.60,-,-,-,-
11,EV/EBITDA Ratio,147.92,-,83.86,86.33,101.80,83.43,77.05,79.90,80.15,53.68,60.16,83.02,102.20,-,-,-,-
12,EV/EBIT Ratio,966.80,-,-,134.95,147.20,123.37,115.76,116.64,123.03,72.77,76.29,101.73,124.89,-,-,-,-
13,EV/FCF Ratio,-52.55,-,-,-,-,-,1188.97,-,45.58,-,91.44,99.34,110.26,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,-,-
15,Debt / EBITDA Ratio,0.21,-,0.07,0.33,0.48,0.65,0.32,0.03,0.01,-,0.01,0.02,0.01,0.01,0.01,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-,5.61,-,0.00,-,0.01,0.01,0.02,0.01,0.02,-,-
17,Asset Turnover,0.36,0.38,0.33,0.41,0.28,0.32,0.37,-,-,0.36,0.29,0.44,0.58,-,-,-,
18,Inventory Turnover,1.47,1.68,1.81,1.20,1.37,0.90,1.26,1.42,-,-,1.57,1.26,2.20,2.16,-,-,-
19,Quick Ratio,5.64,5.64,6.19,6.47,6.40,8.20,8.15,8.01,5.62,-,10.98,11.44,9.89,9.89,3.93,-,4.57
20,Current Ratio,7.08,7.08,7.90,7.94,7.73,9.84,9.51,9.34,6.44,-,12.23,12.59,10.73,10.73,4.87,-,5.89
21,Return on Equity (ROE),-0.75%,2.05%,5.85%,1.18%,2.84%,5.15%,7.74%,-,-,6.53%,6.92%,7.19%,9.77%,23.50%,12.71%,-,
22,Return on Assets (ROA),-2.16%,-0.00%,2.23%,0.64%,0.67%,2.04%,3.88%,-,-,2.90%,3.25%,4.52%,5.94%,-,-,-,
23,Return on Capital (ROIC),-2.35%,-0.00%,2.40%,0.69%,0.72%,2.20%,4.29%,-,-,3.15%,3.55%,4.97%,6.75%,16.15%,6.71%,-,
24,Return on Capital Employed (ROCE),0.32%,-,-,2.37%,3.10%,2.95%,3.00%,3.36%,3.12%,-,6.61%,8.09%,7.96%,8.16%,12.85%,-,4.90%
25,Earnings Yield,0.68%,0.63%,1.07%,1.05%,0.85%,1.01%,1.05%,1.08%,1.06%,1.36%,1.20%,0.92%,0.74%,-,-,-,-
26,FCF Yield,-1.66%,-1.54%,-1.87%,-0.43%,-1.31%,0.11%,0.07%,0.29%,2.05%,0.64%,0.95%,0.98%,0.89%,-,-,-,-
27,Dividend Yield,0.63%,-,-,-,0.41%,-,-,-,0.52%,-,-,-,-,-,-,-,-
28,Payout Ratio,93.51%,-,475.54%,-,-,-,160.24%,-,-,-,207.02%,-,-,-,-,-,-
29,Buyback Yield / Dilution,1.00%,1.93%,2.40%,-1.86%,1.62%,-2.19%,0.21%,-0.56%,-32.49%,-35.14%,-24.30%,-43.34%,1.96%,-,-,-,-
30,Total Shareholder Return,1.63%,1.93%,2.40%,-1.86%,2.03%,-2.19%,0.21%,-0.56%,-31.98%,-35.14%,-24.30%,-43.34%,1.96%,-,-,-,-
