,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Oct '21 Oct 1, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,76.75,80.8,71.2,86.11,59.32,67.42,79.3,77.34,71.89,73.89,60.18,91.25,91.25,103.59,63.35,93.08
1,Other Revenue,-0.38,0.38,-,0.25,-0.11,0.11,-,0.05,-0.03,0.03,-,0.08,0.08,0.19,-,-1.46
2,Revenue,76.37,81.18,71.2,86.35,59.21,67.53,79.3,77.38,71.86,73.92,60.18,91.33,91.33,103.77,63.35,91.62
3,Revenue Growth (YoY),28.99%,20.20%,-10.22%,11.59%,-17.61%,-8.63%,31.78%,-15.27%,-21.32%,-28.77%,-5.01%,-0.31%,-,-,-,-
4,Cost of Revenue,32.86,34.58,24.7,27.76,17.17,23.69,25.92,26.85,22.88,25.17,17.84,28.51,28.51,29.06,21.44,32.4
5,Gross Profit,43.51,46.6,46.5,58.59,42.04,43.84,53.38,50.53,48.98,48.74,42.34,62.82,62.82,74.71,41.91,59.22
6,"Selling, General & Admin",48.87,42.32,38.03,51.19,40.44,34.96,37.71,41.36,46.08,37,31.43,42.81,42.81,50.19,29.57,38.84
7,Research & Development,2.18,1.98,2.26,2.22,2.06,1.99,2.17,1.95,2.08,2.42,2.71,2.76,2.76,2.52,2.83,3.21
8,Other Operating Expenses,0.7,1.07,0.21,0.78,-1.91,0.31,0.2,4.06,0.38,0.04,-2.76,2.13,2.13,0.46,-0.02,1.32
9,Operating Expenses,50.88,46.61,38.82,56.41,39.78,36.98,40.23,49.58,46.42,39.2,31.56,47.88,47.88,52.78,33.22,42.76
10,Operating Income,-7.36,-0.01,7.68,2.18,2.26,6.86,13.15,0.95,2.56,9.54,10.78,14.94,14.94,21.94,8.69,16.46
11,Interest Expense,-0.08,-,-0.14,-0.16,-0.14,-0.06,-0.01,-0,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-
12,Interest & Investment Income,3.13,3.53,3.54,3.43,3.62,3.69,3.85,3.12,4.06,3.81,3.27,1.21,1.21,0.96,0.65,0.66
13,Other Non Operating Income (Expenses),-0.03,-0,-0.01,-0.99,-0.01,-0.08,-0.06,0.01,0.06,-0.01,-0.1,-1.29,-1.29,0.08,2.47,-0.02
14,EBT Excluding Unusual Items,-4.33,3.52,11.07,4.46,5.73,10.42,16.93,4.08,6.67,13.34,13.93,14.84,14.84,22.96,11.8,17.11
15,Gain (Loss) on Sale of Investments,0.38,0.34,0.85,0.43,0.75,0.84,0.76,0.21,0.91,0.95,0.86,0.61,0.61,0.14,0.19,0.07
16,Gain (Loss) on Sale of Assets,-0.03,1.79,-,0.02,-,-,-,-,-,-0.33,-,-,-,-,-0.01,-0.02
17,Asset Writedown,1.77,-1.42,1.39,-3.34,-0.46,0.28,-0.28,-7.83,-0.56,0.24,-0.25,-2.84,-2.84,0.34,-0.35,-0.17
18,Other Unusual Items,0.09,-0.94,0.21,0.75,-,-,-,3.73,-1.22,0.01,-,3.22,3.22,0,-,3.19
19,Pretax Income,-2.13,3.29,13.52,2.31,6.02,11.55,17.41,0.19,5.81,14.21,14.55,15.83,15.83,23.43,11.62,20.18
20,Income Tax Expense,-0.67,-0.74,2.05,0.02,0.53,1.62,2.59,-2.12,0.16,1.85,1.45,2.33,2.33,3.53,1.34,3.3
21,Earnings From Continuing Operations,-1.46,4.02,11.47,2.29,5.49,9.93,14.82,2.31,5.65,12.37,13.1,13.5,13.5,19.9,10.28,16.88
22,Minority Interest in Earnings,0.46,-0.66,0.27,0.72,0.19,0.06,0,0,0,-,-,-,-,-,-,-
