,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,327,409,420,640,573,619,665,645,778,890,1151,Upgrade
1,Market Cap Growth,-15.85%,-36.00%,-26.79%,3.31%,-13.85%,-3.97%,-14.47%,-27.59%,-32.44%,-36.50%,-13.79%,Upgrade
2,Enterprise Value,2298,2329,2416,2639,2121,2186,2306,2395,2572,2777,2664,Upgrade
3,Last Close Price,0.64,0.80,0.82,1.25,1.12,1.21,1.30,1.26,1.52,1.74,2.23,Upgrade
4,PE Ratio,-,-,-,1.49,1.19,5.39,9.75,-43.18,-,-,-,Upgrade
5,PS Ratio,0.48,0.61,0.69,1.28,0.94,0.96,1.29,1.43,2.00,2.13,1.86,Upgrade
6,PB Ratio,0.05,0.05,0.05,0.07,0.07,0.08,0.08,0.08,0.10,0.11,0.14,Upgrade
7,P/TBV Ratio,0.05,0.06,0.06,0.09,0.08,0.09,0.10,0.09,0.11,0.13,0.16,Upgrade
8,P/FCF Ratio,-,2.16,3.12,5.89,2.08,2.11,3.30,2.72,7.35,-,4.23,Upgrade
9,P/OCF Ratio,-,1.77,2.51,5.49,2.01,1.98,3.06,2.61,5.46,9.02,4.07,Upgrade
10,EV/Sales Ratio,3.36,3.45,3.99,5.28,3.46,3.39,4.48,5.33,6.63,6.65,4.32,Upgrade
11,EV/EBITDA Ratio,11.09,8.99,10.41,14.84,6.52,6.42,10.03,9.81,14.36,20.63,10.20,Upgrade
12,EV/EBIT Ratio,27.73,22.91,22.41,33.91,9.57,9.35,18.63,17.38,36.65,-,17.77,Upgrade
13,EV/FCF Ratio,-,12.27,17.96,24.31,7.70,7.44,11.42,10.11,24.30,-,9.79,Upgrade
14,Debt / Equity Ratio,0.12,0.12,0.12,0.12,0.12,0.10,0.09,0.10,0.11,0.16,0.11,Upgrade
15,Debt / FCF Ratio,-,5.43,7.67,9.62,3.86,2.62,3.71,3.44,8.04,-,3.33,Upgrade
16,Return on Capital Employed (ROCE),0.92%,1.07%,1.12%,0.79%,2.27%,2.85%,1.50%,1.60%,0.79%,-,1.64%,Upgrade
17,Earnings Yield,-88.54%,-42.75%,-17.39%,67.27%,84.14%,18.57%,10.26%,-2.32%,-22.07%,-24.32%,1.50%,Upgrade
18,FCF Yield,46.39%,32.06%,16.97%,48.06%,47.49%,30.35%,36.75%,13.61%,7.70%,23.65%,Upgrade,
19,Buyback Yield / Dilution,0.00%,-,-,-,-,-,-,-,-,-,-,Upgrade
20,Total Shareholder Return,0.00%,-,-,-,-,-,-,-,-,-,-,Upgrade
