,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,12200,11948,10018,6681,6492,9553,9817,11887,13672,10866,10329,-,-,-,-,-,-
1,Market Cap Growth,25.07%,25.07%,2.05%,-43.79%,-52.52%,-12.09%,-4.96%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,11258,11006,7924,5283,5130,8191,7745,9772,11341,8535,9749,-,-,-,-,-,-
3,Last Close Price,30.53,29.90,25.07,16.72,16.00,23.51,24.16,29.26,33.16,26.35,25.05,-,-,-,-,-,-
4,PE Ratio,89.79,88.34,105.10,-1222.20,-178.70,-,-,-,181.37,-,30.97,-,-,-,-,-,-
5,PS Ratio,13.33,13.11,11.14,7.82,8.24,13.39,16.57,23.28,24.74,17.06,12.99,-,-,-,-,-,-
6,PB Ratio,4.23,4.03,3.38,2.29,2.17,3.21,3.28,3.92,4.23,3.41,-,-,-,-,-,-,-
7,P/TBV Ratio,4.07,4.07,3.41,2.32,2.19,3.25,3.31,3.96,4.27,3.44,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,34.88,32.58,38.12,-767.80,-,-58.59,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,31.54,28.63,32.34,461.19,-,-87.01,-,-38.80,-,-,-,-,-,-,-
10,EV/Sales Ratio,12.35,12.08,8.81,6.19,6.51,11.48,13.07,19.14,20.52,13.40,12.26,-,-,-,-,-,-
11,EV/EBITDA Ratio,76.46,74.28,222.74,-1828.71,-186.31,-,-88.34,-,-,-,34.56,-,-,-,-,-,-
12,EV/EBIT Ratio,81.89,80.05,318.48,-399.14,-139.65,-,-,-,-,-,35.53,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,27.59,25.76,30.12,-658.34,-,-48.17,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,-,0.01,0.01,0.02,0.02,0.03,-
15,Debt / EBITDA Ratio,0.09,0.07,0.09,0.20,0.07,-,9.24,-,-,-,-,0.05,0.05,0.03,0.03,0.02,-
16,Debt / FCF Ratio,-,-,0.05,0.06,0.08,-1.29,-,-0.09,-,-,-,-,-,0.06,0.08,0.13,-
17,Asset Turnover,-,0.28,0.28,0.26,0.32,0.22,0.19,0.16,-,-,0.53,0.58,0.76,0.93,-,-,
18,Inventory Turnover,-,-,1.40,1.22,1.27,2.04,0.91,0.94,0.74,-,-,1.45,1.41,1.29,1.77,-,-
19,Quick Ratio,-,-,6.97,14.32,9.88,15.28,14.50,14.08,19.23,16.17,-,6.11,8.67,5.76,5.76,3.76,-
20,Current Ratio,-,-,17.86,17.80,18.18,18.96,26.99,18.64,26.01,20.41,-,9.70,12.82,7.65,7.65,4.99,-
21,Return on Equity (ROE),3.22%,9.30%,1.92%,3.86%,-2.15%,-4.31%,-2.13%,5.38%,-,-,5.18%,8.21%,80.33%,100.51%,121.80%,-,
22,Return on Assets (ROA),-,2.92%,0.63%,3.60%,-5.19%,-0.13%,-1.18%,-0.71%,-,-,8.00%,11.81%,25.20%,30.96%,-,-,
23,Return on Capital (ROIC),3.98%,3.09%,0.67%,3.80%,-5.43%,-0.13%,-1.24%,-0.74%,-,-,8.77%,13.12%,28.62%,35.66%,86.89%,-,
24,Return on Capital Employed (ROCE),-,-,0.83%,-0.45%,-1.22%,-,-,-,-,-,-,30.68%,44.37%,44.71%,33.34%,37.09%,-
25,Earnings Yield,1.11%,1.13%,0.95%,-0.08%,-0.56%,-0.23%,-0.17%,0.35%,0.55%,0.55%,3.23%,-,-,-,-,-,-
26,FCF Yield,-,2.87%,3.07%,2.62%,-0.13%,-1.52%,-1.71%,-2.31%,-3.34%,-2.27%,-,-,-,-,-,-,
27,Dividend Yield,0.79%,-,-,-,-,1.06%,-,-,-,1.71%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,6.75%,670.12%,-,-,-,-,-,-,-,-,0.41%,0.12%,0.12%,5.03%,-
29,Buyback Yield / Dilution,9.38%,0.39%,59.74%,-1.34%,-4.84%,-16.73%,-177.52%,-5.41%,-15.67%,-1.31%,-8.74%,-4.03%,-0.35%,-,-,-,-
30,Total Shareholder Return,10.17%,0.39%,59.74%,-1.34%,-4.84%,-15.66%,-177.52%,-5.41%,-15.67%,0.39%,-8.74%,-4.03%,-0.35%,-,-,-,-
