,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,177.81,217.97,991.43,917.26,672.14,439.47,809.54,1062,-,237.47,156.81,318.7,318.7,195.21,-
1,Short-Term Investments,-,-,1180,-,787.94,-,527.13,-,111.69,-,20,-,10.1,10.1,-,-
2,Trading Asset Securities,-,778.18,708.21,421.3,427.01,707.04,1122,1325,1139,-,334.64,545.93,588.07,588.07,230.76,-
3,Cash & Short-Term Investments,955.98,955.98,2107,1413,2132,1379,2089,2134,2313,-,592.11,702.74,916.87,916.87,425.98,268.44
4,Cash Growth,-55.16%,-30.68%,0.84%,-33.81%,-7.82%,-,252.82%,203.70%,152.29%,-,39.00%,161.79%,-,-,-,-
5,Accounts Receivable,-,181.14,186.79,182.99,202.94,167.26,161.29,185.77,165.83,-,221.48,144.67,68.37,68.37,151.9,-
6,Other Receivables,-,2.58,2.75,0.9,3.03,2.78,5.64,7.17,4.7,-,4.04,3.99,3.66,3.66,2.71,-
7,Receivables,-,183.73,189.55,183.89,205.97,170.04,166.93,192.94,170.53,-,225.52,148.66,72.03,72.03,154.61,-
8,Inventory,-,445.59,470.88,477.56,469.22,575.6,615.09,577.26,534.63,-,352.14,322.35,256.14,256.14,116.81,-
9,Prepaid Expenses,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-
