,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,261.92,221.25,222.75,205.43,246.08,177.65,154.54,131.58,126.52,94.03,198.35,215.7,285,285,363.96,168.98
1,Other Revenue,-,-0.5,0.5,-,3.72,-2.09,2.09,-,2.19,-0.33,0.33,-,2.1,2.1,1.9,-
2,Revenue,261.92,220.75,223.26,205.43,249.8,175.56,156.63,131.58,128.71,93.7,198.68,215.7,287.09,287.09,365.86,168.98
3,Revenue Growth (YoY),4.85%,25.74%,42.54%,56.12%,94.08%,87.35%,-21.17%,-39.00%,-55.17%,-67.36%,-45.70%,27.65%,-,-,-,-
4,Cost of Revenue,318.86,160.17,144.36,150.48,266.37,135.05,140.1,102.82,118.12,54.51,121.94,101.79,82.69,82.69,100.44,82.64
5,Gross Profit,-56.95,60.58,78.9,54.95,-16.57,40.5,16.53,28.76,10.59,39.19,76.74,113.91,204.4,204.4,265.43,86.34
6,"Selling, General & Admin",-42.64,15.85,16.54,10.24,25.93,13.17,10.13,10.56,18.07,12.67,9.33,11.7,14.45,14.45,10.17,10.24
7,Research & Development,-98.06,38.5,34.92,24.64,33.34,31.82,26.11,29.2,50.13,25.21,20.58,28.02,33.53,33.53,18.4,15.19
8,Other Operating Expenses,35.96,-30.03,18.9,-24.83,-8.73,-4.88,-2.12,-0.22,13.74,-8.11,-3.18,1.2,4.41,4.41,3.38,-0.83
9,Operating Expenses,-104.41,24.09,70.99,9.33,48.57,42.13,32.12,38.3,80.02,35.37,29.03,43.48,51.97,51.97,32.26,24.9
10,Operating Income,47.46,36.49,7.91,45.62,-65.14,-1.62,-15.59,-9.54,-69.43,3.82,47.71,70.43,152.43,152.43,233.17,61.43
11,Interest Expense,-36.76,-0.36,-0.13,-0.14,-0.14,-0.16,-0.18,-0.19,-0.76,-,-,-0.2,-0.02,-0.02,-0.09,-0.09
12,Interest & Investment Income,0.63,11.14,19.57,6.05,6.37,17.79,17.8,10.1,10.16,4.42,2.2,3.27,40.57,40.57,1.66,0.35
