,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,18489,20000,16978,19422,16978,17533,19311,18422,16444,15556,17289,18333,21400,20933,-,-,-,-,-,-
1,Market Cap Growth,14.07%,14.07%,-12.08%,5.43%,3.24%,12.71%,11.70%,0.48%,-23.16%,-25.69%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7390,8244,4564,7369,4924,5669,7327,7521,5544,4312,6580,8263,11329,13123,-,-,-,-,-,-
3,Last Close Price,8.32,9.00,7.64,8.34,7.29,7.52,8.29,7.64,6.82,6.45,7.17,7.31,8.53,8.34,-,-,-,-,-,-
4,PE Ratio,16.86,-,13.14,13.18,11.25,11.83,13.24,12.84,11.63,10.99,12.25,13.31,16.25,16.35,-,-,-,-,-,-
5,PS Ratio,1.66,1.82,1.49,1.66,1.45,1.47,1.62,1.55,1.40,1.31,1.46,1.53,1.88,1.87,-,-,-,-,-,-
6,PB Ratio,1.43,1.54,1.30,1.44,1.27,1.37,1.52,1.43,1.29,-,1.44,1.51,1.78,1.83,-,-,-,-,-,-
7,P/TBV Ratio,1.63,1.63,1.38,1.53,1.35,1.46,1.63,1.53,1.38,-,1.55,1.62,1.92,2.00,-,-,-,-,-,-
8,P/FCF Ratio,-,-,26.70,16.76,15.33,9.55,9.79,9.61,8.23,8.78,10.75,13.42,13.40,9.72,-,-,-,-,-,-
9,P/OCF Ratio,90.61,-,17.43,13.21,12.21,8.34,8.87,8.71,7.41,7.62,8.90,10.68,10.87,8.18,-,-,-,-,-,-
10,EV/Sales Ratio,0.67,0.75,0.40,0.63,0.42,0.48,0.62,0.63,0.47,0.36,0.56,0.69,0.99,1.17,-,-,-,-,-,-
11,EV/EBITDA Ratio,8.55,-,4.72,7.39,4.91,5.24,6.28,6.47,4.84,3.66,5.47,6.79,9.56,10.79,-,-,-,-,-,-
12,EV/EBIT Ratio,11.95,-,5.89,9.15,6.05,-,7.46,7.62,5.72,4.30,6.39,7.90,11.16,12.54,-,-,-,-,-,-
13,EV/FCF Ratio,-97.12,-,7.18,6.36,4.45,3.09,3.72,3.92,2.77,2.43,4.09,6.05,7.10,6.10,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,-,0.04,0.04,0.03,0.03,0.03,0.03,0.03,-,-,0.02
15,Debt / EBITDA Ratio,0.06,-,0.03,0.08,0.04,0.53,0.03,0.13,0.23,-,0.25,0.84,0.21,0.58,0.14,0.61,0.12,-,-,-
16,Debt / FCF Ratio,-,-,0.09,0.04,0.05,0.03,0.04,0.04,0.21,-,0.30,0.33,0.26,0.13,0.11,0.10,0.11,-,-,4.01
17,Asset Turnover,0.33,0.45,0.48,0.69,0.41,0.51,0.48,-,-,0.52,0.50,0.83,0.46,0.68,0.50,-,-,-,-,
18,Inventory Turnover,1.83,1.53,1.95,2.50,2.88,1.78,2.21,2.32,-,-,2.25,2.37,3.36,1.78,2.50,1.97,-,-,-,-
19,Quick Ratio,1.35,1.35,1.52,1.58,1.57,1.37,1.48,1.48,1.57,-,1.44,1.50,1.52,1.33,1.19,1.12,1.14,-,-,-
20,Current Ratio,1.88,1.88,1.94,1.97,1.99,1.83,1.89,1.89,1.97,-,1.85,1.92,1.97,1.84,1.62,1.56,1.60,-,-,-
21,Return on Equity (ROE),-2.22%,12.00%,3.30%,19.88%,4.27%,18.11%,4.54%,-,-,18.40%,4.07%,21.37%,4.24%,23.53%,2.97%,-,-,-,-,
22,Return on Assets (ROA),-1.93%,4.44%,1.09%,3.26%,-0.17%,4.82%,1.21%,-,-,5.01%,1.07%,4.98%,1.29%,6.55%,0.90%,-,-,-,-,
