,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,5287,6005,8855,9622,10308,10226,10354,10518,-,11480,9864,10074,8458,6488,6933,6990,-,-,-
1,Trading Asset Securities,5900,5850,3650,2650,1850,1750,1750,1750,-,300,1350,850,1950,1650,800,228,-,-,-
2,Cash & Short-Term Investments,11187,11855,12505,12272,12158,11976,12104,12268,-,11780,11214,10924,10408,8138,7733,7218,-,-,5292
3,Cash Growth,-7.98%,-1.01%,3.31%,0.03%,-,1.66%,7.94%,12.30%,-,44.75%,45.03%,51.34%,-,-,46.13%,-,-,-,-
4,Accounts Receivable,938.41,1053,1270,894.64,790.32,1014,1377,1113,-,1031,1262,868.24,724.37,931.64,758.4,731.79,-,-,-
5,Other Receivables,184.29,164.31,161.8,126.42,167.95,131.53,117.92,127.66,-,103.74,138.38,116.72,87.63,83.44,61.79,75.18,-,-,-
6,Receivables,1123,1217,1432,1021,958.26,1145,1495,1241,-,1134,1400,984.95,812,1015,820.19,806.97,-,-,-
7,Inventory,4539,3437,3334,3430,4294,3572,3646,3343,-,3554,3372,3351,4130,3227,3217,3071,-,-,-
8,Prepaid Expenses,-,-,-,13.39,-,-,-,2.24,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,217.49,149.44,119.51,108.29,187.86,107.01,90.81,92.12,-,145.63,153.46,159.15,202.54,141.59,179.3,167.07,-,-,-
10,Total Current Assets,17067,16659,17390,16845,17598,16800,17336,16946,-,16614,16140,15419,15552,12522,11949,11263,-,-,-
11,"Property, Plant & Equipment",3202,3021,3451,3597,3471,3389,3385,3387,-,3398,3408,3394,3301,3236,3173,3155,-,-,-
12,Long-Term Investments,438.6,357.86,361.38,360.21,452.34,469.66,409.96,392.1,-,459.83,464.92,463.97,309.2,312.55,312.56,312.33,-,-,-
13,Other Intangible Assets,685.32,697.07,742.39,751.21,779.39,785.04,793.51,801.96,-,828.79,810.46,852.85,891.8,910.19,888.75,907.71,-,-,-
14,Long-Term Deferred Tax Assets,190.92,197.4,215.38,202.72,12.6,12.48,12.48,12.48,-,14.2,14.2,14.92,15.18,14.2,14.16,14.28,-,-,-
15,Long-Term Deferred Charges,98.09,100.04,101.32,104.86,90.41,96.4,82.79,100.62,-,71.41,75.79,77.57,71.03,75.3,79.55,80.98,-,-,-
16,Other Long-Term Assets,819.71,1015,530.63,402.92,410.46,429.86,449.8,432.63,-,405.18,435.92,377.65,379.19,363.1,385.27,397.29,-,-,-
17,Total Assets,22501,22048,22792,22264,22814,21983,22469,22072,-,21792,21349,20600,20519,17433,16802,16131,-,-,-
18,Accounts Payable,6654,6072,6554,5862,6956,6373,6803,5965,-,6010,6027,5404,5854,5251,5151,4347,-,-,-
19,Accrued Expenses,433.59,604.31,478.7,702.22,386.49,558.92,489.52,662.14,-,497.47,447.83,567.66,347.38,377.91,411.03,589.41,-,-,-
20,Short-Term Debt,-,-,-,-,-,-,8.01,8.01,-,8.01,3.61,8.01,8.01,8.01,8.01,8.01,-,-,-
21,Current Portion of Long-Term Debt,-,-,20.45,3,-,-,30.51,0.41,-,0.56,28.79,0.43,-,-,-,-,-,-,-
22,Current Portion of Leases,12.02,19.03,-,33.15,29.33,31.41,-,32.35,-,26.14,-,26.53,-,-,-,-,-,-,-
23,Current Income Taxes Payable,47.96,121.58,74.14,4.11,33.26,1.91,35.81,12.27,-,4.74,50.18,36.22,44.23,64.73,40.23,21.94,-,-,-
24,Current Unearned Revenue,1187,944.12,969.58,1016,1408,1126,1063,1067,-,1006,988.32,958.77,1182,942.22,985.63,945.62,-,-,-
25,Other Current Liabilities,767.73,811.83,748.78,836.02,786.39,791.42,750.16,835.89,-,1413,869.56,824.57,1030,1062,1049,1150,-,-,-
26,Total Current Liabilities,9102,8572,8846,8456,9599,8883,9179,8583,-,8967,8415,7826,8466,7706,7645,7062,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,-,342.8,-,393.72,362.49,326.5,242.66,242.66,242.66,215.24,-,-,-
28,Long-Term Leases,36.53,35.91,27.78,22.63,34.34,37.88,38.45,37.57,-,58.88,60.81,49.6,39.88,31.46,-,-,-,-,-
29,Long-Term Unearned Revenue,141.36,138.88,140.6,128.34,132.14,145.14,134.64,135.81,-,123.95,110.98,115.69,123.97,121.2,113.78,116.71,-,-,-
30,Long-Term Deferred Tax Liabilities,27.08,31.9,37.34,36.13,1.93,2.05,1.81,2.29,-,2.65,2.65,3.79,2.27,2.5,2.41,2.5,-,-,-
31,Other Long-Term Liabilities,221.28,217.16,221.26,217.06,221.25,221.24,221.8,221.07,-,206.01,217.5,222.01,217.03,217.07,205.39,205.39,-,-,-
32,Total Liabilities,9528,8996,9273,8860,9989,9289,9576,9322,-,9752,9170,8544,9092,8321,8209,7601,-,-,-
33,Common Stock,2222,2222,2222,2222,2222,2222,2222,2222,-,2222,2222,2222,2222,2000,2000,2000,-,-,-
34,Additional Paid-In Capital,4892,4892,4892,4892,4987,4989,4989,4989,-,5009,4993,4993,4993,3008,3008,3008,-,-,-
35,Retained Earnings,5797,5870,6341,6230,5581,5445,5645,5499,-,4765,4921,4797,4173,4064,3544,3480,-,-,-
36,Comprehensive Income & Other,22.65,22.82,21.49,16.28,-6.28,-5.84,-5.93,-5.1,-,-5.33,-6.43,-6.51,-7.12,-7.25,-6.85,-6.2,-,-,-
37,Total Common Equity,12934,13007,13476,13361,12784,12651,12850,12705,-,11990,12130,12005,11381,9065,8546,8482,-,-,7636
38,Minority Interest,39.32,44.45,43.32,43.01,40.84,42.98,42.76,44.58,-,49.8,49.72,50.91,46.33,46.29,47.11,48.18,-,-,-
39,Shareholders' Equity,12973,13051,13520,13404,12825,12694,12893,12750,-,12040,12180,12056,11427,9112,8593,8530,-,-,7683
40,Total Liabilities & Equity,22501,22048,22792,22264,22814,21983,22469,22072,-,21792,21349,20600,20519,17433,16802,16131,-,-,-
41,Total Debt,48.55,54.94,48.23,58.78,63.67,69.29,76.97,421.14,-,487.31,455.7,411.08,290.56,282.14,250.68,223.25,-,-,121.98
42,Net Cash (Debt),11139,11800,12457,12213,12094,11907,12027,11847,-,11293,10759,10513,10117,7856,7482,6995,-,-,5170
43,Net Cash Growth,-7.90%,-0.90%,3.57%,3.09%,-,5.44%,11.79%,12.69%,-,43.75%,43.80%,50.29%,-,-,44.73%,-,-,-,-
44,Net Cash Per Share,5.41,5.31,5.61,5.37,5.58,5.36,5.41,5.17,-,5.09,4.84,4.76,4.85,3.86,3.74,3.39,-,-,2.83
45,Filing Date Shares Outstanding,2222,2222,2222,2222,2222,2222,2222,2222,2152,2222,2222,2222,2222,2000,2000,2000,1910,2259,1828
46,Total Common Shares Outstanding,2222,2222,2222,2222,2222,2222,2222,2222,2152,2222,2222,2222,2222,2000,2000,2000,1910,2259,1828
47,Working Capital,7965,8086,8544,8389,7999,7917,8157,8363,-,7648,7725,7593,7086,4815,4304,4202,-,-,-
48,Book Value Per Share,5.82,5.85,6.06,6.01,5.75,5.69,5.78,5.72,-,5.40,5.46,5.40,5.12,4.53,4.27,4.24,-,-,3.82
