,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1998,2392,2703,3574,2404,2692,2686,3854,2360,2663,2617,3990,2306,2787,2058,3839,1910,2790,1058
1,Other Revenue,-137.26,137.26,-,318.17,-133.11,133.11,-,290.49,-116.22,116.22,-,254.6,-118.57,118.57,-,211.28,-,-,-
2,Revenue,1861,2529,2703,3892,2271,2825,2686,4145,2244,2779,2617,4245,2187,2905,2058,4050,1910,2790,1058
3,Revenue Growth (YoY),-18.05%,-10.46%,0.63%,-6.10%,1.22%,1.64%,2.67%,-2.36%,2.58%,-4.33%,27.18%,4.81%,14.53%,4.12%,94.53%,-,-,-,-
4,Cost of Revenue,1521,1654,2111,2784,1749,1991,2023,2957,1732,1949,1991,3144,1634,2017,1549,2912,1458,1941,783.65
5,Gross Profit,339.98,874.96,592.83,1108,522.12,833.54,663.01,1188,511.77,830.2,625.52,1101,553.34,888.65,508.3,1138,451.91,849.31,274.05
6,"Selling, General & Admin",522.58,454.51,501.45,737.03,549.23,404.51,531.85,720.56,446.7,399.64,515.36,680.35,462.24,429.99,434.16,671.59,378.91,393.78,344.87
7,Research & Development,6.57,5.47,5.15,-2.66,3.72,3.73,3.67,-2.05,1.98,4.85,3.78,6.64,1.25,2.33,0.19,7.83,0.32,4.81,1.24
8,Other Operating Expenses,-14.91,23.3,-22.62,71.58,-7.05,-4.99,14.25,33.94,-2.88,-5.98,5.11,-1.58,5.02,2.03,7.54,30.48,-15.34,-3.26,5.5
9,Operating Expenses,511.95,476.68,494.62,814.09,537.18,405.2,555.54,811.96,441.21,397.6,535.54,691.6,455.24,440.5,449.01,697.62,350.54,421.85,349.68
10,Operating Income,-171.97,398.27,98.21,293.72,-15.06,428.33,107.46,375.93,70.56,432.6,89.98,409.36,98.1,448.15,59.28,440.65,101.37,427.46,-75.63
11,Interest Expense,-0.34,-0.68,-0.93,-2.23,-0.88,-0.25,-2.53,-5.75,-1.05,-0.98,-1.01,-2.52,-89.62,-0.1,-0.09,-0.37,-,-,-1.2
12,Interest & Investment Income,119.62,79.79,93.45,58.85,169.34,93.43,86.52,150.56,70.91,89.55,69.44,115.21,0.19,50.35,45.47,62.08,52.43,33.48,24.03
13,Currency Exchange Gain (Loss),-0.04,0.04,-,0,0.04,-0.04,-,0.6,0.01,-0.01,-,0.48,0.28,-0.28,-,-0.88,-,-,-
14,Other Non Operating Income (Expenses),-2.9,0.23,-2.24,-0.08,-4.08,-4.19,1,-8.62,-3.93,0.66,2.76,3.57,116.47,-8.52,2.66,4.85,-8.23,-6.68,2.98
15,EBT Excluding Unusual Items,-55.64,477.66,188.49,350.27,149.35,517.3,192.46,512.72,136.51,521.83,161.17,526.09,125.43,489.6,107.33,506.33,145.56,454.26,-49.82
16,Impairment of Goodwill,-,-,-,-,-,-,-,-1.53,-,-,-,-,-,-,-,-,-,-,-
