,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,298,434,121,309,191,530,589,743,647,250,1471,Upgrade
1,Market Cap Growth,40.41%,40.41%,-36.54%,-41.67%,-67.50%,-28.71%,-9.09%,197.05%,-56.00%,-87.12%,-54.88%,Upgrade
2,Enterprise Value,1145,1294,881,1351,1299,1527,1578,1941,1775,1556,2628,Upgrade
3,Last Close Price,0.35,0.51,0.17,0.42,0.26,0.72,0.80,1.01,0.88,0.34,2.00,Upgrade
4,PE Ratio,-,-11.18,-,4.17,-,-256.01,-,-,-,-3.35,-,Upgrade
5,PS Ratio,0.29,0.47,0.14,0.88,0.16,0.50,3.80,4.37,2.86,1.11,7.96,Upgrade
6,PB Ratio,0.23,0.34,0.10,0.25,0.15,0.44,0.40,0.52,0.44,0.18,1.21,Upgrade
7,P/TBV Ratio,0.34,0.34,0.10,0.25,0.15,0.44,0.40,0.52,0.44,0.18,1.21,Upgrade
8,P/FCF Ratio,-,-,-,0.72,10.15,-,1.86,1.99,2.75,2.07,-,Upgrade
9,P/OCF Ratio,-,-,-,0.72,10.14,-,1.86,1.99,2.75,2.07,-,Upgrade
10,EV/Sales Ratio,1.25,1.41,1.02,3.86,1.07,1.44,10.18,11.43,7.85,6.93,14.21,Upgrade
11,EV/EBITDA Ratio,28.60,35.28,-,5.96,5.65,10.15,37.29,14.31,8.70,-28.20,-,Upgrade
12,EV/EBIT Ratio,32.08,36.25,-,6.04,5.72,10.42,41.41,14.79,8.88,-25.90,-,Upgrade
13,EV/FCF Ratio,-5.35,-,-,3.14,68.90,-,5.00,5.21,7.53,12.86,-,Upgrade
14,Debt / Equity Ratio,0.76,0.76,0.82,0.80,1.01,1.02,0.80,0.80,1.04,1.00,1.09,Upgrade
15,Debt / FCF Ratio,-,-,-,2.28,67.01,-,3.74,3.06,6.52,11.57,-,Upgrade
16,Return on Capital Employed (ROCE),2.76%,2.76%,-,18.23%,18.05%,12.24%,2.58%,5.73%,7.48%,-2.40%,-,Upgrade
17,Earnings Yield,-13.03%,-8.94%,32.94%,24.00%,2.44%,-0.39%,-17.22%,-12.34%,6.63%,-29.85%,-23.68%,Upgrade
18,FCF Yield,-71.92%,-49.35%,185.96%,139.15%,9.85%,-5.49%,53.67%,50.16%,36.42%,48.37%,-11.04%,Upgrade
19,Buyback Yield / Dilution,-2.66%,-5.36%,-,-,-0.54%,0.55%,0.00%,0.00%,-0.42%,-0.16%,-3.20%,Upgrade
20,Total Shareholder Return,-2.66%,-5.36%,-,-,-0.54%,0.55%,0.00%,0.00%,-0.42%,-0.16%,-3.20%,Upgrade
