,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1739,2263,1239,1525,1739,2876,2828,2127,1329,1233,2079,Upgrade
1,Market Cap Growth,48.44%,48.44%,-28.77%,-46.99%,-38.50%,35.23%,112.73%,72.55%,-36.05%,-56.41%,-18.10%,Upgrade
2,Enterprise Value,564,487,-808,-819,-645,-55,2748,2265,901,805,4365,Upgrade
3,Last Close Price,0.73,0.91,0.48,0.43,0.49,0.64,0.53,0.38,0.24,0.16,0.28,Upgrade
4,PE Ratio,8.29,10.79,8.16,10.74,4.81,2.21,1.94,3.96,37.47,-,-,Upgrade
5,Forward PE,-,4.47,4.47,4.47,4.47,4.62,-,-,-,-,-,Upgrade
6,PS Ratio,0.51,0.66,0.41,0.39,0.29,0.31,0.31,0.43,0.63,0.70,0.37,Upgrade
7,PB Ratio,0.40,0.47,0.26,0.29,0.34,0.56,0.49,0.45,0.32,0.31,0.47,Upgrade
8,P/TBV Ratio,0.52,0.52,0.29,0.33,0.37,0.62,0.54,0.48,0.34,0.33,0.51,Upgrade
9,P/FCF Ratio,-,-,-6.26,-,3.95,-,1.86,-,-,-,-,Upgrade
10,P/OCF Ratio,-,-,-7.62,-,3.46,-,1.71,-,-,-4.67,-,Upgrade
11,PEG Ratio,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,Upgrade
12,EV/Sales Ratio,0.17,0.14,-,-,-,-,0.31,0.46,0.42,0.46,0.79,Upgrade
13,EV/EBITDA Ratio,2.19,2.26,-,-,-,-,1.41,3.03,-72.85,-,-,Upgrade
14,EV/EBIT Ratio,3.60,3.32,-,-,-,-,1.46,3.33,-,-,-,Upgrade
15,EV/FCF Ratio,-1.18,-,-,-,-,-,1.81,-,-,-,-,Upgrade
16,Debt / Equity Ratio,0.09,0.09,0.02,0.01,0.01,0.01,0.01,0.10,0.06,0.04,0.05,Upgrade
17,Debt / FCF Ratio,-,-,-0.43,-,0.11,-,0.03,-,-,-,-,Upgrade
18,Return on Capital Employed (ROCE),2.94%,2.98%,2.08%,4.85%,13.96%,32.34%,32.13%,14.03%,-,-,-,Upgrade
19,Earnings Yield,12.06%,9.27%,12.26%,9.31%,20.78%,45.16%,51.51%,25.27%,2.67%,-41.02%,-41.31%,Upgrade
20,FCF Yield,-27.42%,-21.07%,-15.97%,8.95%,25.32%,53.52%,53.69%,-13.38%,-17.22%,-29.26%,-23.42%,Upgrade
21,Dividend Yield,6.85%,7.71%,10.50%,7.13%,12.35%,23.36%,33.95%,18.61%,-,-,-,Upgrade
22,Buyback Yield / Dilution,0.49%,-,0.98%,1.44%,0.46%,-,-,-,-,-,-,Upgrade
23,Total Shareholder Return,7.34%,7.71%,11.48%,8.56%,12.81%,23.36%,33.95%,18.61%,-,-,-,Upgrade
