,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,137,129,159,101,108,153,115,112,178,370,507
1,Market Cap Growth,19.25%,27.40%,46.53%,-33.66%,-5.70%,36.52%,-35.52%,-69.74%,-64.81%,-20.00%,10.83%
2,Enterprise Value,168,150,203,144,181,226,185,174,212,381,510
3,Last Close Price,0.13,0.12,0.14,0.12,0.13,0.31,0.17,0.17,0.26,0.55,0.75
4,PE Ratio,-,-2.24,-,-,-8.81,-,-,-,-,-,-
5,PS Ratio,6.74,6.68,12.62,2.82,1.66,1.04,0.54,1.13,-,4.21,-
6,PB Ratio,-21.17,-21.17,-15.17,3.27,1.46,3.80,1.87,0.68,0.89,1.10,1.12
7,P/TBV Ratio,-,-,-,3.09,1.46,3.80,1.87,0.68,0.89,1.11,1.12
8,P/FCF Ratio,-,-17.75,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-17.80,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.69,7.72,16.13,3.98,2.78,1.54,0.87,1.76,-,4.33,-
11,EV/EBITDA Ratio,-,-3.44,-,-41.76,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-3.26,-,-20.60,-,-,-,-,-,-,-
13,EV/FCF Ratio,-23.11,-20.54,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-5.12,-5.12,-2.32,1.53,0.53,1.85,1.25,0.43,0.34,0.20,0.15
15,Debt / FCF Ratio,-,-4.30,-,-,-,-,-,-,-,-,-
16,Return on Capital Employed (ROCE),-,-,-,-17.79%,-,-,-,-,-,-,-
17,Earnings Yield,-42.06%,-44.55%,-36.14%,4.94%,-11.35%,-78.27%,-127.20%,-35.09%,-,-28.56%,-
18,FCF Yield,-5.32%,-5.63%,-10.40%,-16.24%,-10.80%,-5.27%,-7.34%,-2.95%,-,-6.14%,-
19,Buyback Yield / Dilution,-46.28%,-29.56%,-32.40%,-24.76%,-20.73%,-,-,-39.13%,-,-7.97%,-
20,Total Shareholder Return,-46.28%,-29.56%,-32.40%,-24.76%,-20.73%,-,-,-39.13%,-,-7.97%,-
