,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Revenue,139.11,178.74,142.94,152.45,264.63,397.87,317.23,279.54,157.57,283.48,Upgrade
1,Revenue Growth (YoY),-2.68%,17.24%,-45.98%,-61.68%,-16.58%,42.33%,101.33%,-1.39%,-40.69%,-,Upgrade
2,Cost of Revenue,109.75,132.65,123.14,122.52,221.29,333.96,259.37,250.69,125.35,255.96,Upgrade
3,Gross Profit,29.37,46.09,19.8,29.93,43.34,63.9,57.86,28.86,32.21,27.52,Upgrade
4,"Selling, General & Admin",43.15,66.24,54.23,41.52,39.41,44.31,40.21,44.62,37.59,50.23,Upgrade
5,Research & Development,16.43,18.78,19.89,21.6,23.5,27.61,25.2,27.18,22.94,29.16,Upgrade
6,Other Operating Expenses,4.17,3.1,2.09,7.11,-1.65,4.45,-3.62,8.32,-4.9,4.83,Upgrade
7,Operating Expenses,63.75,88.12,76.21,70.23,61.26,76.13,62.02,80.11,55.63,84.22,Upgrade
8,Operating Income,-34.38,-42.03,-56.41,-40.3,-17.92,-12.23,-4.16,-51.26,-23.41,-56.7,Upgrade
9,Interest Expense,-1.82,-1.73,-0.84,-0.59,-0.99,-1.44,-0.93,-0.97,-1.2,-1.33,Upgrade
10,Interest & Investment Income,0.25,0.11,0.09,0.09,0.03,-,0.65,0.32,0.4,0.29,Upgrade
11,Earnings From Equity Investments,-0.35,0.4,-0.1,0.04,0.07,-0.16,-,-,-,-,Upgrade
12,Currency Exchange Gain (Loss),3.61,-3.53,7.38,6.76,6.57,2.74,-3.49,-11.27,0.57,4.31,Upgrade
13,Other Non Operating Income (Expenses),-,3.26,-,4.31,-,14.99,-,16.54,-,3.45,Upgrade
14,EBT Excluding Unusual Items,-32.68,-43.52,-49.87,-29.69,-12.23,3.9,-7.93,-46.65,-23.64,-49.98,Upgrade
15,Impairment of Goodwill,-,-,-,-1.15,-,-,-,-,-,-,Upgrade
16,Gain (Loss) on Sale of Investments,0.04,0.03,0.08,0.12,0.08,-,-,0.14,-,-,Upgrade
17,Gain (Loss) on Sale of Assets,0.39,0.15,0.23,-0.01,10.59,-0.19,-0.06,-2.1,1.18,-,Upgrade
18,Asset Writedown,-7.34,-36.43,-,-,-,-,-,-,-,-,Upgrade
19,Pretax Income,-39.6,-79.77,-49.57,-30.73,-1.57,3.71,-7.99,-48.6,-22.46,-49.98,Upgrade
20,Income Tax Expense,0,-,-,0.05,0.02,-0.87,-,-,-,-0.04,Upgrade
21,Earnings From Continuing Operations,-39.6,-79.77,-49.57,-30.78,-1.59,4.58,-7.99,-48.6,-22.46,-49.94,Upgrade
22,Minority Interest in Earnings,14.97,37.3,10.54,4.04,3.2,-0.26,-0.18,5.12,1.92,1.98,Upgrade
23,Net Income,-24.64,-42.47,-39.03,-26.75,1.61,4.32,-8.18,-43.48,-20.54,-47.96,Upgrade
24,Net Income to Common,-24.64,-42.47,-39.03,-26.75,1.61,4.32,-8.18,-43.48,-20.54,-47.96,Upgrade
25,Shares Outstanding (Basic),1009,1009,984,953,953,953,953,953,953,952,Upgrade
26,Shares Outstanding (Diluted),1009,1009,984,953,953,953,953,953,953,952,Upgrade
27,Shares Change (YoY),2.50%,5.84%,3.28%,0.05%,-,-,-,0.06%,2.92%,-,Upgrade
28,EPS (Basic),-0.02,-0.04,-0.04,-0.03,0.00,0.00,-0.01,-0.05,-0.02,-0.05,Upgrade
29,EPS (Diluted),-0.02,-0.04,-0.04,-0.03,0.00,0.00,-0.01,-0.05,-0.02,-0.05,Upgrade
30,Free Cash Flow,5.03,-21.05,-76.97,18.07,3.61,16.36,-30.9,-44.1,29.04,20.07,Upgrade
31,Free Cash Flow Per Share,0.00,-0.02,-0.08,0.02,0.00,0.02,-0.03,-0.05,0.03,0.02,Upgrade
32,Operating Margin,-24.71%,-23.52%,-39.47%,-26.43%,-6.77%,-3.07%,-1.31%,-18.34%,-14.86%,-20.00%,Upgrade
33,Profit Margin,-17.71%,-23.76%,-27.31%,-17.54%,0.61%,1.09%,-2.58%,-15.55%,-13.04%,-16.92%,Upgrade
34,Free Cash Flow Margin,3.61%,-11.77%,-53.85%,11.86%,1.36%,4.11%,-9.74%,-15.78%,18.43%,7.08%,Upgrade
35,EBITDA,-29.21,-39.05,-46.09,-30.92,-9.82,-2.79,4.88,-43.52,-10.76,-45.53,Upgrade
36,D&A For EBITDA,5.18,2.98,10.32,9.38,8.1,9.44,9.04,7.74,12.65,11.17,Upgrade
37,EBIT,-34.38,-42.03,-56.41,-40.3,-17.92,-12.23,-4.16,-51.26,-23.41,-56.7,Upgrade
