,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,123.83,188.42,440.92,532.4,472.43,651.43,147.99,245.76,224.75,126.27,105.03,207.26,35.87,79.23,-,160.72,-
1,Trading Asset Securities,200.05,170.58,-,-,-,-,-,-,-,-,50.12,125.22,-,-,-,-,-
2,Cash & Short-Term Investments,323.88,359,440.92,532.4,472.43,651.43,147.99,245.76,224.75,126.27,155.16,332.48,35.87,79.23,160.72,160.72,190.31
3,Cash Growth,-31.44%,-44.89%,197.95%,116.63%,110.20%,415.90%,-4.62%,-26.08%,526.67%,59.36%,-3.46%,106.87%,-81.15%,-,-,-,-
4,Accounts Receivable,2472,2519,2435,2385,2238,2216,2096,2086,1929,2064,1959,1938,1738,1670,-,1514,-
5,Other Receivables,92.83,90.11,56.13,54.03,51.47,12.01,15.96,39.46,48.71,27.39,39.86,27.77,51.05,33.77,-,33.08,-
6,Receivables,2565,2609,2491,2439,2290,2228,2112,2125,1978,2092,1999,1966,1789,1704,-,1547,-
7,Inventory,123.18,107.19,120.26,119.35,134.32,131.36,81.53,63.27,80.69,75.62,73.08,68.09,101.74,68.22,-,54.89,-
8,Other Current Assets,15.81,14.84,14.19,9.69,9.79,16.64,32.74,17.85,19.75,41.92,16.83,20.6,12.26,32.79,-,28.58,-
9,Total Current Assets,3028,3090,3066,3101,2906,3028,2375,2452,2303,2335,2244,2387,1939,1884,-,1792,-
10,"Property, Plant & Equipment",40.48,41.29,40.41,38.87,26.63,28.54,29.38,28.43,24.95,24.06,17.42,17.76,18.27,18.09,-,14.36,-
11,Long-Term Investments,41.82,31.1,30.78,29.77,23.93,23.9,22.91,20.62,20.47,20.36,19.61,-,-,-,-,-,-
