,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,148.9,266.73,139.52,403.58,162.14,270.69,161.96,399.59,141.64,285.67,148.39,270.95,227.26,289.42,169.71,308.04,113.72
1,Other Revenue,-0.32,0.32,-,0.63,-0.34,0.34,-,0.75,-0.36,0.36,-,1.08,-0.47,0.47,-,0.82,-
2,Revenue,148.59,267.05,139.52,404.21,161.8,271.03,161.96,400.34,141.27,286.03,148.39,272.03,226.79,289.89,169.71,308.87,113.72
3,Revenue Growth (YoY),-8.17%,-1.47%,-13.86%,0.97%,14.53%,-5.25%,9.15%,47.17%,-37.71%,-1.33%,-12.56%,-11.93%,99.43%,-,-,-,-
4,Cost of Revenue,107.02,185.18,99.89,275.5,114.49,191.38,112.17,277.13,96.21,180.37,108,202.03,153.03,205.23,121.52,222.16,85.01
5,Gross Profit,41.57,81.87,39.63,128.7,47.31,79.65,49.79,123.22,45.06,105.66,40.39,70,73.77,84.66,48.18,86.7,28.72
6,"Selling, General & Admin",18.96,20.05,18.04,30.2,20.11,20.41,18.55,28.66,22.98,21.84,18.12,21.68,21.67,26.65,16.1,27.74,-
7,Research & Development,7.08,7.31,5.14,9.91,3.27,11.7,6.76,6.06,8.36,15.5,4.92,5.82,1.63,0.33,0.92,-0.58,-
8,Other Operating Expenses,1.26,1.89,0.6,2.74,0.28,1.47,-0.49,2.89,0.81,2.29,0.13,1.75,0.35,2.44,0.53,2.7,-
9,Operating Expenses,46.25,47.16,11.92,111.7,38.94,32.73,15.74,91.5,45.87,66.82,6.66,53.73,48.63,53.04,-7.87,64.04,-
