,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1516,1401,1183,1388,1871,1883,1909,1793,1662,1902,2561,2520,2988,-,-,-,-,-
1,Market Cap Growth,-25.60%,-25.60%,-38.03%,-22.61%,12.55%,-0.97%,-25.46%,-28.83%,-44.38%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2091,1960,1676,1756,2239,2106,2091,1887,1756,2065,2688,2724,3193,-,-,-,-,-
3,Last Close Price,8.40,9.01,7.47,8.64,11.65,11.73,11.89,11.11,10.29,11.78,15.79,15.54,18.43,-,-,-,-,-
4,PE Ratio,-,-,2250.89,98.77,-,-,26.48,23.75,22.10,29.62,34.23,37.71,35.21,-,-,-,-,-
5,PS Ratio,1.27,1.46,1.22,1.42,1.87,1.89,1.96,1.81,1.70,2.24,2.74,2.69,3.12,-,-,-,-,-
6,PB Ratio,1.15,1.18,1.02,1.18,1.59,1.53,1.55,1.57,1.49,1.74,2.35,2.35,2.86,-,-,-,-,-
7,P/TBV Ratio,1.21,1.21,1.05,1.22,1.64,1.57,1.58,1.60,1.51,1.76,2.38,2.38,2.88,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-6.44,-,-,-,-20.73,-15.36,-,-,-20.42,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-7.00,-,-,-,-25.68,-16.83,-,-,-20.97,-,-,-,-,-
10,EV/Sales Ratio,2.18,2.04,1.72,1.80,2.24,2.12,2.15,1.91,1.80,2.44,2.88,2.91,3.33,-,-,-,-,-
11,EV/EBITDA Ratio,26.41,-,18.49,16.94,20.36,16.89,18.10,17.59,16.43,22.57,22.89,24.69,23.50,-,-,-,-,-
12,EV/EBIT Ratio,28.67,-,19.09,17.56,21.05,17.40,18.69,18.18,16.97,-,23.59,25.51,24.73,-,-,-,-,-
13,EV/FCF Ratio,-12.91,-,-,-,-7.70,-,-,-,-21.89,-16.68,-,-,-21.81,-,-,-,-,-
14,Debt / Equity Ratio,0.74,0.74,0.78,0.77,0.70,0.66,0.69,0.27,0.23,0.28,0.25,0.25,0.22,0.31,0.30,0.26,0.26,0.26
15,Debt / EBITDA Ratio,11.16,-,6.24,7.97,10.02,22.10,4.35,2.24,1.87,836.19,1.71,1.97,3.05,2.24,1.62,0.73,1.85,1.22
16,Debt / FCF Ratio,-,-,-,-,-2.84,-,-,-,-3.23,-2.47,-,-,-1.57,-,-,-,-4.96,-
17,Asset Turnover,0.18,0.32,0.17,0.50,0.20,0.37,0.25,0.62,0.23,0.47,0.24,0.47,0.44,-,-,-,-,
18,Inventory Turnover,5.19,3.72,6.51,3.34,8.69,3.45,7.19,6.20,15.40,4.92,9.70,6.12,9.52,7.20,-,-,-,-
19,Quick Ratio,1.74,1.74,1.74,1.79,1.78,1.85,1.78,1.60,1.56,1.60,1.57,1.63,1.55,1.39,1.41,-,1.41,-
20,Current Ratio,1.83,1.83,1.82,1.88,1.86,1.95,1.87,1.68,1.61,1.67,1.65,1.70,1.61,1.48,1.49,-,1.48,-
21,Return on Equity (ROE),-2.46%,5.12%,5.08%,-7.76%,-0.07%,9.01%,8.75%,8.07%,2.68%,10.46%,8.04%,3.93%,9.91%,10.73%,23.26%,-,-,
22,Return on Assets (ROA),-0.35%,2.60%,2.08%,1.30%,0.65%,4.00%,3.27%,3.09%,-0.08%,3.95%,3.41%,1.77%,3.08%,-,-,-,-,
23,Return on Capital (ROIC),-0.57%,4.18%,3.39%,2.10%,1.01%,6.63%,6.01%,5.71%,-0.15%,7.17%,6.44%,3.60%,6.51%,8.80%,16.51%,-,-,
24,Return on Capital Employed (ROCE),4.40%,-,5.28%,5.95%,6.34%,7.19%,6.68%,9.03%,9.20%,-,10.39%,9.87%,12.22%,17.73%,18.65%,-,7.35%,-
25,Earnings Yield,-0.33%,-0.36%,0.04%,1.01%,1.13%,3.30%,3.78%,4.21%,4.52%,3.38%,2.92%,2.65%,2.84%,-,-,-,-,-
26,FCF Yield,-10.69%,-11.56%,-22.62%,-20.72%,-15.53%,-16.64%,-4.78%,-1.51%,-4.82%,-6.51%,-10.39%,-9.76%,-4.90%,-,-,-,-,-
27,Dividend Yield,1.18%,-,-,-,0.86%,-,-,-,0.65%,-,-,-,0.36%,-,-,-,-,-
28,Payout Ratio,0.00%,-,52.40%,20.07%,-,-,59.26%,12.03%,16.56%,197.81%,16.10%,15.28%,24.84%,21.09%,13.79%,7.17%,16.75%,-
29,Buyback Yield / Dilution,18.56%,28.85%,7.64%,-4.57%,36.28%,-46.57%,-1.51%,3.50%,-21.18%,-36.55%,-30.19%,-36.12%,-13.39%,-,-,-,-,-
30,Total Shareholder Return,19.73%,28.85%,7.64%,-4.57%,37.14%,-46.57%,-1.51%,3.50%,-20.53%,-36.55%,-30.19%,-36.12%,-13.02%,-,-,-,-,-
