,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,12452,9384,7440,9812,11796,13232,15372,21269,25193,17436,29681,32985,50913,-,-,-,-,-,-,-
1,Market Cap Growth,-29.08%,-29.08%,-51.60%,-53.86%,-53.18%,-24.11%,-48.21%,-35.52%,-50.52%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7752,4513,2692,5497,7481,8557,10663,15753,19677,11808,23333,31583,49536,-,-,-,-,-,-,-
3,Last Close Price,31.13,23.46,18.60,23.92,28.76,32.26,37.48,50.59,59.92,41.47,70.59,76.18,117.58,-,-,-,-,-,-,-
4,PE Ratio,830.14,-,153.85,-3902.32,-,428.69,-,46.81,-,16.09,25.78,24.33,39.11,-,-,-,-,-,-,-
5,Forward PE,-,56.30,28.62,27.54,42.51,17.27,16.52,15.71,18.02,11.01,18.56,18.09,29.79,-,-,-,-,-,-,-
6,PS Ratio,8.35,6.05,4.33,5.16,5.41,5.56,5.42,6.72,6.84,4.10,6.76,6.93,11.01,-,-,-,-,-,-,-
7,PB Ratio,1.98,1.49,1.18,1.51,1.82,2.04,2.38,3.08,3.70,2.55,4.46,4.55,7.41,-,-,-,-,-,-,-
8,P/TBV Ratio,1.49,1.49,1.18,1.51,1.82,2.04,2.38,3.08,3.71,2.55,4.47,4.56,7.42,-,-,-,-,-,-,-
9,P/FCF Ratio,52.62,39.65,52.18,-453.67,-293.22,-,-,66.33,38.02,18.14,30.63,24.00,35.35,-,-,-,-,-,-,-
10,P/OCF Ratio,34.35,34.35,40.53,369.03,319.12,-,-,44.10,30.80,15.62,27.04,22.15,32.97,-,-,-,-,-,-,-
11,EV/Sales Ratio,5.00,2.91,1.57,2.89,3.43,3.59,3.76,4.98,5.34,2.78,5.32,6.64,10.72,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,31.45,-,-,-,-,-,-,36.76,-,10.04,17.76,19.64,31.01,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,37.27,-,10.08,17.82,19.68,31.07,-,-,-,-,-,-,-
14,EV/FCF Ratio,32.76,19.07,18.88,-254.16,-185.96,-,-,49.13,29.70,12.29,24.08,22.98,34.39,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.06,0.07,0.10,0.11,0.12,0.15,0.16,0.13,0.14,0.06,0.06,-,0.16,-,-,-,-,-
16,Debt / EBITDA Ratio,1.74,-,0.90,-,0.52,-,1.19,3.78,0.81,1.21,0.62,0.24,0.17,-,0.12,-,-,-,-,-
