,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,335.44,349.76,426.41,431.72,502.24,534.79,705.01,607.15,984.93,856.96,1201,1183,1092,1234,1084,948.96,672.76,413.2,413.2
1,Other Revenue,-2.33,2.33,-,6.52,-2.01,2.01,-,31.39,-27.24,7.17,20.06,28.07,-1.46,1.46,-,16.38,-9.24,4.62,4.62
2,Revenue,333.1,352.1,426.41,438.24,500.23,536.8,705.01,638.54,957.7,864.13,1221,1212,1091,1236,1084,965.34,663.52,417.82,417.82
3,Revenue Growth (YoY),-33.41%,-34.41%,-39.52%,-31.37%,-47.77%,-37.88%,-42.27%,-47.29%,-12.20%,-30.08%,12.61%,25.50%,64.40%,195.80%,159.56%,-,-,-,-
4,Cost of Revenue,117.83,119.21,145.73,151.87,156.64,171.47,212.45,226.07,274.94,262.78,352.71,353.63,333.38,377.34,320.94,308.79,197.69,128.12,128.12
5,Gross Profit,215.28,232.88,280.68,286.37,343.58,365.33,492.56,412.47,682.76,601.35,868.49,857.88,757.45,858.55,763.55,656.55,465.83,289.7,289.7
6,"Selling, General & Admin",227.71,233.14,269.6,276.87,323.09,368.11,388.17,352.3,474.76,348.27,376.67,363.32,415.92,264.25,292.36,350.59,141.58,172.12,172.12
7,Research & Development,4.54,4.95,4.4,1.7,5.62,8.95,5.44,6.11,2.65,5.14,4.04,6.91,3.68,2.83,3.4,16.8,-4.93,2.46,2.46
8,Other Operating Expenses,5.41,24.66,19.19,48.07,8.11,36.31,33.36,85.38,22.05,46.17,65.83,121.9,18.1,96.47,51.71,-7.08,123.77,27.64,27.64
9,Operating Expenses,235.36,263.64,291.28,326.06,347.02,412.56,425.67,440.52,500.98,399.26,444.91,493.3,438.4,361.1,350.44,363.58,260.92,201.97,201.97
10,Operating Income,-20.08,-30.76,-10.6,-39.68,-3.44,-47.23,66.88,-28.05,181.78,202.09,423.57,364.58,319.04,497.46,413.11,292.97,204.92,87.73,87.73
11,Interest Expense,-2.98,-2.95,-3.94,-2.56,-5.12,-7,-7.47,-6.61,-7.21,-5.07,-4.95,-4.43,-2.81,-5.1,-,-,-6.38,-,-
12,Interest & Investment Income,42.88,32.5,53.37,23.05,60.09,35.9,90.72,26.51,25.19,28.23,30.99,15.98,14.58,11.76,7.16,18.61,-,3.19,3.19
13,Currency Exchange Gain (Loss),1.11,-1.11,-,-1.38,-0.56,0.56,-,-1.55,-0.25,0.25,-,0.72,0.03,-0.03,-,0.01,0.35,-0.17,-0.17
14,Other Non Operating Income (Expenses),-7.43,-1.74,-1.35,-37.03,4.75,-14.74,-2.21,-11.54,-6.12,-2.85,-5.14,-5.97,-5.04,-2.6,-8.53,-13.44,6.98,-3.65,-3.65
15,EBT Excluding Unusual Items,13.5,-4.04,37.48,-57.6,55.73,-32.51,147.92,-21.24,193.4,222.65,444.47,370.88,325.8,501.49,411.74,298.16,205.87,87.09,87.09
16,Gain (Loss) on Sale of Investments,-14.87,22.1,-7.63,31.67,-9.87,30.14,-20.8,-58.9,38.8,33.06,26.33,8.53,3.14,2.43,3.46,6.03,-3.65,1.83,1.83
17,Gain (Loss) on Sale of Assets,2.14,0.69,3.64,16.4,0.65,2.68,-0.02,0.79,0.46,0,-,-,0.02,0,-0.76,-0.42,-0.01,0.01,0.01
18,Asset Writedown,-4.26,-10.39,0.94,11.73,-13.2,-48.82,-6.45,-12.91,-5.59,2.4,-2.4,-0.86,-4.55,1.18,-1.18,-,-,-,-
19,Other Unusual Items,-2.76,3.79,0.17,5.18,-,-,-,24.06,-,-,-,10.27,-,-,-,7.85,-4.13,2.06,2.06
20,Pretax Income,-6.25,12.15,34.6,7.38,33.31,-48.51,120.65,-68.2,227.06,258.11,468.4,388.83,324.41,505.1,413.27,311.62,198.08,90.99,90.99
21,Income Tax Expense,6.38,8.8,5.14,12.56,12.58,-0.99,19.72,-24.92,33.07,55.43,92.56,77.5,62.77,98.17,91.42,59.44,38.13,15.42,15.42
22,Earnings From Continuing Operations,-12.63,3.35,29.46,-5.19,20.73,-47.52,100.93,-43.28,193.99,202.68,375.84,311.33,261.65,406.93,321.85,252.18,159.94,75.56,75.56
23,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.01,0.02,0.01,0.01,0.01
24,Net Income,-12.63,3.35,29.46,-5.19,20.73,-47.52,100.93,-43.28,193.99,202.68,375.84,311.33,261.65,406.94,321.86,252.2,159.95,75.58,75.58
25,Net Income to Common,-12.63,3.35,29.46,-5.19,20.73,-47.52,100.93,-43.28,193.99,202.68,375.84,311.33,261.65,406.94,321.86,252.2,159.95,75.58,75.58
26,Net Income Growth,-,-,-70.81%,-,-89.31%,-,-73.15%,-,-25.86%,-50.19%,16.77%,23.44%,63.58%,438.45%,325.87%,-,-,-,-
27,Shares Outstanding (Basic),391,400,421,452,349,418,404,402,403,398,400,358,359,360,362,360,-,360,360
28,Shares Outstanding (Diluted),391,400,421,452,349,418,404,402,403,398,400,358,359,360,362,360,-,360,360
