,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,65.57,537.03,485.96,227.85,352.13,533.65,933.94,521.9,296.33,909.46,1016,4742,-,209.01,-,181.5,-,158.33,158.33
1,Short-Term Investments,-,281.85,-,475.88,-,360.7,-,97.46,-,119.74,-,161.63,-,-,-,-,-,-,-
2,Trading Asset Securities,5063,4404,4719,4842,4660,4540,4815,5610,6105,5515,5747,1824,-,1462,-,921.53,-,474.15,474.15
3,Cash & Short-Term Investments,5128,5223,5205,5546,5013,5434,5749,6229,6401,6545,6764,6727,-,1671,1103,1103,632.48,632.48,632.48
4,Cash Growth,2.31%,-3.89%,-9.46%,-10.97%,-21.70%,-16.97%,-15.01%,-7.40%,-,291.58%,513.20%,509.89%,-,164.25%,74.40%,-,-,-,-
5,Accounts Receivable,58.58,54.54,69.37,83.15,77.81,66,62.73,84.48,100.21,116.55,118.76,174.88,-,135.39,-,166.19,-,66.08,66.08
6,Other Receivables,4.97,35.24,6.79,36.72,6.67,6.71,5.62,23.31,6.66,2.29,5.36,13.09,-,0.41,-,0.76,-,0.3,0.3
7,Receivables,63.56,89.77,76.17,119.87,84.48,72.71,68.35,107.79,106.87,120.01,124.12,187.98,-,137.27,-,167.99,-,67.49,67.49
8,Inventory,464.36,483.34,506.91,526.94,597.29,636.06,655.86,669.89,648.31,518.13,460.03,439.97,-,384.8,-,297.13,-,230.08,230.08
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0.62,-,-,-,-,-,-,-,-,-
10,Other Current Assets,526.91,115.66,373.45,106.32,482.63,142.38,442.59,142.06,283.97,123.99,266.47,95.7,-,52.82,-,50.7,-,56.57,56.57
11,Total Current Assets,6183,5911,6161,6299,6177,6285,6915,7149,7441,7307,7614,7451,-,2246,-,1619,-,986.63,986.63
12,"Property, Plant & Equipment",169.46,184,185.55,221.59,341.77,416.88,517.94,604.57,585.84,530.69,418.06,435.62,-,302.67,-,3.28,-,4.63,4.63
13,Long-Term Investments,705.79,878.35,904.78,891.98,980.42,972.35,1059,794.55,385.23,321.87,383.41,218.59,-,373.47,-,156.01,-,-,-
14,Other Intangible Assets,4.89,5.2,5.81,6.61,2.17,2.75,3.64,4.26,5.06,5.61,6.35,5.88,-,5.69,-,6.32,-,5.9,5.9
15,Long-Term Deferred Tax Assets,12.8,14.4,15,15.29,22.26,20.33,12.41,8.19,8.48,7.46,6.19,4.77,-,5.92,-,5.03,-,4.15,4.15
16,Long-Term Deferred Charges,33.98,32.86,37.84,-,76.96,96.06,142.7,-,162.83,133.83,103.78,-,-,65.28,-,73.66,-,58.26,58.26
17,Other Long-Term Assets,20.69,34.69,33.99,95.8,65.55,66.57,82.05,254.82,90.02,83.77,71.15,152,-,72.65,-,66.97,-,62.21,62.21
18,Total Assets,7131,7061,7344,7530,7666,7860,8733,8816,8678,8391,8603,8269,-,3073,-,1932,-,1124,1124
19,Accounts Payable,54.77,68.65,77.01,76.15,157.3,345.72,495.51,553.41,485.59,396.56,466.11,455.45,-,499.31,-,308.15,-,189.46,189.46
20,Accrued Expenses,43.2,71.75,36.67,93.26,58.55,85.09,44.33,126.4,72.66,159.9,41.65,189.32,-,110.61,-,100.32,-,78.01,78.01
21,Short-Term Debt,240.58,140.32,245.91,390,319.24,278.13,485.28,433.99,285.12,378.24,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,129.02,142.23,159.84,195.52,244.98,292.99,320.77,351.52,308.69,268.52,211.21,215.04,-,120.75,-,-,-,-,-
23,Current Income Taxes Payable,18.3,5.88,22.49,0.3,44.89,11.36,43.28,34.16,62.29,45.27,165.33,72.02,-,105.5,-,59.41,-,25,25
24,Current Unearned Revenue,84.67,78.94,84.89,109.63,95.89,107.05,102.73,126.71,155.75,147.57,164.22,210.15,-,166.6,-,253.51,-,99.19,99.19
25,Other Current Liabilities,194.94,154.92,142.38,96.06,106.84,69.59,81.47,84.29,119.39,37.83,84.5,27.97,-,37.08,-,82.59,-,17.96,17.96
26,Total Current Liabilities,765.49,662.7,769.19,960.92,1028,1190,1573,1710,1489,1434,1133,1170,-,1040,-,803.98,-,409.6,409.6
27,Long-Term Leases,58.67,69.13,50.57,67.78,133.27,187.38,232.69,276.54,291.67,269.66,204.79,215.67,-,173.74,-,-,-,-,-
28,Long-Term Deferred Tax Liabilities,12.37,13.54,12.05,14.64,11.61,8.73,7.87,8.75,33.46,24.42,12.21,4.61,-,2.54,-,0.57,-,0.89,0.89
29,Other Long-Term Liabilities,9.27,12.61,13.67,14.1,15.14,16.09,16.61,16.93,16.25,13.72,11.24,12.39,-,8.7,-,8.69,-,7.29,7.29
30,Total Liabilities,845.8,757.98,845.47,1057,1188,1402,1831,2013,1831,1742,1361,1403,-,1225,-,813.23,-,417.78,417.78
31,Common Stock,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,-,360,-,360,-,360,360
32,Additional Paid-In Capital,4460,4460,4460,4404,4460,4460,4460,4404,4460,4459,4459,4404,-,53.4,-,51.33,-,45.77,45.77
33,Retained Earnings,1428,1441,1638,1608,1613,1593,2040,1939,1983,1789,2386,2010,-,1437,-,708.27,-,296.12,296.12
34,Comprehensive Income & Other,-3.65,1.74,0.97,60.62,5.11,5.62,2.73,59.98,5.04,1.77,-3.29,52.73,-,-2.09,-,-1.25,-,4.17,4.17
35,Total Common Equity,6285,6303,6499,6473,6478,6458,6903,6803,6847,6650,7242,6867,-,1848,1118,1118,706.06,706.06,706.06
36,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,-,0.03,0.03
37,Shareholders' Equity,6285,6303,6499,6473,6478,6458,6903,6803,6847,6650,7242,6867,-,1848,1118,1118,706.09,706.09,706.09
38,Total Liabilities & Equity,7131,7061,7344,7530,7666,7860,8733,8816,8678,8391,8603,8269,-,3073,-,1932,-,1124,1124
39,Total Debt,428.27,351.68,456.32,653.29,697.5,758.5,1039,1062,885.48,916.41,416.01,430.71,-,294.48,-,-,-,-,-
40,Net Cash (Debt),4700,4871,4748,4892,4315,4676,4710,5167,5516,5628,6348,6297,-,1377,1103,1103,632.48,632.48,632.48
41,Net Cash Growth,8.92%,4.17%,0.82%,-5.32%,-21.77%,-16.92%,-25.80%,-17.94%,-,308.77%,475.48%,470.84%,-,117.69%,74.40%,-,-,-,-
42,Net Cash Per Share,12.03,12.19,11.28,10.83,12.37,11.19,11.67,12.86,13.69,14.14,15.88,17.59,-,3.83,3.05,3.06,-,1.76,1.76
43,Filing Date Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,361.64,360,-,360,360
44,Total Common Shares Outstanding,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,361.64,360,-,360,360
45,Working Capital,5418,5249,5392,5338,5149,5095,5342,5439,5951,5873,6481,6281,-,1206,-,814.86,-,577.02,577.02
46,Book Value Per Share,15.71,15.76,16.25,16.18,16.20,16.15,17.26,17.01,17.12,16.62,18.10,17.17,-,5.13,3.11,3.11,1.96,1.96,1.96
47,Tangible Book Value,6280,6298,6493,6466,6476,6455,6899,6799,6842,6644,7236,6861,-,1843,1112,1112,700.16,700.16,700.16
48,Tangible Book Value Per Share,15.70,15.74,16.23,16.16,16.19,16.14,17.25,17.00,17.10,16.61,18.09,17.15,-,5.12,3.09,3.09,1.94,1.94,1.94
49,Machinery,-,28.63,-,28.66,-,27.55,-,24.39,-,18.93,-,13.62,-,9.22,-,9.16,-,9.76,9.76
